"","var","module","kTotal","kIn","MM.yellow","p.MM.yellow","MM.green","p.MM.green","MM.red","p.MM.red","MM.blue","p.MM.blue","MM.brown","p.MM.brown","MM.turquoise","p.MM.turquoise","MM.grey","p.MM.grey"
"27","emp_Y15-24_NaceF","blue",0.485565338260165,0.113568012316735,-0.488779419813903,0.00830788844433742,-0.0908593322386426,0.645648592126034,0.0935960591133005,0.635695408658544,0.661740558292282,0.000125610251233618,0.206349206349206,0.292108866877052,-0.090311986863711,0.647646484880165,-0.0207991242474001,0.916334614346521
"20","emp_Y15-24","brown",2.00021935843967,0.48881089476301,-0.334975369458128,0.081429298570432,-0.516694033935413,0.00487529311978118,-0.34592227695676,0.0713683474350768,0.119868637110016,0.543476758954356,0.879584017515052,7.13287372417765e-10,0.380952380952381,0.0454953194616779,0.148330596606459,0.451276451007917
"21","emp_Y25-64","brown",2.26131158818684,0.47987825680699,-0.372194854953476,0.0511284650562496,-0.569786535303777,0.0015502238283573,-0.167487684729064,0.394271696601737,0.247947454844007,0.203311432159568,0.878489326765189,7.97190863213829e-10,0.401204159824849,0.0343447804539483,0.145593869731801,0.459762198933894
"22","emp_YGE65","brown",0.242258777972153,0.156876178584254,-0.0229885057471264,0.907563141022271,0.00930487137383689,0.962518942150926,-0.154351395730706,0.43290495612852,-0.16967706622879,0.388029819159483,0.721948549534756,1.44664481679025e-05,0.108374384236453,0.583047295036933,0.0284619594964423,0.885682985351847
"34","emp_Y25-64_NaceL","brown",0.745730538373221,0.255660458725281,-0.10727969348659,0.586880792031939,-0.33552271483306,0.0809018640731736,-0.163108921729611,0.406925496112217,0.151614668856048,0.441204649626048,0.72304324028462,1.38388239946208e-05,0.187192118226601,0.340167167612021,-0.0892172961138478,0.651649431941635
"1","pop_Total","turquoise",0.187292518513891,0.140431728200359,-0.0415982484948002,0.833533202580992,-0.00328407224958949,0.986767380571081,0.383689107827039,0.0438397174389232,-0.0229885057471264,0.907563141022271,-0.0339354132457581,0.863884545858161,0.113300492610837,0.565934214819054,0.336070060207991,0.0803770426601307
"2","pop_Y0-14","turquoise",2.23217384322978,2.05432780948474,0.182266009852217,0.353253122610342,-0.372194854953476,0.0511284650562496,-0.443897099069513,0.0179685755417598,-0.263273125342091,0.175858247147026,0.32512315270936,0.0913786067709211,0.517788724685276,0.00477010543445094,-0.252873563218391,0.194185560164488
"4","pop_Y25-64","turquoise",2.65129261980627,2.39157007199351,-0.229885057471264,0.239267304414847,0.197044334975369,0.314886729091007,0.0207991242474001,0.916334614346521,0.374384236453202,0.0496712349510609,-0.514504652435687,0.00509159616443954,-0.530377668308703,0.00369261648827059,-0.307608100711549,0.111298290724022
"8","low_work","turquoise",0.711076509150286,0.360438938870778,0.502738301019223,0.00639894786892332,0.319550978915813,0.097398249080165,0.300931041841027,0.11968446608848,-0.452081119271643,0.0157250116378174,-0.358433788689631,0.061073965193713,0.19167582282868,0.328514320579917,0.240963891556054,0.216745590656396
"9","rooms_pp","turquoise",11.4177034281518,10.8803579012278,0.0526109355385567,0.790329742711769,-0.428324632264166,0.0229658261170746,-0.287018821105634,0.138638408672224,-0.60295988426126,0.00068361379529333,0.272970874967067,0.159893922355957,0.835439620358338,3.18218522412185e-08,-0.177940651088522,0.364986463433108
