"","Estimate","Uncond. variance","Nb models","Importance","+/- (alpha=0.05)"
"unemp_YGE25/11",-0.0516242586056444,0.271937708561532,4,0.000710627716298309,1.03600412068218
"unemp_YGE25/12",0.128776257007588,0.277160434758627,4,0.000710627716298309,1.04590534615136
"unemp_YGE25/13",0.138577681176338,0.279395490103521,4,0.000710627716298309,1.05011403210105
"unemp_YGE25/14",0.145797271780415,0.114599564089253,4,0.000710627716298309,0.672540200138976
"unemp_YGE25/16",-0.00365307525631579,0.0700057300531847,4,0.000710627716298309,0.525646237867795
"unemp_YGE25/17",-0.0323248428814214,0.005667629417831,4,0.000710627716298309,0.149564143705774
"unemp_YGE25/18",0.0153036112264442,0.0266001413885543,4,0.000710627716298309,0.32401770266567
"unemp_YGE25/19",0.0219523652090957,0.025068505297192,4,0.000710627716298309,0.3145509389911
"unemp_YGE25/20",-0.0433248218037678,0.0223489992878722,4,0.000710627716298309,0.296999560594869
"emp_TF/2",-0.0709082610656156,0.208455069274752,7,0.000783763839193499,0.907053694121687
"emp_TF/3",-0.0705307412590587,0.0352305920077168,7,0.000783763839193499,0.372895151418396
"emp_TF/4",0.0292077930539424,0.00716159289344521,7,0.000783763839193499,0.16812472258134
"emp_TF/5",0.226427254821791,0.234529359289839,7,0.000783763839193499,0.962111430790558
"emp_TF/6",0.0318173710365595,0.00655131498091306,7,0.000783763839193499,0.160801837121009
"emp_TF/7",0.0616611556189802,0.0194799094319882,7,0.000783763839193499,0.277281077258162
"emp_TF/8",0.0176841042285126,0.0244050110852735,7,0.000783763839193499,0.310360376884296
"emp_TF/9",0.0296150158577644,0.00977996984089249,7,0.000783763839193499,0.196469673631506
"emp_TF/10",-0.0330136433352139,0.0426623218154265,7,0.000783763839193499,0.410344871199663
"emp_TF/11",-0.00806973082419024,0.129536016560524,7,0.000783763839193499,0.715026330510889
"emp_TF/12",0.0807965090516329,0.0712902801352673,7,0.000783763839193499,0.530446913322828
"emp_TF/13",0.045416126580873,0.014105353006473,7,0.000783763839193499,0.235949328489852
"emp_TF/14",-0.034056846695526,0.07277509925316,7,0.000783763839193499,0.535942464695769
"emp_TF/16",0.108101708220158,0.516234945367594,7,0.000783763839193499,1.42741568895459
"emp_TF/17",0.00766313571019437,0.0432720120857223,7,0.000783763839193499,0.413266603405265
"emp_TF/18",-0.256181043634236,0.36542056284114,7,0.000783763839193499,1.20094538352182
"emp_TF/19",-0.178484908387049,0.211646465888035,7,0.000783763839193499,0.913970706400751
"emp_TF/20",0.183433621628265,0.164577240206297,7,0.000783763839193499,0.80595659544847
"pop_Y65_74/2",-0.219517059918002,0.359209683012106,4,0.00147707386587739,1.19069569532477
"pop_Y65_74/3",0.0575203330748663,0.121322984011075,4,0.00147707386587739,0.691987592781002
"pop_Y65_74/4",-0.1078732931513,0.184841604995722,4,0.00147707386587739,0.854135222274256
"pop_Y65_74/5",0.301179535468012,0.602968398638306,4,0.00147707386587739,1.54267357963537
"pop_Y65_74/6",0.0452370370665104,0.0982860988374259,4,0.00147707386587739,0.62283472042407
"pop_Y65_74/7",-0.102336138748489,0.147733027216422,4,0.00147707386587739,0.763599375432496
"pop_Y65_74/8",-0.0228448166230023,0.21920779469481,4,0.00147707386587739,0.930153795221356
"pop_Y65_74/9",0.425935956417216,0.919566941587903,4,0.00147707386587739,1.90510291241848
"pop_Y65_74/10",0.165531352437753,0.227360731217648,4,0.00147707386587739,0.947293363184543
"pop_Y65_74/11",0.077977879145627,0.259284388965393,4,0.00147707386587739,1.01161427872931
"pop_Y65_74/12",0.0792577574129298,0.259706612981329,4,0.00147707386587739,1.01243761040105
"pop_Y65_74/13",0.0565976715850958,0.148102394052387,4,0.00147707386587739,0.764553367285479
"pop_Y65_74/14",0.0403714106507258,2.25850995082164,4,0.00147707386587739,2.98564226579988
"pop_Y65_74/16",-0.341357140109011,7.84622055527555,4,0.00147707386587739,5.56489560901724
"pop_Y65_74/17",-0.148447426944491,0.33879401995643,4,0.00147707386587739,1.15636418965574
"pop_Y65_74/18",0.0287518979516826,0.0551868385079081,4,0.00147707386587739,0.466707224407382
"pop_Y65_74/19",-0.0386141583477605,0.0433415813287111,4,0.00147707386587739,0.413598678306633
"pop_Y65_74/20",-0.475203981451216,1.47802814747688,4,0.00147707386587739,2.41528352150349
"emp_Y25_64_ED5_8/2",0.75303362418007,7.53541991973601,7,0.00340174816340371,5.45356502023044
"emp_Y25_64_ED5_8/3",-0.147380467057964,0.121717951535784,7,0.00340174816340371,0.693113061906243
"emp_Y25_64_ED5_8/4",0.433343115556874,1.31880220544964,7,0.00340174816340371,2.28147964449934
"emp_Y25_64_ED5_8/5",-0.150349851116677,0.135870769144102,7,0.00340174816340371,0.732301262540995
"emp_Y25_64_ED5_8/6",-0.21070357620613,0.45275559976723,7,0.00340174816340371,1.33677612740369
"emp_Y25_64_ED5_8/7",-0.206474287177133,0.214832313392936,7,0.00340174816340371,0.920823869506203
"emp_Y25_64_ED5_8/8",0.238036004386109,0.492898142977379,7,0.00340174816340371,1.39477886178321
"emp_Y25_64_ED5_8/9",0.204809179534412,1.1677025138328,7,0.00340174816340371,2.14680636147356
"emp_Y25_64_ED5_8/10",-0.447185960205379,0.88960252624319,7,0.00340174816340371,1.87380662332383
"emp_Y25_64_ED5_8/11",-0.444324119401788,3.51793801187283,7,0.00340174816340371,3.72624028952357
"emp_Y25_64_ED5_8/12",-0.444248738585961,1.45294829433815,7,0.00340174816340371,2.39470403338232
"emp_Y25_64_ED5_8/13",0.200852034626787,1.60007206998939,7,0.00340174816340371,2.51302343264107
"emp_Y25_64_ED5_8/14",-0.243742504739495,0.453392397323648,7,0.00340174816340371,1.33771588017632
"emp_Y25_64_ED5_8/16",0.570349058657415,9.08971321803061,7,0.00340174816340371,5.98965567014703
"emp_Y25_64_ED5_8/17",0.483862292657282,3.9440839706159,7,0.00340174816340371,3.94547996377327
"emp_Y25_64_ED5_8/18",-0.219740993188747,3.82780313751324,7,0.00340174816340371,3.88688384990553
"emp_Y25_64_ED5_8/19",0.239818063958387,1.32506160715656,7,0.00340174816340371,2.28688750345517
"emp_Y25_64_ED5_8/20",0.0648216328738267,0.201538259238988,7,0.00340174816340371,0.891878135943105
"emp_Y15_24_ED0_2/2",-0.448772764570887,10.9386622050467,5,0.00475928469466572,6.57065813012265
"emp_Y15_24_ED0_2/3",-0.127622701013055,0.101794087075361,5,0.00475928469466572,0.633852258126884
"emp_Y15_24_ED0_2/4",-0.0741467569949951,0.110961732547899,5,0.00475928469466572,0.661779607693956
"emp_Y15_24_ED0_2/5",-0.178714890035492,0.171552598853086,5,0.00475928469466572,0.822858987024775
"emp_Y15_24_ED0_2/6",-1.17635871903394,6.07105465484498,5,0.00475928469466572,4.89506921811797
"emp_Y15_24_ED0_2/7",-0.262221915550105,0.316797927072562,5,0.00475928469466572,1.11819599270433
"emp_Y15_24_ED0_2/8",0.242126582614981,0.570444742492027,5,0.00475928469466572,1.50049155970956
"emp_Y15_24_ED0_2/9",0.122661309913662,0.770628599981889,5,0.00475928469466572,1.74401143166096
"emp_Y15_24_ED0_2/10",-0.183422470025058,0.173070458771699,5,0.00475928469466572,0.826491208722867
"emp_Y15_24_ED0_2/11",-0.259260023089991,1.57074453928918,5,0.00475928469466572,2.48988646984464
"emp_Y15_24_ED0_2/12",-1.01174902592476,8.00135589366185,5,0.00475928469466572,5.61964083843975
"emp_Y15_24_ED0_2/13",-0.155499302699888,0.378346712606814,5,0.00475928469466572,1.22200152631455
"emp_Y15_24_ED0_2/14",-0.368429024441015,1.03230491574639,5,0.00475928469466572,2.01850934163038
"emp_Y15_24_ED0_2/16",-0.614800787451387,3.82951140382917,5,0.00475928469466572,3.88775106954534
"emp_Y15_24_ED0_2/17",0.240213164889752,6.55977184984793,5,0.00475928469466572,5.08828154078959
"emp_Y15_24_ED0_2/18",0.523595394429138,16.5413467053742,5,0.00475928469466572,8.08001558042307
"emp_Y15_24_ED0_2/19",0.417759295319003,3.39491991837284,5,0.00475928469466572,3.66050945620717
"emp_Y15_24_ED0_2/20",-0.144346793438973,0.182915822371738,5,0.00475928469466572,0.849674144505454
"emp_Y15_24/2",-0.665865464272239,49.4905160669721,11,0.00490303572277517,13.9761565680411
"emp_Y15_24/3",-0.0945208912530574,0.0715055685196177,11,0.00490303572277517,0.531247253647574
"emp_Y15_24/4",-0.429206059369209,0.814249518741327,11,0.00490303572277517,1.79269134286645
"emp_Y15_24/5",-0.146497488234273,0.135160095389143,11,0.00490303572277517,0.730383596209087
"emp_Y15_24/6",-0.172945671842322,0.158559564813437,11,0.00490303572277517,0.791084706241262
"emp_Y15_24/7",-0.189293356955801,0.182292757372214,11,0.00490303572277517,0.84822579026282
"emp_Y15_24/8",0.570208736246522,4.18432649988023,11,0.00490303572277517,4.06386758222106
"emp_Y15_24/9",0.206105134582686,1.99871064156038,11,0.00490303572277517,2.80867655019435
"emp_Y15_24/10",-0.204099533896526,0.20889611716239,11,0.00490303572277517,0.908012756265735
"emp_Y15_24/11",0.200822402379824,2.61702679288467,11,0.00490303572277517,3.21388883139559
"emp_Y15_24/12",-0.405990454980262,0.815994016049374,11,0.00490303572277517,1.79461070043961
"emp_Y15_24/13",-0.699612190690043,4.93006474825818,11,0.00490303572277517,4.41116271032794
"emp_Y15_24/14",-0.573940680688786,2.02408069083048,11,0.00490303572277517,2.82644589787908
"emp_Y15_24/16",-0.420789221654035,11.9943890928376,11,0.00490303572277517,6.88043398740919
"emp_Y15_24/17",-0.516347756274068,47.2703504653033,11,0.00490303572277517,13.6590714575981
"emp_Y15_24/18",0.370694052809636,2.52667840430716,11,0.00490303572277517,3.15792455472001
"emp_Y15_24/19",1.25704421502639,23.2539558066724,11,0.00490303572277517,9.58021349275733
"emp_Y15_24/20",-0.723500679925782,2.7184488595625,11,0.00490303572277517,3.27557350507595
"emp_Y15_24_ED3_4/2",-1.89374218332326,86.1924350054868,5,0.0205227137508761,18.4442644738328
"emp_Y15_24_ED3_4/3",-0.588542506882041,2.64611442537594,5,0.0205227137508761,3.23170028193605
"emp_Y15_24_ED3_4/4",-1.02068816524476,6.48909470313308,5,0.0205227137508761,5.06079589317182
"emp_Y15_24_ED3_4/5",0.685692523372373,4.05717325118117,5,0.0205227137508761,4.00164485716362
"emp_Y15_24_ED3_4/6",1.79049262915301,14.3957122619677,5,0.0205227137508761,7.53777803617648
"emp_Y15_24_ED3_4/7",1.76246030126198,14.037327499143,5,0.0205227137508761,7.44335927803176
"emp_Y15_24_ED3_4/8",-0.637816410530929,4.26846739914417,5,0.0205227137508761,4.10452353625864
"emp_Y15_24_ED3_4/9",-0.315749188938464,15.1309854085816,5,0.0205227137508761,7.72788004501329
"emp_Y15_24_ED3_4/10",2.30312775575915,23.011083581566,5,0.0205227137508761,9.53005267041721
"emp_Y15_24_ED3_4/11",0.916683552090779,19.4952042704016,5,0.0205227137508761,8.77183918246359
"emp_Y15_24_ED3_4/12",2.82119938564253,37.2866991604424,5,0.0205227137508761,12.1311992339278
"emp_Y15_24_ED3_4/13",-3.72499667553781,97.7052954412542,5,0.0205227137508761,19.6374827744978
"emp_Y15_24_ED3_4/14",0.870825617726372,5.28400439459505,5,0.0205227137508761,4.56676170959282
"emp_Y15_24_ED3_4/16",-1.15368700299043,146.031001052698,5,0.0205227137508761,24.0076304365143
"emp_Y15_24_ED3_4/17",-1.3445318721568,119.717815222062,5,0.0205227137508761,21.7373279330637
"emp_Y15_24_ED3_4/18",-0.640276413439707,7.46100468456805,5,0.0205227137508761,5.42657015900451
"emp_Y15_24_ED3_4/19",-1.86217444078362,18.462086527401,5,0.0205227137508761,8.53625061440946
"emp_Y15_24_ED3_4/20",1.53932986928059,12.6959686832781,5,0.0205227137508761,7.07880073311386
"pop_YGE75/2",-1.79761349128863,127.886520228036,21,0.0317148517047366,22.4666930163987
"pop_YGE75/3",4.2449368285385,125.823064849778,21,0.0317148517047366,22.2847053301786
"pop_YGE75/4",-0.983505155363061,26.7793328005612,21,0.0317148517047366,10.2807936466509
"pop_YGE75/5",-1.42299870132221,52.2094819613166,21,0.0317148517047366,14.3549425242305
"pop_YGE75/6",-5.51705965854167,151.671074712314,21,0.0317148517047366,24.4668549896693
"pop_YGE75/7",-5.4899460457466,156.224576079918,21,0.0317148517047366,24.8314135804441
"pop_YGE75/8",0.732827046622569,2480.73917881352,21,0.0317148517047366,98.9503463663665
"pop_YGE75/9",7.53677446484075,320.958188373563,21,0.0317148517047366,35.5918855282929
"pop_YGE75/10",5.05207217831842,353.02502290598,21,0.0317148517047366,37.3275521503139
"pop_YGE75/11",0.490048358893122,206.22620255105,21,0.0317148517047366,28.5297974482035
"pop_YGE75/12",4.92325403911452,227.971103028758,21,0.0317148517047366,29.9962293973947
"pop_YGE75/13",5.03458727491443,233.740976613975,21,0.0317148517047366,30.3734547959247
"pop_YGE75/14",1.4953560980971,322.136728156651,21,0.0317148517047366,35.6571713176408
"pop_YGE75/16",-2.31969200538453,605.022527285777,21,0.0317148517047366,48.866646757181
"pop_YGE75/17",-1.07794214929395,219.743930988045,21,0.0317148517047366,29.4499939978773
"pop_YGE75/18",-0.408988582833222,131.339032241241,21,0.0317148517047366,22.7679365216732
"pop_YGE75/19",-2.32637500781095,110.502711097785,21,0.0317148517047366,20.8839782658283
"pop_YGE75/20",-8.63232625652143,362.734493530784,21,0.0317148517047366,37.8373919621249
"emp_Y25_64/2",-3.98990945267238,77.0857416946597,14,0.0324068127716852,17.4427033055479
"emp_Y25_64/3",2.59119482156463,32.5857096226553,14,0.0324068127716852,11.3407129383468
"emp_Y25_64/4",-3.47930901994088,54.3855683679354,14,0.0324068127716852,14.6510449821051
"emp_Y25_64/5",3.03500571591593,60.1851550064597,14,0.0324068127716852,15.4124420841412
"emp_Y25_64/6",-2.44035980872247,30.4937723122608,14,0.0324068127716852,10.9706495633825
"emp_Y25_64/7",-2.86079764276938,39.3993292795254,14,0.0324068127716852,12.4701357217959
"emp_Y25_64/8",4.31614974100303,106.895384136323,14,0.0324068127716852,20.5402744473438
"emp_Y25_64/9",4.78447007542892,113.669808706348,14,0.0324068127716852,21.1811399876627
"emp_Y25_64/10",-1.95650026479364,34.8422806491922,14,0.0324068127716852,11.7268144436039
"emp_Y25_64/11",4.37701621057003,236.69111072328,14,0.0324068127716852,30.5645312590182
"emp_Y25_64/12",-3.9334827932367,116.301621683761,14,0.0324068127716852,21.4249418165149
"emp_Y25_64/13",-3.74863990177086,62.5395015919957,14,0.0324068127716852,15.711005254058
"emp_Y25_64/14",-6.27125614363585,246.70364925609,14,0.0324068127716852,31.2043077736672
"emp_Y25_64/16",0.278330782780747,94.445054207926,14,0.0324068127716852,19.3070702171555
"emp_Y25_64/17",-1.23603382751852,13.1655399345202,14,0.0324068127716852,7.20851992663852
"emp_Y25_64/18",0.251940485930482,49.124823062201,14,0.0324068127716852,13.9244248464904
"emp_Y25_64/19",0.0363862757191899,39.515689984477,14,0.0324068127716852,12.4885365934608
"emp_Y25_64/20",-2.81480396424161,40.6043225865812,14,0.0324068127716852,12.659393533155
"emp_Y25_64_ED3_4/2",-8.9464227440991,688.401984583312,11,0.0460489661317869,52.1252106163514
"emp_Y25_64_ED3_4/3",0.142932284667365,0.935707160634283,11,0.0460489661317869,1.92174934821743
"emp_Y25_64_ED3_4/4",-2.20673388530049,21.3070147145203,11,0.0460489661317869,9.170395554099
"emp_Y25_64_ED3_4/5",0.618690722238761,4.19236559182106,11,0.0460489661317869,4.06776953974733
"emp_Y25_64_ED3_4/6",-1.81338163149714,15.0340864155789,11,0.0460489661317869,7.70309558791159
"emp_Y25_64_ED3_4/7",-1.08272133472028,6.25427848587703,11,0.0460489661317869,4.96838650611395
"emp_Y25_64_ED3_4/8",2.21202440452224,207.316109637011,11,0.0460489661317869,28.6050882020475
"emp_Y25_64_ED3_4/9",10.3375333588496,631.753524350976,11,0.0460489661317869,49.9344881631972
"emp_Y25_64_ED3_4/10",-0.311961293789824,4.187154136261,11,0.0460489661317869,4.06524046733654
"emp_Y25_64_ED3_4/11",2.09116091469496,3184.42446646847,11,0.0460489661317869,112.109455162401
"emp_Y25_64_ED3_4/12",-0.543982784467197,5.45998699040018,11,0.0460489661317869,4.64218634647282
"emp_Y25_64_ED3_4/13",-12.8009385742533,993.467380031924,11,0.0460489661317869,62.6186314695666
"emp_Y25_64_ED3_4/14",-0.163118792648806,15.106457433501,11,0.0460489661317869,7.72161389237235
"emp_Y25_64_ED3_4/16",-6.13676017719338,780.306471362526,11,0.0460489661317869,55.4957046663299
"emp_Y25_64_ED3_4/17",-5.36078585022948,123.323512932707,11,0.0460489661317869,22.0622453311819
"emp_Y25_64_ED3_4/18",-1.21761083131936,71.8164193018617,11,0.0460489661317869,16.8359892533915
