"","Cluster","Prob(1)","Prob(2)","Prob(3)","Prob(4)","Prob(5)","Prob(6)","Prob(7)","Prob(8)","Prob(9)","Prob(10)","Prob(13)","Prob(14)","Prob(15)","Prob(16)","Prob(17)","Prob(18)","Prob(19)","Prob(21)","Prob(22)"
"DE2",7,3.6952303443887e-06,7.39742281606677e-43,0.010238934697495,6.3824565957799e-08,4.00826060574696e-07,5.046346333467e-16,0.977567709915216,0.0116031087710116,0.000586086735305642,1.59536530551265e-33,3.83833846180205e-65,3.06828735893557e-34,4.08438034660947e-21,4.21927844144855e-69,4.17534952456434e-33,3.90434687450445e-28,1.39744494245213e-90,3.75833449241749e-16,3.1140864277758e-32
"DE3",3,2.43472395461807e-05,2.52293287255732e-19,0.46170752666452,0.410133569148556,1.74581150688151e-13,1.23841232497473e-10,1.13836840712939e-06,7.72292963274489e-10,0.128133416871411,1.2358136001484e-34,1.21011374081869e-40,8.22020862382981e-15,3.11788951474934e-14,5.95792693800066e-43,8.70748053989004e-13,8.09522093287985e-10,2.38141851791952e-52,8.1944710203399e-13,1.04167560402866e-75
"DE4",8,1.37282490547261e-13,1.25879639433436e-32,9.03234046012631e-06,6.17929329892702e-11,1.01006411795891e-06,0.0347525394798051,1.33383569218137e-06,0.965236071882036,1.23359582154227e-08,8.42560420223469e-53,1.37648708273308e-61,2.54491939788559e-31,3.19449224076142e-29,5.69982053390168e-63,2.42225839224514e-32,2.9332640326141e-27,4.58274869344443e-68,5.03709250856693e-29,1.43976453209449e-81
"DE5",9,1.63673740058562e-06,2.06221113168405e-22,0.581484507670687,0.0908012370136793,9.76010878745288e-09,1.81746526880288e-18,0.00029202868396717,5.63743613077671e-16,0.327420580094841,4.10334305096651e-41,9.33069604367807e-39,3.58778035602437e-17,3.86652109153648e-11,4.77814143169026e-41,1.83929857915344e-18,4.91098513295503e-15,1.61370803603055e-53,6.45092778357548e-13,1.05612767965872e-73
"DE6",9,0.000177931393198809,2.66912432409539e-27,0.532513538695606,0.0411282295724353,2.35782121909931e-11,8.32612481507195e-19,0.000785081551299449,2.73350634737253e-12,0.425395218559175,2.21270096755327e-32,5.373028163391e-45,6.30723196206933e-20,2.17264219517087e-12,3.1087973206773e-48,9.33127004665002e-19,2.40350770719077e-15,4.95231714418752e-65,1.9979880691932e-10,8.23380676291337e-56
"DE7",3,6.1768323140237e-05,1.42063503147638e-29,0.804891602150952,0.00340270376861375,9.63940361299578e-09,3.78521767000026e-15,0.0164430578048668,3.68075124878104e-08,0.175200821504732,1.71846226079695e-34,1.9222643884417e-49,8.07746666356509e-23,5.93528340811522e-15,1.53657487795338e-52,4.61299912717191e-22,3.79133685855414e-18,1.42931496927486e-68,7.69728027041343e-13,2.4582874315304e-54
"DE8",8,3.09057178072189e-13,5.77036086763278e-41,8.67560773460066e-08,2.98134212961775e-13,3.18089939314663e-11,1.64031036062126e-07,1.13704036006329e-07,0.999999635179542,2.96892374263235e-10,3.22964694047324e-45,9.19931678643874e-70,1.11461140058304e-36,2.60057575578255e-31,2.40014503812995e-72,1.85782678236281e-35,2.20476016158991e-30,8.27428431681588e-84,2.23242829953067e-27,3.85428238910555e-61
"DE9",3,6.74575074272901e-07,4.13528467446438e-31,0.576327286572205,8.2698969834574e-05,0.000333664156477625,1.78809535484137e-12,0.396253308951155,2.59453748523836e-06,0.0269997722359802,4.84057023594203e-42,4.23029642029083e-52,7.83799141564532e-26,2.81096622317745e-17,1.22057891316488e-54,3.88677614632097e-27,1.4953564932896e-22,1.62681749802646e-68,4.41984591687215e-17,4.64434009043045e-60
"DEA",7,6.26914167348258e-07,6.17976213032883e-27,0.802528643531423,0.00301381941500558,2.80018727169512e-05,4.20456785053337e-17,0.0395557665757245,1.1585844165703e-12,0.154873141689515,2.99243832764486e-43,2.10688422841036e-44,1.26648192244091e-21,2.83150192858523e-13,9.14914949793012e-47,9.50564178451068e-24,1.16124614569273e-19,2.29086047808367e-60,5.85519282436333e-15,2.11352691290623e-67
"DEB",3,7.10877575945932e-05,1.02620524989071e-33,0.568657745602762,0.000399335457297117,1.64285695047498e-07,1.7108224110222e-17,0.300515629393502,5.27881493601201e-08,0.130355984714004,4.32130753765172e-34,7.32223669563325e-53,6.00793379266455e-26,3.01330623859451e-15,2.57357378434703e-56,1.54641813887304e-25,2.61305792761722e-21,3.72445506320526e-75,9.92571469837646e-13,9.51672578562366e-46
