"","Cluster","Prob(1)","Prob(2)","Prob(3)","Prob(4)","Prob(5)","Prob(6)","Prob(7)","Prob(8)","Prob(9)","Prob(10)","Prob(13)","Prob(14)","Prob(15)","Prob(16)","Prob(17)","Prob(18)","Prob(19)","Prob(21)","Prob(22)"
"PT1",13,3.52657102539327e-41,1.03631073694395e-35,2.83778308860477e-35,2.24013582742143e-24,6.0672686983546e-49,6.9822058940158e-124,7.28586439107687e-43,7.90623408438658e-125,4.81358090717397e-28,1.98112082482386e-86,1.06834111859695e-05,4.3044309755018e-23,0.999989293805959,2.27828554646641e-08,5.60640192464502e-36,1.98298443166136e-36,1.16534142907604e-36,1.37895042592433e-21,7.21630205925557e-137
"RO1",5,3.10959112799481e-29,5.13368374142854e-23,8.137060815883e-13,9.0523308412854e-16,0.999999999998957,2.57941398358382e-29,2.13959645028704e-13,2.36212657775351e-40,1.42761095937688e-14,3.52768295171996e-99,8.45450200383341e-34,6.14644874165102e-27,4.51459794173978e-21,5.54481260820585e-32,4.19482693226901e-42,4.04915824597933e-37,2.05510849778496e-28,1.45571719172224e-40,6.86990731237371e-153
"RO2",5,1.00035103599321e-21,1.63489334730547e-21,2.77358827265849e-08,1.72403547418323e-08,0.999523386760066,1.51009545744269e-49,1.49687674890933e-08,3.52680008677336e-54,2.04769402679496e-07,2.32382666553461e-85,7.46699734425184e-19,2.53347685362974e-19,0.000476348525526283,9.330563797298e-19,5.7269423143093e-35,5.08798511831114e-31,2.09840509558689e-28,4.64792179443343e-24,6.86298634983263e-126
"RO3",5,4.97081115886133e-26,7.77335999087239e-19,2.42147269913962e-10,1.41116253461328e-12,0.99999999974568,6.27613359326673e-26,4.82414945528419e-12,1.80433922511228e-37,5.93736523777884e-12,1.96704356231983e-93,2.88334001006617e-30,1.27229202189464e-22,2.00351452048365e-18,1.48150646950045e-28,1.57303240765818e-36,6.94420297430994e-32,1.35669782751561e-24,7.33355414122041e-37,1.14686619962304e-150
"RO4",5,7.46837538947635e-30,6.64390091026506e-19,9.0248793556269e-13,2.29928640198694e-14,0.999999999998956,7.07857081784896e-36,4.03864725752413e-14,8.70258883167096e-49,7.77813001786609e-14,7.87947293157256e-103,7.90661838223233e-25,7.30201415802717e-23,3.06216806382556e-16,1.0076505766576e-22,7.85837789903835e-40,2.85068868002118e-35,4.73850208056464e-19,9.37381065861439e-39,3.66052955168573e-162
"SE1",10,1.965212559426e-35,8.41352926885678e-56,2.17059301376194e-51,1.19365540479761e-36,9.62210389263432e-116,1.94998260177966e-79,5.6062557045359e-74,5.18786737659538e-70,9.03358599541589e-46,0.999999997761688,9.63459629003052e-73,1.61365179134735e-36,1.0741077004672e-47,4.84867465482745e-81,2.23809131571505e-09,2.20518325009907e-13,1.57688008904479e-110,7.22649679728447e-22,5.25397746252188e-63
"SE2",10,3.50040662810609e-33,2.97671421463025e-55,1.28149801524054e-48,2.16901779772245e-34,1.21572106962577e-110,2.0875588437081e-80,6.60305343346151e-70,9.55010762438375e-70,7.04751062677163e-43,0.999999999215902,5.6152394435241e-70,1.78847455231273e-35,9.61877257840166e-44,2.46324378140677e-78,7.8395345632517e-10,1.44442936129915e-13,1.12397418566006e-109,3.35031514491939e-19,1.18784314334624e-57
"SE3",10,2.61251075279588e-14,8.25159169800782e-36,9.43905568257172e-24,2.58853601207845e-14,8.0131206916008e-70,1.88729623950161e-49,1.47948423939408e-39,1.02362615214362e-40,5.7410659925928e-20,0.955524171358246,2.21125098781802e-52,2.5644319175918e-20,1.21824432580771e-24,4.98984714985338e-59,0.0431542359661494,0.00132106842352899,8.55393900576173e-85,5.24252023888195e-07,4.36070386487609e-49
"SI0",4,7.18966545847636e-09,2.30980123469291e-08,0.00222994352507857,0.993680691353448,4.38053651277229e-19,1.41914055217437e-09,3.40537938126465e-13,5.14646024991925e-17,0.000946785672990236,1.68218646904565e-41,1.81512100428935e-29,5.43803189027329e-07,4.76323367360239e-14,1.59391464123305e-30,3.43005650981595e-05,0.00310770337298861,1.67692077255021e-31,1.33898203803555e-15,1.34361487099435e-108
"SK0",6,1.09075340913771e-27,3.86391699911093e-20,3.44994552110694e-12,1.46706814567404e-16,0.000285749941151669,0.999714250055394,2.16048123404246e-15,1.93032302755681e-15,3.56147527005836e-16,9.41775298960803e-91,4.21993017587712e-48,7.38393610528956e-28,2.00074920546277e-34,9.34301807544091e-46,9.50659178332254e-37,1.53531599041863e-31,5.87489211683085e-32,9.79298103795375e-47,2.70976616240071e-157
"UKC",4,0.0233283291504722,1.08662428586259e-28,0.000657841581951902,0.359263087925205,5.30813044026219e-26,3.40908124155554e-34,6.51924408083885e-10,1.22742002731195e-23,0.0729156498427884,1.77308034325661e-15,9.85112161917726e-41,3.1855164415657e-16,1.45852203955892e-07,9.14327780513511e-46,2.58019086418186e-10,1.25286239023127e-08,2.82423904304041e-71,0.543834932208809,3.90429465683031e-38
"UKD",18,0.00696746945939688,3.84122442902978e-32,1.88447456147923e-06,0.00424316923442659,8.34317153192357e-33,8.87935556016531e-36,1.93661446009799e-13,1.84076373502452e-23,0.000362975714143892,2.89072354636384e-09,9.23054934287113e-46,2.65120849321014e-18,1.12366791250771e-10,1.85379011888081e-51,1.52429611274864e-09,3.04736949133909e-08,5.34760308740203e-79,0.988424466116196,1.41158277374913e-30
"UKE",18,0.0011560333892358,9.26539881928579e-32,1.34881015755574e-06,0.00426493153122748,1.34146986731634e-31,2.24163431430309e-39,3.1758194230043e-13,2.17112144756922e-27,0.000432895447655236,1.35475904020292e-12,6.31240555040044e-43,6.39628559315312e-18,6.89088591690536e-09,1.77612191426215e-48,1.35804671140134e-10,2.83016164189457e-09,2.08526665052072e-76,0.994144780963199,8.04401806483325e-34
"UKF",18,5.67210806155354e-06,2.96307736039369e-41,2.7678499662457e-11,1.8030706892818e-07,2.21675271215583e-39,1.10182339713564e-49,2.03272368466112e-17,6.79561759149216e-33,4.35686221957412e-08,6.09488202588711e-08,1.19430512584658e-50,2.70225566780582e-24,6.50084817257704e-12,2.27153485896355e-57,5.06471715032307e-15,6.25268744627493e-14,7.95706022522938e-92,0.99999404303318,1.80014511797631e-18
"UKG",18,0.000429362289621374,1.21928527332873e-27,1.95440519528954e-05,0.11627927022912,5.16634890732124e-28,8.96869350335713e-41,5.05174115755203e-12,3.67920735010626e-31,0.00779027682012004,1.48726190231283e-18,3.62827097922443e-36,6.36956392226223e-15,1.42997556472668e-05,4.18779159445975e-41,5.11062306745709e-10,1.12389774968789e-08,4.53771329215856e-67,0.875467235098441,1.62096883441439e-44
"UKH",18,1.8534794928932e-05,6.90359942433661e-37,5.58894729918378e-10,6.95099335738185e-06,1.05093112104884e-37,2.00649246978615e-46,8.19119134885001e-17,5.1413869169639e-32,6.10587686944253e-07,1.03676293761877e-09,9.90214790280022e-47,3.54237052190912e-21,1.02035097039317e-10,5.66114058391617e-53,1.91399354512638e-12,1.98193370713363e-11,1.45146130516044e-84,0.999973901904601,1.39038495407834e-26
"UKI",16,1.35156210833383e-07,1.25132295998504e-23,1.67896285959796e-11,2.91823509277312e-05,4.29653311505928e-45,1.92980248901646e-30,4.35711141728187e-24,3.16269089194201e-26,2.32198816364886e-09,2.93459209662552e-11,5.98879929182869e-42,6.17762127100316e-13,1.14805789525034e-16,1.07667835447435e-46,0.474344666721972,0.525618760407555,1.16247674140311e-64,7.25299459274434e-06,2.46799031988862e-61
"UKJ",18,0.00205479361258152,7.44110846130443e-31,2.98558061699801e-08,0.00102421756529451,5.27674325126946e-39,7.52686461210247e-35,2.78361636840365e-17,1.34236113390224e-23,8.24199238350974e-06,3.24607110015718e-05,2.78675056812578e-46,5.78482078071973e-17,9.69113480227202e-13,3.96776412502021e-52,8.26043107336105e-06,4.39062498660471e-05,1.61530187382161e-78,0.996828089581024,3.14363130538074e-33
"UKK",18,1.93847571240132e-05,4.5621377371436e-38,1.59966545445097e-11,6.72585935216255e-07,3.98478402416205e-43,1.47630100554804e-44,1.26779828542501e-19,1.19949337769599e-29,1.75836309226147e-08,0.000429659221093955,1.27721740733255e-50,7.8185012383811e-22,9.21119600762671e-14,3.00005089380538e-57,2.3277455454283e-10,1.08921377420942e-09,5.78011081435684e-89,0.999550264514139,9.4318193387316e-23
"UKL",18,0.00093952922245891,2.58775694427292e-27,4.13442663906964e-07,0.0212094907935395,1.92838520862347e-35,2.98113804758083e-36,5.74636512040172e-16,5.26958446761635e-27,0.000138211307684751,9.9382112678067e-11,3.1345366178119e-40,2.14777670625256e-14,1.26549289461368e-09,1.56795756924961e-45,1.51726460199356e-05,9.15371026653636e-05,2.60377430517473e-70,0.977605644120071,1.95468636567758e-42
"UKM",18,0.348260240969514,8.07374639822112e-34,0.000180291103172358,0.0161743667016714,1.15451322171404e-28,1.56608344727727e-30,4.28185883586447e-10,7.75205454739834e-17,0.00992423945638734,4.30991122892987e-08,8.55242805271832e-50,3.70275038611705e-20,1.10023384323572e-11,1.53623047853455e-55,1.93517544968817e-11,1.32992868474077e-09,2.76990970902492e-83,0.625460816881674,1.70505979671981e-23
"UKN",4,1.68476474093596e-06,7.11154046016173e-21,0.000361956196819147,0.95292601890655,7.98499025476421e-21,3.21763206831369e-38,1.70939886494409e-10,3.50068633855956e-34,0.0452621837381611,9.33515501682794e-33,7.09272417489386e-28,1.26485368645133e-11,0.00136849390657242,2.66297809053976e-31,3.86588806064821e-11,2.00071938038688e-09,9.85382532113934e-51,7.96602641894375e-05,2.40788396814807e-69
