"","pop_Total","pop_Y0-14","pop_Y15-24","pop_Y25-64","pop_Y65-74","pop_YGE75","ARPR","low_work","rooms_pp","mat_depriv","ARPR_socexcl","emp_Y15-24_ED0-2","emp_Y25-64_ED0-2","emp_Y15-24_ED3-4","emp_Y25-64_ED3-4","emp_Y15-24_ED5-8","emp_Y25-64_ED5-8","emp_TF","emp_TP","emp_Y15-24","emp_Y25-64","emp_YGE65","emp_Y15-24_NaceA","emp_Y25-64_NaceA","emp_Y15-24_NaceB-E","emp_Y25-64_NaceB-E","emp_Y15-24_NaceF","emp_Y25-64_NaceF","emp_Y15-24_NaceG-I","emp_Y25-64_NaceG-I","emp_Y15-24_NaceJ","emp_Y25-64_NaceJ","emp_Y15-24_NaceK","emp_Y25-64_NaceK","emp_Y15-24_NaceL","emp_Y25-64_NaceL","emp_Y15-24_NaceM_N","emp_Y25-64_NaceM_N","emp_Y15-24_NaceO-Q","emp_Y25-64_NaceO-Q","emp_Y15-24_NaceR-U","emp_Y25-64_NaceR-U","unemp_Y15-24","unemp_YGE25","GDP","GVAgr","disp_income","training"
"emp_Y25-64_NaceA",2062441.69519787,0.68931835587554,0.0593110633470832,-0.234225712556061,-0.955225780127099,0.440822073460539,26.7615375940939,-7.33730503532871,-0.23359193608728,2.02791098474279,21.1511702912599,19.8928141023796,14.5038921636918,-13.4041598326715,-1.53639329050615,-4.68071167648587,-12.8860271540453,-1.64776517747677,0.510533697554036,-5.79051647699682,-3.11567482274285,6.4694299092408,56.0032789758261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_Y15-24_NaceB-E",1447159.73037706,-1.19017618636022,0.0504269063642684,1.14122864810308,0.806448574679327,-0.807927942786458,-13.1213615302699,-1.36138460989056,-0.0875835032864996,-9.39777381240177,-16.8184927216358,-11.6600269127724,-8.21580097477472,18.9583852471731,24.4515988114034,-7.91189984984597,-15.8822766304648,8.18063402541628,-5.16058793205725,2.67019866052146,4.86121233017403,-2.63173037579622,-18.7058284192505,-5.41918774614843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_Y25-64_NaceB-E",1306080.27192568,-0.725058983710976,-0.0187498622538787,0.00996160361585772,0.739036059857346,-0.00518881750834807,-7.69875296890994,-6.66328663739114,-0.0412270927377831,-3.8987694952757,-10.8760924172217,-8.15249603204322,-7.92015044796994,14.5199818837062,20.2358678621844,-6.60782015939496,-12.2361714958753,6.70520571328886,-2.20363200756803,6.5229344824622,5.34882569993992,-0.0482369943232014,-0.825776976333418,-0.0629117098891637,22.4805000631056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_Y15-24_NaceF",-188595.5044109,0.0409515667102841,0.4638981862432,-1.17907410003596,0.19469860929988,0.4795257377826,1.36831659835441,-1.71686403340997,-0.0994717903467076,2.69949804069018,2.34829157409961,-4.29771207675036,-2.04490476517694,4.55153410601894,4.6104959174946,-0.221866366981356,-2.53316958949288,-0.598769426275777,1.29851999108106,3.13242098094317,0.889581375826041,0.508273186792631,-0.470267031976253,1.22956351694399,-0.571939797106008,-0.414588774865864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_Y25-64_NaceF",-37070.2015404872,0.179958406064564,0.230532979035946,-0.430727817098174,0.093029641482015,-0.072793209484351,0.926732099184897,-1.15624625411714,-0.0227525323208128,0.331159396780797,0.797995046378279,-2.0901003385643,-1.47771858641994,1.9564352665063,2.36409947402813,-0.24988248089956,-0.885928513893791,0.705629469733798,0.530302410771092,3.04350705527561,1.25969963238708,0.406613328284133,-2.80637997463976,-0.746344473177684,1.16157282772539,0.734357022981733,0.936957621066976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_Y15-24_NaceG-I",-3683440.50067832,-0.598878643726733,-1.73047469816589,2.40947614451922,-0.0466609108705333,-0.0334618917560598,-10.1367757959199,14.3353720005873,0.403225380993244,5.45783905923961,-1.5833497971857,4.71711347641175,4.14620258041051,-15.1681146698059,-25.956577031521,11.0387582469867,21.4631782688565,-7.0224892551112,-2.54887655652722,-12.4893774957664,-10.3822393994935,-5.77206603788021,-37.4825474674393,-14.2066130355456,-13.6861763901949,-15.7880914842894,-3.60168789310485,-1.35934678982042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_Y25-64_NaceG-I",-1237235.7015316,-0.71880518003834,-0.78360822267314,1.95873142229731,-0.303034411039284,-0.153283608546544,-4.31507290087233,7.37040396415759,0.318519731224729,-2.28618953100063,-2.79783530571563,6.8234972029682,6.86656718554293,-12.4271373605739,-12.0185310516794,6.49248736464294,5.38352236815606,-3.41421864360924,-2.06299360886009,-7.92323819974383,-5.99335320976093,-3.37287832019054,-16.3949319275252,-5.7855354991714,-2.42758605661881,-6.00731206808107,-1.49960018795973,-0.802374486134174,18.6990136266939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_Y15-24_NaceJ",-73660.8710248816,-0.121738513508789,0.0588088387607581,0.269083760688428,0.040105287010078,-0.246259372950476,-5.93342000812718,-4.51438215126044,-0.0966555008539105,-0.702591373298236,-6.0492819443164,-0.96487043927553,0.303186785338111,-0.447096952609615,-1.13367285217777,1.45615735623033,0.803192478676518,1.33842691779222,-0.350900710874139,1.18306803265832,1.05278070177868,0.129210035903453,-0.414265893966274,-0.310931364121389,-0.998749095616449,-1.3987530011666,-0.515272530682519,-0.220370069396129,-0.29961353070596,0.0906018483043957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_Y25-64_NaceJ",42430.8535066773,0.0290108696787927,-0.308430283451374,0.603654504424918,-0.0597513650930649,-0.264483725559271,-4.92705915479038,-1.46121164655279,-0.066594544050015,-0.523409237188012,-4.16354372984221,-2.69260958431424,-3.83387970527659,2.20513136663212,-0.917147057475729,0.295726895221886,4.74390328906306,2.39024559210444,-0.097268924008694,0.887824055207253,2.45869412965138,0.457438356552042,-2.86449990061593,-2.14323796489675,-1.86870877665445,-1.62020834614531,-0.826106580739575,-0.147740270852766,2.19964490599512,0.112514188946006,0.670460119529277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emp_Y15-24_NaceK",-666035.284350722,-0.314165183409013,0.235667550421641,0.0365947007911421,0.103607472680125,-0.0617045404838954,-2.22433938451056,-1.9320426090838,-0.123039585635821,1.6258734045996,-1.23173615824248,-0.869817019802632,-1.24604045913042,1.6833639239351,1.60183879931686,-0.820328649749434,-0.366287553613524,0.588310635489607,0.655429806196516,3.6200065668476,0.96457806367627,0.689973870224497,-0.151731971200345,-0.346207964860872,-0.162504243368955,-0.291548963543667,0.0261665257518358,0.0808532522017731,-1.56426510791923,-0.540061000689745,0.528144113782295,0.167919934507423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
