PC_UP95,AT31	: 	: 	10.2 e	7.7 e	7.2 e	5.7 e	8.3 e	6.6 e	6.4 e	: 	: 	: 	: 	: 
PC_UP95,AT32	: 	: 	12.0 e	6.7 e	7.3 e	6.7 e	7.6 e	7.5 e	7.2 e	: 	: 	: 	: 	: 
PC_UP95,AT33	: 	: 	12.0 e	5.6 e	8.2 e	7.0 e	5.8 e	6.0 e	11.5 e	: 	: 	: 	: 	: 
PC_UP95,AT34	: 	: 	10.5 e	7.5 e	7.7 e	8.9 e	7.9 e	6.2 e	8.9 e	: 	: 	: 	: 	: 
PC_Y_LT60,MT	: 	9.2 	9.8 	9.0 	9.0 	8.9 	9.2 	9.2 	8.6 	9.6 	9.7 	9.6 	: 	: 
PC_Y_LT60,NL	: 	10.1 	10.1 	9.2 	8.7 	8.7 	8.2 	8.3 	8.1 	9.5 	10.7 	9.7 	: 	: 
PC_Y_LT60,NL1	: 	11.7 	13.1 	11.2 	9.9 	11.3 	: 	: 	: 	: 	: 	: 	: 	: 
PC_Y_LT60,NL2	: 	7.9 	9.5 	8.3 	8.1 	7.7 	: 	: 	: 	: 	: 	: 	: 	: 
PC_Y_LT60,NL3	: 	11.0 	10.4 	9.6 	8.8 	8.7 	: 	: 	: 	: 	: 	: 	: 	: 
PC_Y_LT60,NL4	: 	9.5 	8.3 	8.1 	8.7 	8.4 	: 	: 	: 	: 	: 	: 	: 	: 
PC_Y_LT60,NO	: 	7.5 	5.8 	6.3 	7.0 	6.9 	7.2 	6.8 	6.4 	8.5 	7.5 	8.2 	7.9 	0.4 
PC_Y_LT60,NO01	: 	5.0 	5.4 	7.0 	7.2 	7.4 	6.6 	7.1 	6.9 	8.3 	8.6 	9.4 	: 	0.8 
PC_Y_LT60,NO02	: 	8.1 	7.9 	5.6 	5.7 	5.4 	8.3 	7.0 	7.4 	10.1 	5.8 	7.8 	: 	0.0 
PC_Y_LT60,NO03	: 	11.2 	7.8 	7.9 	8.4 	8.9 	8.3 	7.0 	7.0 	9.4 	8.3 	5.8 	: 	0.7 
PC_Y_LT60,NO04	: 	6.1 	4.8 	5.3 	4.9 	7.2 	8.4 	6.9 	7.4 	9.1 	8.6 	10.4 	: 	0.0 
PC_Y_LT60,NO05	: 	6.1 	4.2 	5.0 	6.3 	4.4 	5.3 	4.7 	4.4 	7.1 	5.9 	8.0 	: 	0.1 
PC_Y_LT60,NO06	: 	9.3 	6.1 	5.7 	7.3 	6.3 	6.7 	7.9 	5.5 	5.9 	6.1 	6.5 	: 	0.5 
PC_Y_LT60,NO07	: 	10.9 	5.9 	6.4 	8.9 	8.1 	8.3 	7.5 	5.7 	10.0 	7.1 	8.3 	: 	0.6 
PC_Y_LT60,PL	: 	6.9 	7.3 	7.1 	6.8 	6.9 	7.3 	6.9 	7.9 	10.0 	12.3 	14.2 	: 	: 
PC_Y_LT60,PL1	: 	6.2 	6.5 	6.3 	5.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_Y_LT60,PL2	: 	6.4 	6.5 	6.3 	7.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_Y_LT60,PL3	: 	7.1 	7.1 	7.6 	6.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_Y_LT60,PL4	: 	7.3 	7.0 	6.6 	7.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_Y_LT60,PL5	: 	7.2 	7.2 	8.5 	7.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_Y_LT60,PL6	: 	7.9 	10.0 	8.3 	7.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_Y_LT60,PT	: 	10.8 	12.1 	12.2 	10.1 	8.2 	8.6 	6.9 	6.3 	7.2 	6.6 	5.9 	6.9 	: 
PC_Y_LT60,RO	: 	7.9 	7.2 	7.6 	7.9 	7.3 	7.7 	8.0 	8.5 	9.9 	: 	: 	: 	: 
PC_Y_LT60,RO1	: 	6.0 	6.9 	8.8 	9.2 	6.8 	6.2 	7.7 	8.9 	10.3 	: 	: 	: 	: 
PC_Y_LT60,RO11	: 	4.3 	6.0 	8.1 	11.0 	7.6 	6.0 	9.4 	10.1 	9.9 	: 	: 	: 	: 
PC_Y_LT60,RO12	: 	7.8 	7.9 	9.6 	7.2 	6.0 	6.4 	5.8 	7.5 	10.7 	: 	: 	: 	: 
PC_Y_LT60,RO2	: 	6.8 	6.4 	7.3 	6.9 	7.3 	8.3 	7.9 	7.7 	8.0 	: 	: 	: 	: 
PC_Y_LT60,RO21	: 	4.7 	3.7 	5.6 	5.2 	4.9 	5.5 	5.5 	5.5 	5.5 	: 	: 	: 	: 
PC_Y_LT60,RO22	: 	9.8 	9.8 	9.6 	9.1 	10.4 	11.9 	11.0 	10.5 	11.3 	: 	: 	: 	: 
PC_Y_LT60,RO3	: 	7.8 	6.6 	6.0 	5.8 	6.0 	6.9 	8.4 	8.2 	10.9 	: 	: 	: 	: 
PC_Y_LT60,RO31	: 	8.6 	7.4 	7.8 	8.2 	8.2 	9.6 	11.8 	10.2 	13.3 	: 	: 	: 	: 
