unit,isced11,geo\time	2014 	2013 	2012 
PC_GDP,ED1_2,HU	: 	1.55 	1.52 
PC_GDP,ED1_2,IE	: 	3.10 	3.31 
PC_GDP,ED1_2,IT	: 	1.76 	1.74 
PC_GDP,ED1_2,JP	: 	1.99 	2.04 
PC_GDP,ED1_2,LT	1.82 	1.89 	2.02 
PC_GDP,ED1_2,LU	: 	2.01 	2.32 
PC_GDP,ED1_2,LV	: 	1.50 	1.35 
PC_GDP,ED1_2,MT	2.83 	3.03 	2.86 
PC_GDP,ED1_2,NL	2.43 	2.76 	2.68 
PC_GDP,ED1_2,NO	: 	2.51 	2.43 
PC_GDP,ED1_2,PL	: 	2.32 	2.30 
PC_GDP,ED1_2,PT	: 	2.88 	2.63 
PC_GDP,ED1_2,RO	: 	1.04 	0.97 
PC_GDP,ED1_2,SE	: 	2.65 	2.62 
PC_GDP,ED1_2,SI	: 	2.39 	2.47 
PC_GDP,ED1_2,SK	: 	1.75 	: d
PC_GDP,ED1_2,TR	: 	: 	1.69 
PC_GDP,ED1_2,UK	: 	: 	2.81 
PC_GDP,ED1_2,US	: 	: 	2.43 
PC_GDP,ED2,AT	: 	1.27 	1.25 
PC_GDP,ED2,BE	: 	0.92 	0.93 
PC_GDP,ED2,BG	: 	0.83 	0.70 
PC_GDP,ED2,CH	: 	1.10 	1.10 
PC_GDP,ED2,CY	: 	1.37 	1.37 
PC_GDP,ED2,CZ	: 	0.93 	0.95 
PC_GDP,ED2,DE	: 	1.28 	1.29 
PC_GDP,ED2,DK	: 	1.18 	1.21 
PC_GDP,ED2,EE	: 	0.72 	0.76 
PC_GDP,ED2,ES	0.74 	0.76 	0.84 
PC_GDP,ED2,EU28	: 	1.05 d	1.02 d
PC_GDP,ED2,FI	1.09 	1.13 	1.12 d
PC_GDP,ED2,FR	: 	1.27 	1.28 
PC_GDP,ED2,HU	: 	0.66 	0.78 
PC_GDP,ED2,IE	: 	0.98 	1.04 
PC_GDP,ED2,IS	: 	1.08 	1.09 
PC_GDP,ED2,IT	: 	0.72 	0.74 
PC_GDP,ED2,JP	: 	0.74 	0.76 
PC_GDP,ED2,LT	1.13 	1.18 	1.28 
PC_GDP,ED2,LU	: 	0.82 	0.89 
PC_GDP,ED2,LV	: 	0.48 	0.44 
PC_GDP,ED2,MT	1.23 	1.35 	1.32 
PC_GDP,ED2,NL	1.19 	1.34 	1.28 
PC_GDP,ED2,NO	: 	0.80 	0.78 
PC_GDP,ED2,PL	: 	0.80 	0.80 
PC_GDP,ED2,PT	: 	1.27 	1.19 
PC_GDP,ED2,RO	: 	0.53 	0.49 
PC_GDP,ED2,SE	: 	0.86 	0.87 
PC_GDP,ED2,SI	: 	0.83 	0.86 
PC_GDP,ED2,SK	: 	0.93 	: d
PC_GDP,ED2,TR	: 	1.05 	0.81 
PC_GDP,ED2,UK	: 	1.13 	0.98 
PC_GDP,ED2,US	: 	: 	0.85 
PC_GDP,ED24,AT	: 	1.27 	1.25 
PC_GDP,ED24,BG	: 	0.83 	0.70 
PC_GDP,ED24,CH	: 	1.10 	1.10 
PC_GDP,ED24,CY	: 	1.37 	1.37 
PC_GDP,ED24,CZ	: 	0.93 	0.94 
PC_GDP,ED24,DE	: 	1.28 	1.29 
PC_GDP,ED24,DK	: 	: d	1.21 
PC_GDP,ED24,EE	: 	0.71 	0.76 
PC_GDP,ED24,ES	0.74 	0.76 	0.81 
PC_GDP,ED24,EU28	: 	1.01 d	: d
PC_GDP,ED24,FI	1.09 	1.13 	1.12 d
PC_GDP,ED24,FR	: 	1.27 	1.28 
PC_GDP,ED24,HU	: 	0.65 	0.77 
PC_GDP,ED24,IE	: 	0.98 	1.04 d
PC_GDP,ED24,IS	: 	1.08 	1.09 
PC_GDP,ED24,IT	: 	0.71 	0.73 
PC_GDP,ED24,JP	: 	0.74 	0.76 
PC_GDP,ED24,LT	1.10 	1.14 	1.25 
PC_GDP,ED24,LU	: 	0.82 	0.89 
PC_GDP,ED24,LV	: 	0.48 	0.44 
PC_GDP,ED24,MT	1.23 	1.34 	1.30 
PC_GDP,ED24,NL	0.76 	0.86 	0.82 
PC_GDP,ED24,NO	: 	0.80 	0.78 
PC_GDP,ED24,PL	: 	0.80 	0.80 
PC_GDP,ED24,PT	: 	: 	: d
PC_GDP,ED24,RO	: 	0.53 	0.49 
PC_GDP,ED24,RS	: 	: d	: 
PC_GDP,ED24,SI	: 	0.83 	0.86 
PC_GDP,ED24,SK	: 	0.90 	0.85 
PC_GDP,ED24,TR	: 	1.05 	0.81 
PC_GDP,ED24,UK	: 	0.97 	0.86 
PC_GDP,ED24,US	: 	: 	0.85 
PC_GDP,ED25,AT	: 	: z	: z
PC_GDP,ED25,BG	: 	0.00 	0.00 
PC_GDP,ED25,CH	: z	: z	: z
PC_GDP,ED25,CY	: 	: z	: z
PC_GDP,ED25,CZ	: 	0.00 	0.00 
PC_GDP,ED25,DE	: 	: z	: z
PC_GDP,ED25,DK	: 	: z	: z
PC_GDP,ED25,EE	: 	0.01 	: z
PC_GDP,ED25,ES	: zd	: zd	: 
PC_GDP,ED25,EU28	: 	0.05 d	: d
PC_GDP,ED25,FI	: z	: z	: z
PC_GDP,ED25,FR	: 	: z	: z
PC_GDP,ED25,HU	: 	0.00 	0.00 
PC_GDP,ED25,IE	: 	: z	: d
PC_GDP,ED25,IS	: 	: z	: zd
PC_GDP,ED25,IT	: 	0.00 	0.01 
PC_GDP,ED25,JP	: 	: z	: z
PC_GDP,ED25,LI	: 	: z	: 
PC_GDP,ED25,LT	0.04 	0.04 	0.03 
PC_GDP,ED25,LU	: 	: z	: z
PC_GDP,ED25,LV	: 	0.00 	0.00 
PC_GDP,ED25,MK	: 	: z	: 
PC_GDP,ED25,MT	0.01 	0.01 	0.02 
PC_GDP,ED25,NL	0.43 	0.48 	0.46 
PC_GDP,ED25,NO	: 	: z	: z
PC_GDP,ED25,PL	: 	: d	: 
PC_GDP,ED25,PT	: 	: 	: d
PC_GDP,ED25,RO	: 	: z	: z
PC_GDP,ED25,RS	: 	: z	: 
PC_GDP,ED25,SI	: 	: z	: z
PC_GDP,ED25,SK	: 	0.02 	: d
PC_GDP,ED25,TR	: 	: z	: z
PC_GDP,ED25,UK	: 	0.16 	0.11 
PC_GDP,ED25,US	: 	: 	: z
PC_GDP,ED3,AT	: 	1.09 	1.10 
PC_GDP,ED3,BG	: 	0.83 	0.74 
PC_GDP,ED3,CH	: d	: 	: 
PC_GDP,ED3,CY	: 	1.57 	1.57 
PC_GDP,ED3,CZ	: 	0.96 	1.03 
PC_GDP,ED3,DE	: 	0.89 	0.92 
PC_GDP,ED3,DK	: 	1.68 	: 
PC_GDP,ED3,EE	: 	0.72 	1.00 
PC_GDP,ED3,ES	0.82 d	0.84 d	0.83 
PC_GDP,ED3,EU28	: 	1.07 d	1.04 d
PC_GDP,ED3,FI	1.59 	: d	: d
PC_GDP,ED3,FR	: 	1.20 	1.21 
PC_GDP,ED3,HU	: 	0.85 	0.97 
PC_GDP,ED3,IE	: 	0.98 	1.02 
PC_GDP,ED3,IS	: 	1.22 	1.23 
PC_GDP,ED3,IT	: 	1.11 	1.07 
PC_GDP,ED3,JP	: 	0.69 	0.72 
PC_GDP,ED3,LT	0.56 	0.61 	0.63 
PC_GDP,ED3,LU	: 	0.87 	0.97 
PC_GDP,ED3,LV	: 	0.62 	0.63 
PC_GDP,ED3,MT	1.27 	1.62 	1.83 
PC_GDP,ED3,NL	1.04 	1.13 	1.11 
PC_GDP,ED3,NO	: 	0.00 d	: d
PC_GDP,ED3,PL	: 	0.84 	0.87 
PC_GDP,ED3,PT	: 	1.12 d	1.06 d
PC_GDP,ED3,RO	: 	0.60 	0.58 
PC_GDP,ED3,RS	: 	: d	: 
PC_GDP,ED3,SE	: 	1.37 	1.42 
PC_GDP,ED3,SI	: 	1.06 	: d
PC_GDP,ED3,SK	: 	0.87 	0.92 d
PC_GDP,ED3,TR	: 	0.99 	0.87 
PC_GDP,ED3,UK	: 	1.48 	1.49 
PC_GDP,ED3,US	: 	: 	0.88 
PC_GDP,ED34,AT	: 	0.36 	0.37 
PC_GDP,ED34,BG	: 	0.36 	0.31 
PC_GDP,ED34,CH	: d	: 	: 
PC_GDP,ED34,CY	: 	1.23 	1.23 
PC_GDP,ED34,CZ	: 	0.21 	0.23 
PC_GDP,ED34,DE	: 	0.45 	0.45 
PC_GDP,ED34,DK	: 	: d	: 
PC_GDP,ED34,EE	: 	0.37 	0.61 
PC_GDP,ED34,ES	0.49 	0.51 	0.49 
PC_GDP,ED34,EU28	: 	0.59 d	: d
PC_GDP,ED34,FI	0.39 	0.41 	0.41 d
PC_GDP,ED34,FR	: 	0.74 	0.74 
PC_GDP,ED34,HU	: 	0.64 	0.70 
PC_GDP,ED34,IE	: 	0.98 	: d
PC_GDP,ED34,IS	: 	0.71 	0.73 
PC_GDP,ED34,JP	: 	: d	: 
PC_GDP,ED34,LT	0.35 	0.37 	0.40 
PC_GDP,ED34,LU	: 	0.37 	0.33 
PC_GDP,ED34,LV	: 	0.38 	0.37 
PC_GDP,ED34,MT	1.09 	1.47 	1.63 
PC_GDP,ED34,NL	0.29 	0.32 	0.32 
PC_GDP,ED34,NO	: 	: d	: d
PC_GDP,ED34,PL	: 	0.33 	0.35 
PC_GDP,ED34,PT	: 	: 	: d
PC_GDP,ED34,RO	: 	0.58 	0.57 
PC_GDP,ED34,RS	: 	: d	: 
PC_GDP,ED34,SE	: 	0.57 	0.59 
PC_GDP,ED34,SI	: 	0.46 	: d
PC_GDP,ED34,SK	: 	0.23 	0.23 
PC_GDP,ED34,TR	: 	0.42 	0.41 
PC_GDP,ED34,UK	: 	1.02 	0.95 
PC_GDP,ED34_44,AT	: 	0.36 	0.37 
PC_GDP,ED34_44,BE	: 	0.77 	0.77 
PC_GDP,ED34_44,BG	: 	0.36 	0.31 
PC_GDP,ED34_44,CH	: 	0.39 	0.39 
PC_GDP,ED34_44,CY	: 	1.23 	1.23 
PC_GDP,ED34_44,CZ	: 	0.22 	0.23 
PC_GDP,ED34_44,DE	: 	0.49 	0.50 
PC_GDP,ED34_44,DK	: 	: d	: 
PC_GDP,ED34_44,EE	: 	0.37 	0.61 
PC_GDP,ED34_44,ES	0.49 	0.51 	0.49 
PC_GDP,ED34_44,EU28	: 	: 	: d
PC_GDP,ED34_44,FI	0.39 	0.41 	0.41 
PC_GDP,ED34_44,FR	: 	0.74 	: 
PC_GDP,ED34_44,HU	: 	0.64 	0.70 
PC_GDP,ED34_44,IE	: 	0.98 	: d
PC_GDP,ED34_44,IS	: 	0.71 	0.73 
PC_GDP,ED34_44,JP	: 	: d	0.72 
