unit,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
AVG,ES43	: 	2.1 	2.1 	2.0 	2.0 	2.0 	2.1 	2.0 	1.9 	2.0 	2.0 	1.8 	1.7 	: 
AVG,ES5	: 	1.9 	1.9 	1.9 	1.9 	1.8 	1.9 	1.9 	1.9 	1.9 	1.9 	1.8 	1.6 	: 
AVG,ES51	: 	1.8 	1.8 	1.8 	1.8 	1.7 	1.9 	1.9 	1.9 	1.9 	1.8 	1.8 	1.6 	: 
AVG,ES52	: 	2.0 	1.9 	1.9 	1.9 	1.9 	2.0 	2.0 	2.0 	2.0 	1.9 	1.7 	1.6 	: 
AVG,ES53	: 	1.9 	1.8 	1.8 	2.0 	1.9 	1.8 	1.9 	1.9 	1.9 	1.8 	1.8 	1.6 	: 
AVG,ES6	: 	1.8 	1.8 	1.8 	1.8 	1.8 	1.9 	1.8 	1.8 	1.8 	1.7 	1.6 	1.4 	: 
AVG,ES61	: 	1.8 	1.8 	1.8 	1.8 	1.8 	1.9 	1.8 	1.8 	1.8 	1.7 	1.6 	1.5 	: 
AVG,ES62	: 	1.9 	1.8 	1.8 	1.8 	1.7 	1.8 	1.8 	1.8 	1.7 	1.6 	1.7 	1.4 	: 
AVG,ES63	: 	1.3 	1.2 	1.2 	1.2 	1.1 	1.3 	1.3 	1.2 	1.2 	1.2 	1.1 	1.2 	: 
AVG,ES64	: 	1.5 	1.5 	1.4 	1.3 	1.3 	1.4 	1.4 	1.5 	1.4 	1.4 	: 	: 	: 
AVG,ES7	: 	1.7 	1.8 	1.7 	1.6 	1.6 	1.7 	1.7 	1.8 	1.7 	1.7 	1.6 	1.4 	: 
AVG,ES70	: 	1.7 	1.8 	1.7 	1.6 	1.6 	1.7 	1.7 	1.8 	1.7 	1.7 	1.6 	1.4 	: 
AVG,FI	: 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.8 	1.8 	1.8 	: 
AVG,FI1	: 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.8 	1.8 	1.8 	: 
AVG,FI13	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.9 	1.8 	1.8 	1.8 	: 
AVG,FI18	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.9 	1.8 	1.8 	1.8 	: 
AVG,FI19	: 	1.9 	2.0 	2.0 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.8 	: 
AVG,FI1A	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.8 	1.8 	1.7 	1.7 	: 
AVG,FI1B	: 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	: 	: 	: 	: 	: 
AVG,FI1C	: 	2.0 	1.9 	1.9 	1.9 	1.9 	2.0 	2.0 	1.9 	: 	: 	: 	: 	: 
AVG,FI1D	: 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.8 	1.8 	: 	: 	: 	: 	: 
AVG,FI2	: 	2.2 	2.1 	2.0 	2.2 	2.2 	2.2 	2.1 	2.1 	2.3 	2.3 	2.0 	2.2 	: 
AVG,FI20	: 	2.2 	2.1 	2.0 	2.2 	2.2 	2.2 	2.1 	2.1 	2.3 	2.3 	2.0 	2.2 	: 
AVG,FR	: 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.7 	1.7 	1.7 	1.7 	1.7 	: 
AVG,HR	: 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	: 	: 	: 	: 	: 	: 	: 
AVG,HU	1.2 	1.2 	1.2 	1.1 	1.1 	1.1 	1.0 	1.1 	1.0 	1.0 	1.0 	1.0 	: 	: 
AVG,HU1	: 	1.2 	1.2 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.0 	1.1 	: 	: 
AVG,HU2	: 	1.2 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.0 	1.0 	1.0 	: 	: 
AVG,HU3	: 	1.2 	1.2 	1.1 	1.1 	1.1 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	: 	: 
AVG,IE	: 	2.1 	2.0 	2.1 	2.1 	2.1 	2.1 	2.1 	2.0 	2.0 	2.0 	2.0 	2.0 	1.9 
AVG,IE0	: 	2.1 	2.0 	2.1 	2.1 	2.1 	2.1 	2.1 	2.0 	: 	: 	: 	: 	: 
AVG,IE01	: 	2.1 	2.1 	2.1 	2.2 	2.2 	2.2 	2.1 	2.1 	2.0 	2.0 	2.0 	2.1 	2.0 
AVG,IE02	: 	2.0 	2.0 	2.1 	2.0 	2.0 	2.1 	2.0 	2.0 	2.0 	2.0 	2.0 	1.9 	1.9 
AVG,IS	: 	1.6 	1.6 	1.5 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	: 
AVG,IT	: 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	: 
AVG,ITC	: 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	: 	: 	: 	: 	: 
AVG,ITC1	: 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.5 	1.5 	1.4 	1.4 	1.4 	1.4 	: 
AVG,ITC2	: 	1.5 	1.5 	1.5 	1.5 	1.6 	1.5 	1.6 	1.6 	1.4 	1.5 	1.5 	1.5 	: 
AVG,ITC3	: 	1.5 	1.5 	1.5 	1.5 	1.5 	1.6 	1.6 	1.6 	1.6 	1.5 	1.5 	1.6 	: 
AVG,ITC4	: 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	: 
AVG,ITF	: 	1.2 	1.2 	1.2 	1.2 	1.2 	1.3 	1.3 	1.2 	: 	: 	: 	: 	: 
AVG,ITF1	: 	1.2 	1.3 	1.4 	1.4 	1.3 	1.4 	1.5 	1.5 	1.4 	1.4 	1.4 	1.4 	: 
AVG,ITF2	: 	1.6 	1.7 	1.5 	1.4 	1.4 	1.5 	1.6 	1.6 	1.5 	1.4 	1.4 	1.4 	: 
AVG,ITF3	: 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.2 	1.1 	1.1 	1.1 	1.1 	1.1 	: 
AVG,ITF4	: 	1.3 	1.3 	1.3 	1.3 	1.3 	1.3 	1.3 	1.3 	1.3 	1.2 	1.2 	1.2 	: 
AVG,ITF5	: 	1.5 	1.5 	1.5 	1.4 	1.3 	1.3 	1.3 	1.3 	1.3 	1.3 	1.3 	1.3 	: 
AVG,ITF6	: 	1.3 	1.3 	1.3 	1.3 	1.4 	1.4 	1.4 	1.3 	1.3 	1.2 	1.2 	1.2 	: 
AVG,ITG	: 	1.5 	1.4 	1.4 	1.5 	1.4 	1.4 	1.4 	1.4 	: 	: 	: 	: 	: 
AVG,ITG1	: 	1.5 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.3 	1.3 	1.3 	1.3 	: 
AVG,ITG2	: 	1.5 	1.6 	1.6 	1.5 	1.5 	1.5 	1.5 	1.5 	1.4 	1.4 	1.4 	1.4 	: 
AVG,ITH	: 	1.5 	1.5 	1.5 	1.5 	1.5 	1.5 	1.5 	1.5 	: 	: 	: 	: 	: 
AVG,ITH1	: 	1.4 	1.4 	1.4 	1.3 	1.3 	1.4 	1.3 	1.3 	1.3 	1.3 	1.3 	1.3 	: 
AVG,ITH2	: 	1.3 	1.3 	1.3 	1.3 	1.4 	1.3 	1.3 	1.3 	1.3 	1.3 	1.4 	1.3 	: 
AVG,ITH3	: 	1.4 	1.5 	1.5 	1.5 	1.5 	1.6 	1.6 	1.5 	1.5 	1.5 	1.5 	1.5 	: 
AVG,ITH4	: 	1.6 	1.6 	1.6 	1.6 	1.6 	1.7 	1.7 	1.6 	1.6 	1.6 	1.6 	1.5 	: 
AVG,ITH5	: 	1.5 	1.5 	1.5 	1.5 	1.5 	1.6 	1.5 	1.5 	1.5 	1.5 	1.5 	1.5 	: 
AVG,ITI	: 	1.4 	1.4 	1.4 	1.4 	1.4 	1.5 	1.4 	1.4 	: 	: 	: 	: 	: 
AVG,ITI1	: 	1.5 	1.5 	1.5 	1.6 	1.5 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	: 
AVG,ITI2	: 	1.4 	1.4 	1.4 	1.6 	1.5 	1.5 	1.5 	1.5 	1.5 	1.4 	1.5 	1.4 	: 
AVG,ITI3	: 	1.3 	1.3 	1.4 	1.4 	1.4 	1.5 	1.5 	1.5 	1.5 	1.5 	1.5 	1.5 	: 
AVG,ITI4	: 	1.4 	1.4 	1.3 	1.3 	1.3 	1.3 	1.3 	1.3 	1.3 	1.3 	1.3 	1.3 	: 
AVG,LT	: 	1.5 	1.4 	1.4 	1.6 	1.6 	1.1 	1.1 	1.1 	1.0 	1.0 	1.0 	: 	: 
AVG,LU	: 	2.0 	2.0 	2.0 	2.0 	1.9 	1.9 	1.9 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 
AVG,LV	1.2 	1.2 	1.2 	1.2 	1.3 	1.2 	1.0 	1.0 	1.0 	1.0 	0.9 	0.9 	: 	: 
AVG,MK	: 	0.9 	1.0 b	0.9 	0.9 	0.9 	0.9 	: 	: 	: 	: 	: 	: 	: 
AVG,MT	: 	2.1 	2.1 	2.1 	2.1 	2.1 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	: 	: 
AVG,NL	: 	1.9 	1.9 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	: 	: 
