unit,iscedf13,isced11,sex,geo\time	2015 	2014 	2013 
NR,F00,ED5,M,NL	0 	: 	: 
NR,F00,ED5,M,NO	0 	: 	: 
NR,F00,ED5,M,PL	0 	: 	: 
NR,F00,ED5,M,PT	0 	: 	: 
NR,F00,ED5,M,RO	: z	: 	: 
NR,F00,ED5,M,RS	: z	: 	: 
NR,F00,ED5,M,SE	0 	: 	: 
NR,F00,ED5,M,SI	0 	: 	: 
NR,F00,ED5,M,SK	0 	: 	: 
NR,F00,ED5,M,UK	8029 	: 	: 
NR,F00,ED5,T,AT	47 	: 	: 
NR,F00,ED5,T,BE	0 	: 	: 
NR,F00,ED5,T,BG	: z	: 	: 
NR,F00,ED5,T,CH	0 	: 	: 
NR,F00,ED5,T,CY	0 	: 	: 
NR,F00,ED5,T,CZ	0 	: 	: 
NR,F00,ED5,T,DE	0 	0 	0 
NR,F00,ED5,T,DK	0 	: 	: 
NR,F00,ED5,T,EE	: z	: 	: 
NR,F00,ED5,T,ES	0 	: 	: 
NR,F00,ED5,T,FI	: z	: 	: 
NR,F00,ED5,T,FR	0 	: 	: 
NR,F00,ED5,T,HR	0 	: 	: 
NR,F00,ED5,T,HU	0 	: 	: 
NR,F00,ED5,T,LI	: z	: 	: 
NR,F00,ED5,T,LT	: z	: 	: 
NR,F00,ED5,T,LU	0 	: 	: 
NR,F00,ED5,T,LV	0 	: 	: 
NR,F00,ED5,T,MK	: z	: 	: 
NR,F00,ED5,T,MT	0 	: 	: 
NR,F00,ED5,T,NL	0 	: 	: 
NR,F00,ED5,T,NO	0 	: 	: 
NR,F00,ED5,T,PL	0 	: 	: 
NR,F00,ED5,T,PT	0 	: 	: 
NR,F00,ED5,T,RO	: z	: 	: 
NR,F00,ED5,T,RS	: z	: 	: 
NR,F00,ED5,T,SE	0 	: 	: 
NR,F00,ED5,T,SI	0 	: 	: 
NR,F00,ED5,T,SK	0 	: 	: 
NR,F00,ED5,T,UK	21444 	: 	: 
NR,F00,ED6,F,AT	0 	: 	: 
NR,F00,ED6,F,BE	0 	: 	: 
NR,F00,ED6,F,BG	0 	: 	: 
NR,F00,ED6,F,CH	0 	: 	: 
NR,F00,ED6,F,CY	0 	: 	: 
NR,F00,ED6,F,CZ	0 	: 	: 
NR,F00,ED6,F,DE	0 	0 	0 
NR,F00,ED6,F,DK	0 	: 	: 
NR,F00,ED6,F,EE	0 	: 	: 
NR,F00,ED6,F,ES	0 	: 	: 
NR,F00,ED6,F,FI	0 	: 	: 
NR,F00,ED6,F,FR	0 	: 	: 
NR,F00,ED6,F,HR	0 	: 	: 
NR,F00,ED6,F,HU	0 	: 	: 
NR,F00,ED6,F,LI	0 	: 	: 
NR,F00,ED6,F,LT	0 	: 	: 
NR,F00,ED6,F,LU	0 	: 	: 
NR,F00,ED6,F,LV	0 	: 	: 
NR,F00,ED6,F,MK	0 	: 	: 
NR,F00,ED6,F,MT	0 	: 	: 
NR,F00,ED6,F,NL	0 	: 	: 
NR,F00,ED6,F,NO	418 	: 	: 
NR,F00,ED6,F,PL	0 	: 	: 
NR,F00,ED6,F,PT	0 	: 	: 
NR,F00,ED6,F,RO	0 	: 	: 
NR,F00,ED6,F,RS	0 	: 	: 
NR,F00,ED6,F,SE	0 	: 	: 
NR,F00,ED6,F,SI	0 	: 	: 
NR,F00,ED6,F,SK	0 	: 	: 
NR,F00,ED6,F,UK	14828 	: 	: 
NR,F00,ED6,M,AT	0 	: 	: 
NR,F00,ED6,M,BE	0 	: 	: 
NR,F00,ED6,M,BG	0 	: 	: 
NR,F00,ED6,M,CH	0 	: 	: 
NR,F00,ED6,M,CY	0 	: 	: 
NR,F00,ED6,M,CZ	0 	: 	: 
NR,F00,ED6,M,DE	0 	0 	0 
NR,F00,ED6,M,DK	0 	: 	: 
NR,F00,ED6,M,EE	0 	: 	: 
NR,F00,ED6,M,ES	0 	: 	: 
NR,F00,ED6,M,FI	0 	: 	: 
NR,F00,ED6,M,FR	0 	: 	: 
NR,F00,ED6,M,HR	0 	: 	: 
NR,F00,ED6,M,HU	0 	: 	: 
NR,F00,ED6,M,LI	0 	: 	: 
NR,F00,ED6,M,LT	0 	: 	: 
NR,F00,ED6,M,LU	0 	: 	: 
NR,F00,ED6,M,LV	0 	: 	: 
NR,F00,ED6,M,MK	0 	: 	: 
NR,F00,ED6,M,MT	0 	: 	: 
NR,F00,ED6,M,NL	0 	: 	: 
NR,F00,ED6,M,NO	193 	: 	: 
NR,F00,ED6,M,PL	0 	: 	: 
NR,F00,ED6,M,PT	0 	: 	: 
NR,F00,ED6,M,RO	0 	: 	: 
NR,F00,ED6,M,RS	0 	: 	: 
NR,F00,ED6,M,SE	0 	: 	: 
NR,F00,ED6,M,SI	0 	: 	: 
NR,F00,ED6,M,SK	0 	: 	: 
NR,F00,ED6,M,UK	9927 	: 	: 
NR,F00,ED6,T,AT	0 	: 	: 
NR,F00,ED6,T,BE	0 	: 	: 
NR,F00,ED6,T,BG	0 	: 	: 
NR,F00,ED6,T,CH	0 	: 	: 
NR,F00,ED6,T,CY	0 	: 	: 
NR,F00,ED6,T,CZ	0 	: 	: 
NR,F00,ED6,T,DE	0 	0 	0 
NR,F00,ED6,T,DK	0 	: 	: 
NR,F00,ED6,T,EE	0 	: 	: 
NR,F00,ED6,T,ES	0 	: 	: 
