unit,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
PCH_PRE,DEC0	1.3 	-1.7 	-0.8 	4.6 	5.2 	-10.6 	0.3 	2.3 	3.0 	3.5 	3.1 	-0.3 	-1.3 	2.0 	4.4 
PCH_PRE,DED	2.1 	0.4 	0.9 	3.3 	3.1 	-4.2 	0.0 	3.1 	4.3 	-0.5 	1.8 	1.1 	2.4 	1.5 	0.4 
PCH_PRE,DEE	-0.4 	-0.3 	1.8 	-0.9 	4.3 	-5.5 	0.2 	2.4 	3.5 	-0.5 	1.0 	-0.2 	2.7 	-0.7 	1.1 
PCH_PRE,DEE0	-0.4 	-0.3 	1.8 	-0.9 	4.3 	-5.5 	0.2 	2.4 	3.5 	-0.5 	1.0 	-0.2 	2.7 	-0.7 	1.1 
PCH_PRE,DEF	1.2 	-0.8 	2.7 	2.5 	0.9 	-3.7 	2.7 	1.5 	2.8 	0.2 	1.7 	-0.1 	-1.8 	1.4 	2.5 
PCH_PRE,DEF0	1.2 	-0.8 	2.7 	2.5 	0.9 	-3.7 	2.7 	1.5 	2.8 	0.2 	1.7 	-0.1 	-1.8 	1.4 	2.5 
PCH_PRE,DEG	1.3 	1.4 	-0.3 	4.3 	4.7 	-5.1 	-0.2 	2.7 	3.4 	-0.3 	1.6 	1.3 	0.4 	0.7 	1.9 
PCH_PRE,DEG0	1.3 	1.4 	-0.3 	4.3 	4.7 	-5.1 	-0.2 	2.7 	3.4 	-0.3 	1.6 	1.3 	0.4 	0.7 	1.9 
PCH_PRE,DK	3.0 	2.0 	0.0 	5.0 	2.0 	0.0 	3.0 	3.0 	6.0 	4.0 	4.0 	3.0 	3.0 	4.0 	6.0 
PCH_PRE,DK0	4.0 	2.0 	0.0 	5.0 	3.0 	-1.0 	3.0 	2.0 	6.0 	4.0 	3.0 	3.0 	3.0 	3.0 	6.0 
PCH_PRE,DK01	3.0 	3.0 	0.0 	6.0 	5.0 	0.0 	4.0 	1.0 	4.0 	8.0 	5.0 	3.0 	1.0 	3.0 	6.0 
PCH_PRE,DK02	5.0 	0.0 	0.0 	2.0 	6.0 	-2.0 	-1.0 	2.0 	4.0 	3.0 	4.0 	3.0 	3.0 	3.0 	6.0 
PCH_PRE,DK03	4.0 	2.0 	-1.0 	5.0 	2.0 	-1.0 	3.0 	3.0 	8.0 	1.0 	2.0 	3.0 	4.0 	2.0 	4.0 
PCH_PRE,DK04	4.0 	2.0 	0.0 	4.0 	1.0 	-1.0 	3.0 	3.0 	8.0 	2.0 	3.0 	2.0 	4.0 	3.0 	6.0 
PCH_PRE,DK05	4.0 	2.0 	2.0 	1.0 	2.0 	-2.0 	4.0 	3.0 	6.0 	2.0 	0.0 	2.0 	6.0 	2.0 	6.0 
PCH_PRE,DKZ	-16.0 	5.0 	15.0 	10.0 	-31.0 	14.0 	-4.0 	11.0 	28.0 	10.0 	12.0 	-4.0 	-2.0 	64.0 	47.0 
PCH_PRE,DKZZ	-16.0 	5.0 	15.0 	10.0 	-31.0 	14.0 	-4.0 	11.0 	28.0 	10.0 	12.0 	-4.0 	-2.0 	64.0 	47.0 
PCH_PRE,EE	2.1 	1.7 	4.9 	7.8 	3.8 	-15.3 	-3.3 	7.3 	9.9 	9.4 	5.7 	7.5 	5.6 	6.0 	9.8 
PCH_PRE,EE0	2.1 	1.7 	4.9 	7.8 	3.8 	-15.3 	-3.3 	7.3 	9.9 	9.4 	5.7 	7.5 	5.6 	6.0 	9.8 
PCH_PRE,EE00	2.1 	1.7 	4.9 	7.8 	3.8 	-15.3 	-3.3 	7.3 	9.9 	9.4 	5.7 	7.5 	5.6 	6.0 	9.8 
PCH_PRE,EL	0.4 	-2.6 	-6.4 	-9.0 	-5.7 	-3.4 	-0.2 	2.7 	4.4 	0.4 	5.8 	6.2 	3.9 	3.4 	3.7 
PCH_PRE,ES	1.4 	-1.6 	-2.5 	-0.6 	0.0 	-3.4 	1.3 	4.2 	4.3 	3.5 	2.9 	2.8 	2.8 	4.1 	5.4 
PCH_PRE,ES1	0.6 	-2.3 	-3.0 	-1.6 	0.2 	-3.8 	1.9 	4.2 	4.3 	3.3 	2.8 	2.3 	2.6 	3.9 	: 
PCH_PRE,ES11	0.5 	-1.5 	-2.6 	-1.7 	0.3 	-3.4 	2.3 	4.8 	4.6 	3.6 	3.5 	2.7 	2.7 	3.8 	: 
PCH_PRE,ES12	0.6 	-3.5 	-4.0 	-0.9 	0.4 	-4.8 	1.2 	3.5 	4.2 	3.0 	1.7 	2.2 	2.2 	3.9 	: 
PCH_PRE,ES13	1.1 	-3.6 	-2.6 	-2.1 	-0.5 	-3.6 	0.9 	3.4 	3.1 	2.9 	1.7 	1.0 	2.8 	4.3 	: 
PCH_PRE,ES2	1.5 	-1.6 	-2.7 	-0.6 	0.7 	-3.7 	1.8 	4.2 	4.3 	3.3 	2.6 	2.4 	2.6 	3.3 	: 
PCH_PRE,ES21	1.3 	-2.6 	-1.6 	-0.4 	0.8 	-3.8 	1.7 	3.6 	4.0 	3.3 	2.4 	1.9 	1.7 	3.5 	: 
PCH_PRE,ES22	1.6 	-1.2 	-3.2 	0.4 	0.4 	-3.5 	2.3 	4.0 	4.3 	3.0 	3.0 	2.7 	3.0 	3.0 	: 
PCH_PRE,ES23	2.0 	-2.6 	-3.4 	-1.6 	0.5 	-4.2 	2.1 	4.6 	4.5 	3.5 	3.1 	3.6 	2.4 	2.6 	: 
PCH_PRE,ES24	1.5 	0.1 	-4.2 	-1.4 	0.7 	-3.4 	1.7 	5.2 	4.7 	3.5 	2.7 	3.0 	4.2 	3.3 	: 
PCH_PRE,ES3	1.7 	-1.8 	-0.7 	1.1 	0.1 	-2.1 	1.8 	4.5 	5.1 	4.5 	3.5 	3.0 	2.6 	4.6 	: 
PCH_PRE,ES30	1.7 	-1.8 	-0.7 	1.1 	0.1 	-2.1 	1.8 	4.5 	5.1 	4.5 	3.5 	3.0 	2.6 	4.6 	: 
PCH_PRE,ES4	0.8 	-1.5 	-3.9 	-0.8 	0.1 	-2.5 	1.7 	4.8 	4.1 	3.4 	2.8 	3.0 	3.5 	3.1 	: 
PCH_PRE,ES41	1.1 	-2.5 	-3.4 	-0.2 	0.2 	-2.7 	0.8 	3.8 	3.3 	2.7 	2.2 	2.4 	2.9 	2.5 	: 
PCH_PRE,ES42	0.3 	-0.3 	-4.8 	-1.5 	-0.3 	-2.5 	3.0 	6.3 	5.5 	4.4 	3.7 	3.9 	4.6 	4.2 	: 
PCH_PRE,ES43	1.3 	-0.7 	-3.5 	-1.2 	0.9 	-2.3 	2.1 	4.7 	4.0 	3.4 	2.7 	2.9 	3.4 	2.9 	: 
PCH_PRE,ES5	1.7 	-1.3 	-2.6 	-1.4 	0.0 	-4.0 	0.8 	3.9 	4.2 	3.3 	2.8 	2.4 	2.5 	4.4 	: 
PCH_PRE,ES51	1.7 	-1.3 	-2.4 	-1.6 	0.3 	-3.3 	0.6 	3.9 	4.2 	3.3 	3.0 	2.7 	2.6 	4.4 	: 
PCH_PRE,ES52	2.0 	-1.2 	-3.4 	-1.5 	-0.6 	-5.4 	1.1 	3.8 	4.3 	3.3 	2.8 	2.3 	3.0 	5.1 	: 
PCH_PRE,ES53	1.2 	-1.5 	-0.8 	0.2 	-0.4 	-3.8 	1.6 	3.9 	3.3 	3.2 	1.5 	0.7 	0.4 	2.3 	: 
PCH_PRE,ES6	1.2 	-1.7 	-2.9 	-0.3 	-1.0 	-3.5 	1.1 	4.3 	4.3 	3.5 	3.1 	3.8 	3.6 	4.1 	: 
PCH_PRE,ES61	1.1 	-1.8 	-3.0 	-0.2 	-1.2 	-3.4 	0.9 	4.2 	4.3 	3.4 	3.2 	3.8 	3.6 	4.1 	: 
PCH_PRE,ES62	1.8 	-1.0 	-2.6 	-1.0 	0.1 	-4.4 	2.3 	4.9 	4.5 	4.3 	2.8 	3.7 	4.1 	4.6 	: 
PCH_PRE,ES63	0.7 	0.0 	-0.9 	0.6 	1.4 	-1.5 	2.0 	3.9 	2.4 	1.8 	1.3 	2.9 	1.1 	0.6 	: 
PCH_PRE,ES64	0.6 	-0.5 	-1.2 	1.0 	0.6 	-1.3 	1.7 	2.3 	2.5 	2.8 	1.7 	2.6 	0.1 	0.3 	: 
PCH_PRE,ES7	1.8 	-0.7 	-1.8 	-0.6 	1.0 	-4.2 	0.3 	3.6 	3.1 	2.9 	1.6 	3.1 	2.3 	4.8 	: 
PCH_PRE,ES70	1.8 	-0.7 	-1.8 	-0.6 	1.0 	-4.2 	0.3 	3.6 	3.1 	2.9 	1.6 	3.1 	2.3 	4.8 	: 
PCH_PRE,ESZ	-7.0 	-0.3 	-18.9 	31.7 	4.0 	1.0 	2.3 	-2.1 	10.9 	5.9 	11.8 	-9.7 	-1.5 	2.9 	: 
PCH_PRE,ESZZ	-7.0 	-0.3 	-18.9 	31.7 	4.0 	1.0 	2.3 	-2.1 	10.9 	5.9 	11.8 	-9.7 	-1.5 	2.9 	: 
PCH_PRE,EU28	1.3 	0.3 	-0.4 	1.8 	2.1 	-4.4 	0.7 	3.3 	3.3 	2.0 	2.6 	1.3 	1.4 	2.3 	: 
PCH_PRE,FI	-0.7 	-0.9 	-1.9 	2.0 	3.0 	-8.8 	0.9 	5.9 	3.9 	2.6 	3.8 	1.2 	1.3 	2.7 	6.3 
PCH_PRE,FR	1.0 	1.6 	0.9 	3.1 	2.1 	-0.4 	3.2 	4.3 	4.4 	2.7 	5.1 	2.9 	3.4 	4.0 	3.8 
PCH_PRE,FR1	1.3 	2.2 	1.8 	1.6 	5.8 	-2.0 	8.3 	7.1 	3.5 	3.7 	3.5 	2.5 	4.0 	3.6 	: 
