unit,na_item,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
EUR_HAB,B5N,CZ06	: 	8500.00 	8500.00 	8500.00 	8200.00 	7700.00 	8300.00 	7200.00 	6400.00 	5800.00 	5200.00 	4800.00 	4700.00 	4000.00 	3500.00 
EUR_HAB,B5N,CZ07	: 	7600.00 	7900.00 	8000.00 	7500.00 	7300.00 	8000.00 	6900.00 	6400.00 	5500.00 	4900.00 	4700.00 	4600.00 	3900.00 	3500.00 
EUR_HAB,B5N,CZ08	: 	7500.00 	7800.00 	8000.00 	7600.00 	7300.00 	7900.00 	6600.00 	6000.00 	5500.00 	4800.00 	4400.00 	4400.00 	3900.00 	3400.00 
EUR_HAB,B5N,DE	: 	24900.00 	24500.00 	23900.00 	22700.00 	22200.00 	22600.00 	21700.00 	21100.00 	20300.00 	19900.00 	19700.00 	19400.00 	19500.00 	18900.00 
EUR_HAB,B5N,DE1	: 	28500.00 	27900.00 	27200.00 	25600.00 	24900.00 	26000.00 	25100.00 	24400.00 	23300.00 	22700.00 	22700.00 	22300.00 	22400.00 	21700.00 
EUR_HAB,B5N,DE11	: 	29900.00 	29300.00 	28600.00 	27000.00 	26300.00 	27500.00 	26600.00 	25800.00 	24700.00 	24000.00 	24000.00 	23600.00 	23700.00 	23100.00 
EUR_HAB,B5N,DE12	: 	27800.00 	27300.00 	26500.00 	25000.00 	24300.00 	25500.00 	24700.00 	24000.00 	22900.00 	22300.00 	22300.00 	22000.00 	22200.00 	21500.00 
EUR_HAB,B5N,DE13	: 	27000.00 	26500.00 	25800.00 	24300.00 	23400.00 	24200.00 	23200.00 	22700.00 	21800.00 	21400.00 	21200.00 	20700.00 	20800.00 	20100.00 
EUR_HAB,B5N,DE14	: 	28100.00 	27500.00 	26800.00 	25200.00 	24400.00 	25500.00 	24600.00 	23800.00 	22700.00 	22000.00 	22000.00 	21600.00 	21800.00 	21100.00 
EUR_HAB,B5N,DE2	: 	28900.00 	28400.00 	27700.00 	26500.00 	25800.00 	26500.00 	25500.00 	24500.00 	23500.00 	23000.00 	22900.00 	22400.00 	22700.00 	21900.00 
EUR_HAB,B5N,DE21	: 	33100.00 	32700.00 	32100.00 	30800.00 	30100.00 	31200.00 	30300.00 	29100.00 	27900.00 	27200.00 	27200.00 	26800.00 	27200.00 	26400.00 
EUR_HAB,B5N,DE22	: 	25300.00 	25000.00 	24300.00 	23100.00 	22400.00 	23000.00 	22100.00 	21200.00 	20200.00 	19800.00 	19400.00 	18800.00 	18900.00 	18300.00 
EUR_HAB,B5N,DE23	: 	25500.00 	25000.00 	24300.00 	23200.00 	22400.00 	22900.00 	21900.00 	21100.00 	20200.00 	19800.00 	19600.00 	19200.00 	19400.00 	18700.00 
EUR_HAB,B5N,DE24	: 	25500.00 	25000.00 	24200.00 	23200.00 	22400.00 	22800.00 	21800.00 	21000.00 	20100.00 	19800.00 	19600.00 	19200.00 	19400.00 	18900.00 
EUR_HAB,B5N,DE25	: 	28000.00 	27600.00 	26900.00 	25600.00 	24800.00 	25500.00 	24600.00 	23700.00 	22800.00 	22300.00 	22200.00 	21900.00 	22100.00 	21500.00 
EUR_HAB,B5N,DE26	: 	26600.00 	26000.00 	25200.00 	24000.00 	23200.00 	23700.00 	22700.00 	21900.00 	21100.00 	20700.00 	20500.00 	20200.00 	20300.00 	19600.00 
EUR_HAB,B5N,DE27	: 	27300.00 	26900.00 	26200.00 	25200.00 	24400.00 	24900.00 	23900.00 	23000.00 	22100.00 	21600.00 	21400.00 	20900.00 	21000.00 	20400.00 
EUR_HAB,B5N,DE3	: 	21200.00 	20800.00 	20500.00 	19100.00 	18600.00 	18600.00 	18000.00 	17500.00 	17000.00 	17100.00 	17000.00 	17100.00 	17300.00 	17300.00 
EUR_HAB,B5N,DE30	: 	21200.00 	20800.00 	20500.00 	19100.00 	18600.00 	18600.00 	18000.00 	17500.00 	17000.00 	17100.00 	17000.00 	17100.00 	17300.00 	17300.00 
EUR_HAB,B5N,DE4	: 	19800.00 	19300.00 	19000.00 	18200.00 	17900.00 	17700.00 	16800.00 	16100.00 	15400.00 	15200.00 	14800.00 	14500.00 	14400.00 	13900.00 
EUR_HAB,B5N,DE40	: 	19800.00 	19300.00 	19000.00 	18200.00 	17900.00 	17700.00 	16800.00 	16100.00 	15400.00 	15200.00 	14800.00 	14500.00 	14400.00 	13900.00 
EUR_HAB,B5N,DE5	: 	23100.00 	22800.00 	22200.00 	21300.00 	21300.00 	22200.00 	20700.00 	19800.00 	19100.00 	18000.00 	18300.00 	18300.00 	18700.00 	18200.00 
EUR_HAB,B5N,DE50	: 	23100.00 	22800.00 	22200.00 	21300.00 	21300.00 	22200.00 	20700.00 	19800.00 	19100.00 	18000.00 	18300.00 	18300.00 	18700.00 	18200.00 
EUR_HAB,B5N,DE6	: 	29300.00 	29000.00 	28300.00 	26400.00 	25900.00 	26900.00 	26400.00 	25800.00 	25000.00 	23400.00 	23300.00 	22700.00 	22800.00 	22200.00 
EUR_HAB,B5N,DE60	: 	29300.00 	29000.00 	28300.00 	26400.00 	25900.00 	26900.00 	26400.00 	25800.00 	25000.00 	23400.00 	23300.00 	22700.00 	22800.00 	22200.00 
EUR_HAB,B5N,DE7	: 	26700.00 	26300.00 	25800.00 	24800.00 	24200.00 	24700.00 	24000.00 	23200.00 	22200.00 	22000.00 	22000.00 	21800.00 	21900.00 	21200.00 
EUR_HAB,B5N,DE71	: 	28700.00 	28300.00 	27800.00 	26800.00 	26300.00 	27000.00 	26300.00 	25500.00 	24400.00 	24200.00 	24300.00 	24200.00 	24400.00 	23600.00 
EUR_HAB,B5N,DE72	: 	24000.00 	23500.00 	22900.00 	22000.00 	21400.00 	21700.00 	20900.00 	20300.00 	19400.00 	19100.00 	19000.00 	18700.00 	18800.00 	18200.00 
EUR_HAB,B5N,DE73	: 	22900.00 	22400.00 	21900.00 	21000.00 	20100.00 	20300.00 	19400.00 	18900.00 	18100.00 	18000.00 	17900.00 	17300.00 	17300.00 	16800.00 
EUR_HAB,B5N,DE8	: 	17700.00 	17500.00 	17000.00 	16200.00 	16000.00 	15800.00 	15000.00 	14400.00 	13900.00 	13700.00 	13400.00 	13100.00 	13000.00 	12700.00 
