nace_r2,sizeclas,isco08,indic_em,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
G-I,TOTAL,TOTAL,JOBRATE,MK	1.9 	1.7 	1.3 	1.5 	: 	: 	: 	: 
G-I,TOTAL,TOTAL,JOBRATE,MT	: 	: 	: 	: 	: 	: 	: c	: 
G-I,TOTAL,TOTAL,JOBRATE,NL	2 p	1.7 	1.3 	1.5 	1.8 	1.7 	1.6 	2.9 
G-I,TOTAL,TOTAL,JOBRATE,NO	1.5 p	1.5 	1.9 	1.9 	2.1 	1.9 	: c	: 
G-I,TOTAL,TOTAL,JOBRATE,PL	0.7 	0.5 	0.4 	0.4 	0.6 	0.6 	0.6 	1.6 
G-I,TOTAL,TOTAL,JOBRATE,PL1	0.8 	0.6 	0.5 	0.5 	0.6 	0.8 	0.7 	1.7 
G-I,TOTAL,TOTAL,JOBRATE,PL11	0.6 	0.7 	0.6 	0.8 	0.5 	0.8 	1 	1.3 
G-I,TOTAL,TOTAL,JOBRATE,PL12	0.8 	0.6 	0.5 	0.4 	0.6 	0.9 	0.7 	1.8 
G-I,TOTAL,TOTAL,JOBRATE,PL2	0.8 	0.5 	0.4 	0.4 	0.6 	0.5 	0.6 	1.5 
G-I,TOTAL,TOTAL,JOBRATE,PL21	0.8 	0.4 	0.3 	0.3 	0.6 	0.3 	0.5 	1.5 
G-I,TOTAL,TOTAL,JOBRATE,PL22	0.7 	0.5 	0.6 	0.4 	0.6 	0.7 	0.7 	1.5 
G-I,TOTAL,TOTAL,JOBRATE,PL3	0.4 	0.3 	0.2 	0.3 	0.6 	0.5 	0.5 	1.2 
G-I,TOTAL,TOTAL,JOBRATE,PL31	0.5 	0.5 	0.2 	0.3 	0.8 	0.5 	0.6 	1.6 
G-I,TOTAL,TOTAL,JOBRATE,PL32	0.2 	0.2 	0.3 	0.2 	0.5 	0.4 	0.4 	0.8 
G-I,TOTAL,TOTAL,JOBRATE,PL33	0.4 	0.2 	0.2 	0.5 	0.8 	0.5 	0.4 	1 
G-I,TOTAL,TOTAL,JOBRATE,PL34	0.7 	0.3 	0.1 	0.4 	0.3 	0.5 	0.6 	1.3 
G-I,TOTAL,TOTAL,JOBRATE,PL4	0.7 	0.5 	0.4 	0.5 	0.6 	0.6 	0.7 	1.4 
G-I,TOTAL,TOTAL,JOBRATE,PL41	0.7 	0.5 	0.4 	0.4 	0.4 	0.6 	0.6 	1.3 
G-I,TOTAL,TOTAL,JOBRATE,PL42	1.1 	0.7 	0.6 	0.7 	1 	0.6 	1 	1.1 
G-I,TOTAL,TOTAL,JOBRATE,PL43	0.5 	0.8 	0.5 	0.7 	1.1 	0.7 	0.6 	2.1 
G-I,TOTAL,TOTAL,JOBRATE,PL5	0.9 	0.6 	0.5 	0.7 	0.5 	0.7 	0.7 	2.2 
G-I,TOTAL,TOTAL,JOBRATE,PL51	0.8 	0.6 	0.4 	0.7 	0.6 	0.7 	0.6 	2.1 
G-I,TOTAL,TOTAL,JOBRATE,PL52	1.6 	0.6 	0.6 	0.5 	0.5 	0.9 	0.7 	2.3 
G-I,TOTAL,TOTAL,JOBRATE,PL6	0.8 	0.7 	0.4 	0.4 	0.4 	0.5 	0.6 	1.3 
G-I,TOTAL,TOTAL,JOBRATE,PL61	0.5 	0.9 	0.5 	0.3 	0.5 	0.7 	0.5 	1.1 
G-I,TOTAL,TOTAL,JOBRATE,PL62	0.9 	0.6 	0.3 	0.3 	0.3 	0.5 	0.5 	1.2 
G-I,TOTAL,TOTAL,JOBRATE,PL63	0.9 	0.6 	0.3 	0.4 	0.4 	0.4 	0.6 	1.6 
G-I,TOTAL,TOTAL,JOBRATE,PT	0.8 	0.6 	0.4 	0.3 	0.4 	0.5 b	0.5 	0.7 
G-I,TOTAL,TOTAL,JOBRATE,RO	0.7 	0.5 	0.3 	0.3 	0.4 	0.3 	0.3 	0.6 
G-I,TOTAL,TOTAL,JOBRATE,RO1	0.7 	0.5 	0.4 	0.4 	0.3 	0.3 	0.3 	0.7 
G-I,TOTAL,TOTAL,JOBRATE,RO11	0.8 	0.6 	0.4 	0.3 	0.3 	0.2 	0.3 	0.8 
G-I,TOTAL,TOTAL,JOBRATE,RO12	0.5 	0.4 	0.3 	0.5 	0.3 	0.4 	0.2 	0.7 
G-I,TOTAL,TOTAL,JOBRATE,RO2	0.5 	0.3 	0.3 	0.2 	0.3 	0.2 	0.3 	0.5 
G-I,TOTAL,TOTAL,JOBRATE,RO21	0.6 	0.3 	0.3 	0.2 	0.5 	0.4 	0.3 	0.6 
G-I,TOTAL,TOTAL,JOBRATE,RO22	0.5 	0.3 	0.2 	0.2 	0.2 	0.1 	0.2 	0.4 
G-I,TOTAL,TOTAL,JOBRATE,RO3	0.9 	0.6 	0.3 	0.3 	0.5 	0.3 	0.4 	0.7 
G-I,TOTAL,TOTAL,JOBRATE,RO31	0.9 	0.4 	0.3 	0.4 	0.4 	0.3 	0.4 	0.7 
G-I,TOTAL,TOTAL,JOBRATE,RO32	0.9 	0.6 	0.3 	0.3 	0.6 	0.3 	0.3 	0.7 
G-I,TOTAL,TOTAL,JOBRATE,RO4	0.6 	0.5 	0.4 	0.4 	0.5 	0.3 	0.2 	0.5 
G-I,TOTAL,TOTAL,JOBRATE,RO41	0.2 	0.3 	0.2 	0.2 	0.4 	0.3 	0.2 	0.6 
G-I,TOTAL,TOTAL,JOBRATE,RO42	0.9 	0.8 	0.6 	0.5 	0.6 	0.4 	0.3 	0.5 
G-I,TOTAL,TOTAL,JOBRATE,SE	1.6 	1.5 	1.3 	1.4 	1.4 	1.2 	0.8 	: 
G-I,TOTAL,TOTAL,JOBRATE,SI	1.7 b	1.3 p	0.9 p	0.7 	0.9 	0.7 	0.7 	1.1 
G-I,TOTAL,TOTAL,JOBRATE,SK	0.6 	0.6 	0.5 	0.5 	0.6 	0.6 	0.7 	1 
G-I,TOTAL,TOTAL,JOBRATE,SK01	0.8 	0.7 	0.7 	0.8 	0.6 	1.3 	1 	1.7 
G-I,TOTAL,TOTAL,JOBRATE,SK02	0.6 	0.6 	0.3 	0.2 	0.3 	0.5 	0.6 	0.9 
G-I,TOTAL,TOTAL,JOBRATE,SK03	0.5 	0.4 	0.4 	0.7 	0.9 	0.5 	0.5 	0.8 
G-I,TOTAL,TOTAL,JOBRATE,SK04	0.4 	0.4 	0.8 	0.3 	0.8 	0.4 	0.6 	0.6 
G-I,TOTAL,TOTAL,JOBRATE,UK	3.1 	2.8 	2.3 	2.1 	2 	2 	1.8 	2.5 
G-I,TOTAL,TOTAL,JOBVAC,AT	: c	: c	: c	: c	: c	: c	: c	: 
G-I,TOTAL,TOTAL,JOBVAC,BE	22916 	20780 	20266 	20135 b	: 	: 	: 	: 
G-I,TOTAL,TOTAL,JOBVAC,BE1	2692 	3182 	2955 	2302 b	: 	: 	: 	: 
G-I,TOTAL,TOTAL,JOBVAC,BE2	15116 	13177 	12612 	14322 b	: 	: 	: 	: 
G-I,TOTAL,TOTAL,JOBVAC,BE3	5107 	4421 	4698 	3511 b	: 	: 	: 	: 
G-I,TOTAL,TOTAL,JOBVAC,BG	3865 p	3650 p	2190 	2805 	2752 	2509 	2873 	: 
G-I,TOTAL,TOTAL,JOBVAC,BG3	2192 p	1965 p	848 	1435 	588 	674 	853 	: 
G-I,TOTAL,TOTAL,JOBVAC,BG31	124 p	123 p	81 	101 	136 	132 	165 	: 
G-I,TOTAL,TOTAL,JOBVAC,BG32	212 p	119 p	214 	207 	226 	218 	226 	: 
G-I,TOTAL,TOTAL,JOBVAC,BG33	783 p	636 p	237 	636 	99 	192 	249 	: 
G-I,TOTAL,TOTAL,JOBVAC,BG34	1073 p	1087 p	316 	491 	127 	132 	213 	: 
G-I,TOTAL,TOTAL,JOBVAC,BG4	1673 p	1685 p	1342 	1370 	2164 	1835 	2020 	: 
G-I,TOTAL,TOTAL,JOBVAC,BG41	1169 p	1315 p	890 	1178 	1294 	1479 	1688 	: 
G-I,TOTAL,TOTAL,JOBVAC,BG42	504 p	370 p	452 	192 	870 	356 	332 	: 
G-I,TOTAL,TOTAL,JOBVAC,CH	: 	10634 	: 	9400 	10900 	10300 	9000 	14400 
G-I,TOTAL,TOTAL,JOBVAC,CY	1258 	1150 	470 	772 	1447 	1740 	2458 	: 
G-I,TOTAL,TOTAL,JOBVAC,CZ	23703 	13325 	9227 	9528 	8778 	7234 	10044 	27309 
G-I,TOTAL,TOTAL,JOBVAC,CZ0	23703 	13325 	9227 	9528 	8778 	7234 	10044 	27309 
G-I,TOTAL,TOTAL,JOBVAC,CZ01	3315 	2009 	1939 	2142 	1420 	1373 	3023 	6509 
G-I,TOTAL,TOTAL,JOBVAC,CZ02	2932 	1544 	1048 	1122 	968 	901 	1328 	4019 
G-I,TOTAL,TOTAL,JOBVAC,CZ03	3713 	2272 	1418 	1298 	1127 	974 	1153 	3293 
G-I,TOTAL,TOTAL,JOBVAC,CZ04	2135 	1354 	857 	841 	801 	570 	661 	1865 
G-I,TOTAL,TOTAL,JOBVAC,CZ05	3926 	2382 	1569 	1642 	1602 	1170 	1126 	3470 
G-I,TOTAL,TOTAL,JOBVAC,CZ06	2822 	1641 	829 	807 	927 	824 	1127 	3382 
G-I,TOTAL,TOTAL,JOBVAC,CZ07	2724 	1182 	820 	775 	798 	687 	688 	2087 
G-I,TOTAL,TOTAL,JOBVAC,CZ08	2136 	941 	749 	902 	1135 	736 	939 	2683 
G-I,TOTAL,TOTAL,JOBVAC,DE	235210 	232883 	201126 	192250 	232948 	: c	: c	: 
G-I,TOTAL,TOTAL,JOBVAC,EE	2193 	2292 	1901 	1882 	1616 	1014 	769 	2805 
G-I,TOTAL,TOTAL,JOBVAC,EL	: c	9750 	: c	9711 	13590 	15079 	15917 	: 
G-I,TOTAL,TOTAL,JOBVAC,EL11	: 	: 	: 	: 	50 	148 	14 	: 
G-I,TOTAL,TOTAL,JOBVAC,EL12	: 	: 	: 	: 	3305 	3083 	2239 	: 
G-I,TOTAL,TOTAL,JOBVAC,EL13	: 	: 	: 	: 	11 	47 	246 	: 
G-I,TOTAL,TOTAL,JOBVAC,EL14	: 	: 	: 	: 	85 	61 	823 	: 
G-I,TOTAL,TOTAL,JOBVAC,EL21	: 	: 	: 	: 	490 	231 	316 	: 
G-I,TOTAL,TOTAL,JOBVAC,EL22	: 	: 	: 	: 	21 	45 	12 	: 
G-I,TOTAL,TOTAL,JOBVAC,EL23	: 	: 	: 	: 	70 	1463 	194 	: 
G-I,TOTAL,TOTAL,JOBVAC,EL24	: 	: 	: 	: 	45 	619 	1105 	: 
G-I,TOTAL,TOTAL,JOBVAC,EL25	: 	: 	: 	: 	38 	111 	87 	: 
G-I,TOTAL,TOTAL,JOBVAC,EL30	: 	: 	: 	: 	6126 	2343 	836 	: 
G-I,TOTAL,TOTAL,JOBVAC,EL41	: 	: 	: 	: 	41 	46 	8 	: 
G-I,TOTAL,TOTAL,JOBVAC,EL42	: 	: 	: 	: 	34 	55 	8 	: 
G-I,TOTAL,TOTAL,JOBVAC,EL43	: 	: 	: 	: 	33 	69 	10 	: 
G-I,TOTAL,TOTAL,JOBVAC,ES	15059 p	15778 	22849 	14983 	22182 	26726 	24770 	: 
G-I,TOTAL,TOTAL,JOBVAC,FI	6894 	5712 	6616 b	12474 	12203 	9841 	7986 	: 
G-I,TOTAL,TOTAL,JOBVAC,FI13	: 	: 	: 	: 	729 	794 	734 	: 
G-I,TOTAL,TOTAL,JOBVAC,FI18	: 	: 	: 	: 	7892 	6144 	5550 	: 
G-I,TOTAL,TOTAL,JOBVAC,FI19	1654 	1794 	1115 b	3367 	2162 	1857 	1026 	: 
G-I,TOTAL,TOTAL,JOBVAC,FI1A	: 	: 	: 	: 	1369 	1004 	541 	: 
G-I,TOTAL,TOTAL,JOBVAC,FI1B	3168 	1477 	2958 b	4594 	: 	: 	: 	: 
G-I,TOTAL,TOTAL,JOBVAC,FI1C	716 	1575 	960 b	2140 	: 	: 	: 	: 
G-I,TOTAL,TOTAL,JOBVAC,FI1D	1279 	684 	1565 b	2334 	: 	: 	: 	: 
G-I,TOTAL,TOTAL,JOBVAC,FI2	: 	: 	: 	: 	: c	: c	: c	: 
G-I,TOTAL,TOTAL,JOBVAC,FI20	: c	: c	: c	: c	: 	: 	: 	: 
G-I,TOTAL,TOTAL,JOBVAC,FR	: 	: c	: c	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,HR	: c	: c	2504 	1836 	: 	: 	: 	: 
G-I,TOTAL,TOTAL,JOBVAC,HU	6182 p	5055 p	: c	: c	2828 p	2894 p	2573 p	: 
G-I,TOTAL,TOTAL,JOBVAC,HU1	4495 p	: 	: 	: 	: 	: 	: 	: 
G-I,TOTAL,TOTAL,JOBVAC,HU10	4495 p	: 	: 	: 	: 	: 	: 	: 
G-I,TOTAL,TOTAL,JOBVAC,HU2	865 p	: 	: 	: 	: 	: 	: 	: 
G-I,TOTAL,TOTAL,JOBVAC,HU21	363 p	: 	: 	: 	: 	: 	: 	: 
G-I,TOTAL,TOTAL,JOBVAC,HU22	364 p	: 	: 	: 	: 	: 	: 	: 
G-I,TOTAL,TOTAL,JOBVAC,HU23	144 p	: 	: 	: 	: 	: 	: 	: 
G-I,TOTAL,TOTAL,JOBVAC,HU3	828 p	: 	: 	: 	: 	: 	: 	: 
G-I,TOTAL,TOTAL,JOBVAC,HU31	197 p	: 	: 	: 	: 	: 	: 	: 
G-I,TOTAL,TOTAL,JOBVAC,HU32	260 p	: 	: 	: 	: 	: 	: 	: 
G-I,TOTAL,TOTAL,JOBVAC,HU33	376 p	: 	: 	: 	: 	: 	: 	: 
G-I,TOTAL,TOTAL,JOBVAC,IE	3050 p	2475 	2125 	1600 	1900 	1725 	1400 	3425 
G-I,TOTAL,TOTAL,JOBVAC,LT	3707 	3018 	2819 	3244 	2962 	1767 	807 	5089 
G-I,TOTAL,TOTAL,JOBVAC,LT0	: 	: 	: 	: 	2962 	1767 	807 	5089 
G-I,TOTAL,TOTAL,JOBVAC,LT00	: 	: 	: 	: 	2962 	1767 	807 	5089 
G-I,TOTAL,TOTAL,JOBVAC,LU	892 	674 	555 	764 	753 	477 	275 	378 
G-I,TOTAL,TOTAL,JOBVAC,LV	: 	969 	1130 	886 	718 	255 	456 	2767 
G-I,TOTAL,TOTAL,JOBVAC,LV0	1501 	969 	: 	: 	718 	255 	456 	2767 
G-I,TOTAL,TOTAL,JOBVAC,LV00	: 	: 	: 	: 	718 	255 	456 	2767 
G-I,TOTAL,TOTAL,JOBVAC,MK	2301 	2021 	1540 	1438 	: 	: 	: 	: 
G-I,TOTAL,TOTAL,JOBVAC,MT	: 	: 	: 	: 	: 	: 	: c	: 
G-I,TOTAL,TOTAL,JOBVAC,NL	41717 p	33952 	27400 	30000 	37700 	35325 	31550 	59350 
G-I,TOTAL,TOTAL,JOBVAC,NO	9500 p	9225 	11550 	11350 	12275 	10900 	: c	: 
G-I,TOTAL,TOTAL,JOBVAC,PL	24274 	17137 	12228 	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,PL1	7803 	5806 	4405 	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,PL11	1274 	1090 	1005 	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,PL12	6529 	4716 	3400 	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,PL2	4950 	2774 	2599 	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,PL21	2408 	1046 	829 	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,PL22	2542 	1728 	1770 	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,PL3	1654 	1098 	644 	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,PL31	660 	494 	203 	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,PL32	220 	276 	250 	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,PL33	325 	162 	104 	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,PL34	449 	167 	87 	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,PL4	4346 	3156 	2156 	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,PL41	2839 	1895 	1284 	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,PL42	1171 	773 	563 	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,PL43	336 	488 	309 	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,PL5	2596 	1689 	1122 	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,PL51	1836 	1370 	883 	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,PL52	760 	318 	239 	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,PL6	2925 	2615 	1302 	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,PL61	699 	1257 	581 	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,PL62	646 	361 	175 	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,PL63	1580 	997 	546 	: c	: c	: c	: c	: c
G-I,TOTAL,TOTAL,JOBVAC,PT	6619 	5268 	3273 	2788 	3631 	4205 b	4180 	6141 
G-I,TOTAL,TOTAL,JOBVAC,RO	7764 	5038 	3507 	3264 	3989 	2840 	3165 	7025 
G-I,TOTAL,TOTAL,JOBVAC,RO1	1878 	1359 	994 	952 	748 	668 	691 	2002 
G-I,TOTAL,TOTAL,JOBVAC,RO11	1172 	873 	611 	389 	364 	209 	372 	1098 
G-I,TOTAL,TOTAL,JOBVAC,RO12	706 	486 	383 	563 	384 	459 	319 	904 
G-I,TOTAL,TOTAL,JOBVAC,RO2	1189 	623 	595 	460 	715 	570 	701 	1346 
G-I,TOTAL,TOTAL,JOBVAC,RO21	643 	330 	312 	222 	485 	387 	391 	760 
G-I,TOTAL,TOTAL,JOBVAC,RO22	546 	293 	283 	238 	230 	183 	310 	586 
G-I,TOTAL,TOTAL,JOBVAC,RO3	3675 	2152 	1221 	1228 	1755 	1074 	1349 	2661 
G-I,TOTAL,TOTAL,JOBVAC,RO31	997 	437 	284 	377 	367 	400 	493 	752 
G-I,TOTAL,TOTAL,JOBVAC,RO32	2678 	1715 	937 	851 	1388 	674 	856 	1909 
G-I,TOTAL,TOTAL,JOBVAC,RO4	1022 	904 	697 	624 	771 	528 	424 	1016 
G-I,TOTAL,TOTAL,JOBVAC,RO41	153 	195 	148 	123 	274 	182 	156 	497 
G-I,TOTAL,TOTAL,JOBVAC,RO42	869 	709 	549 	501 	497 	346 	268 	519 
G-I,TOTAL,TOTAL,JOBVAC,SE	14950 	13484 	11848 	12021 	12169 	10148 	6735 	: 
G-I,TOTAL,TOTAL,JOBVAC,SI	2791 b	2136 p	1357 p	1162 	1448 	1223 	1329 	1997 
G-I,TOTAL,TOTAL,JOBVAC,SK	2986 	2736 	2516 	2348 	3007 	2976 	3482 	4995 
G-I,TOTAL,TOTAL,JOBVAC,SK01	1261 	1066 	989 	1228 	964 	1302 	1323 	2149 
G-I,TOTAL,TOTAL,JOBVAC,SK02	750 	842 	405 	241 	490 	729 	1001 	1437 
G-I,TOTAL,TOTAL,JOBVAC,SK03	570 	461 	434 	618 	927 	501 	554 	753 
G-I,TOTAL,TOTAL,JOBVAC,SK04	405 	367 	687 	261 	626 	443 	604 	656 
G-I,TOTAL,TOTAL,JOBVAC,UK	248750 	221750 	182500 	160250 	154250 	154750 	138250 	199250 
G-N,GE10,OC0,CH_Y_Y,HU	0 p	0 p	: 	0 p	0 p	0 p	: 	: 
G-N,GE10,OC0,CH_Y_Y,LV	: 	0 	0 	0 	0 	0 	: 	: 
G-N,GE10,OC0,CH_Y_Y,LV0	0 	0 	: 	: 	0 	0 	: 	: 
G-N,GE10,OC0,CH_Y_Y,LV00	: 	: 	: 	: 	0 	0 	: 	: 
G-N,GE10,OC0,JOBOCC,HU	0 p	: c	0 p	0 p	: c	: c	: c	: 
G-N,GE10,OC0,JOBOCC,HU1	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBOCC,HU10	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBOCC,HU2	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBOCC,HU21	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBOCC,HU22	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBOCC,HU23	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBOCC,HU3	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBOCC,HU31	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBOCC,HU32	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBOCC,HU33	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBOCC,LV	: 	0 	0 	0 	0 	0 	0 	: 
G-N,GE10,OC0,JOBOCC,LV0	0 	0 	: 	: 	0 	0 	0 	: 
G-N,GE10,OC0,JOBOCC,LV00	: 	: 	: 	: 	0 	0 	0 	: 
G-N,GE10,OC0,JOBRATE,HU	0 p	0 p	0 p	0 p	0 p	0 p	0 p	: 
G-N,GE10,OC0,JOBRATE,HU1	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBRATE,HU10	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBRATE,HU2	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBRATE,HU21	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBRATE,HU22	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBRATE,HU23	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBRATE,HU3	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBRATE,HU31	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBRATE,HU32	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBRATE,HU33	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBRATE,LV	: 	0 	0 	0 	0 	0 	0 	: 
G-N,GE10,OC0,JOBRATE,LV0	0 	0 	: 	: 	0 	0 	0 	: 
G-N,GE10,OC0,JOBRATE,LV00	: 	: 	: 	: 	0 	0 	0 	: 
G-N,GE10,OC0,JOBVAC,HU	0 p	0 p	: c	: c	0 p	0 p	0 p	: 
G-N,GE10,OC0,JOBVAC,HU1	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBVAC,HU10	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBVAC,HU2	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBVAC,HU21	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBVAC,HU22	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBVAC,HU23	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBVAC,HU3	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBVAC,HU31	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBVAC,HU32	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBVAC,HU33	0 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC0,JOBVAC,LV	: 	0 	0 	0 	0 	0 	0 	: 
G-N,GE10,OC0,JOBVAC,LV0	0 	0 	: 	: 	0 	0 	0 	: 
G-N,GE10,OC0,JOBVAC,LV00	: 	: 	: 	: 	0 	0 	0 	: 
G-N,GE10,OC1,CH_Y_Y,HU	0.1 p	0.1 p	0.1 p	-0.2 p	0.1 p	0.1 p	: 	: 
G-N,GE10,OC1,CH_Y_Y,LV	: 	0.1 	0 	0 	0.1 	-0.1 	: 	: 
G-N,GE10,OC1,CH_Y_Y,LV0	0 	0.1 	: 	: 	0.1 	-0.1 	: 	: 
G-N,GE10,OC1,CH_Y_Y,LV00	: 	: 	: 	: 	0.1 	-0.1 	: 	: 
G-N,GE10,OC1,JOBOCC,HU	49567 p	: c	48897 p	48774 p	: c	: c	: c	: 
G-N,GE10,OC1,JOBOCC,HU1	33897 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC1,JOBOCC,HU10	33897 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC1,JOBOCC,HU2	7593 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC1,JOBOCC,HU21	3817 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC1,JOBOCC,HU22	2199 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC1,JOBOCC,HU23	1574 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC1,JOBOCC,HU3	8077 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC1,JOBOCC,HU31	1895 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC1,JOBOCC,HU32	3148 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC1,JOBOCC,HU33	3036 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC1,JOBOCC,LV	: 	21204 	20833 	21039 	20478 	20763 	22774 	: 
G-N,GE10,OC1,JOBOCC,LV0	21687 	21204 	: 	: 	20478 	20763 	22774 	: 
G-N,GE10,OC1,JOBOCC,LV00	: 	: 	: 	: 	20478 	20763 	22774 	: 
G-N,GE10,OC1,JOBRATE,HU	0.5 p	0.4 p	0.3 p	0.2 p	0.4 p	0.3 p	0.2 p	: 
G-N,GE10,OC1,JOBRATE,HU1	0.6 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC1,JOBRATE,HU10	0.6 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC1,JOBRATE,HU2	0.3 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC1,JOBRATE,HU21	0.3 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC1,JOBRATE,HU22	0.4 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC1,JOBRATE,HU23	0.1 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC1,JOBRATE,HU3	0.2 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC1,JOBRATE,HU31	0.3 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC1,JOBRATE,HU32	0.2 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC1,JOBRATE,HU33	0.1 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC1,JOBRATE,LV	: 	0.3 	0.2 	0.2 	0.2 	0.1 	0.2 	: 
G-N,GE10,OC1,JOBRATE,LV0	0.3 	0.3 	: 	: 	0.2 	0.1 	0.2 	: 
G-N,GE10,OC1,JOBRATE,LV00	: 	: 	: 	: 	0.2 	0.1 	0.2 	: 
G-N,GE10,OC1,JOBVAC,HU	235 p	173 p	: c	: c	172 p	120 p	90 p	: 
G-N,GE10,OC1,JOBVAC,HU1	200 p	: 	: 	: 	: 	: 	: 	: 
G-N,GE10,OC1,JOBVAC,HU10	200 p	: 	: 	: 	: 	: 	: 	: 
