nace_r2,sizeclas,isco08,indic_em,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
A,GE10,OC3,JOBOCC,HU	5633 p	: c	4886 p	4985 p	: c	: c	: c	: 
A,GE10,OC3,JOBOCC,HU1	510 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBOCC,HU10	510 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBOCC,HU2	2340 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBOCC,HU21	784 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBOCC,HU22	788 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBOCC,HU23	768 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBOCC,HU3	2782 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBOCC,HU31	673 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBOCC,HU32	1029 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBOCC,HU33	1079 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBOCC,LV	: 	1658 	1538 	1559 	1385 	1180 	1168 	: 
A,GE10,OC3,JOBOCC,LV0	1572 	1658 	: 	: 	1385 	1180 	1168 	: 
A,GE10,OC3,JOBOCC,LV00	: 	: 	: 	: 	1385 	1180 	1168 	: 
A,GE10,OC3,JOBRATE,HU	0.3 p	0.5 p	0.3 p	0.5 p	0.1 p	0.1 p	0.1 p	: 
A,GE10,OC3,JOBRATE,HU1	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBRATE,HU10	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBRATE,HU2	0.3 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBRATE,HU21	0.4 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBRATE,HU22	0.3 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBRATE,HU23	0.3 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBRATE,HU3	0.3 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBRATE,HU31	0.4 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBRATE,HU32	0.1 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBRATE,HU33	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBRATE,LV	: 	0.4 	0.5 	0.1 	0.1 	0 	0.2 	: 
A,GE10,OC3,JOBRATE,LV0	0.4 	0.4 	: 	: 	0.1 	0 	0.2 	: 
A,GE10,OC3,JOBRATE,LV00	: 	: 	: 	: 	0.1 	0 	0.2 	: 
A,GE10,OC3,JOBVAC,HU	15 p	29 p	: c	: c	6 p	4 p	6 p	: 
A,GE10,OC3,JOBVAC,HU1	1 p	: 	: 	: 	: 	: 	: 	: 
