"","var","module","kTotal","kIn","MM.green","p.MM.green","MM.brown","p.MM.brown","MM.yellow","p.MM.yellow","MM.purple","p.MM.purple","MM.black","p.MM.black","MM.pink","p.MM.pink","MM.greenyellow","p.MM.greenyellow","MM.blue","p.MM.blue","MM.turquoise","p.MM.turquoise","MM.magenta","p.MM.magenta","MM.red","p.MM.red","MM.tan","p.MM.tan","MM.grey","p.MM.grey"
"11","emp_Y15-24_ED5-8","purple",0.146533851391894,0,-0.141156958518627,0.192192070673105,-0.267624116060363,0.0122099263538522,-0.363745716993512,0.000533879700557536,0.90169133192389,1.06747572738492e-32,0.0341911496682948,0.753222514144653,0.176605671794124,0.101770133910971,0.394656265947365,0.000155186499580649,-0.177808558722753,0.0994229235632781,0.144018371364001,0.183243565163255,-0.317088284610337,0.00276745850780376,0.270139243274769,0.0113906102116442,-0.0123387037982066,0.909691663146858,-0.0623678646934461,0.566053149310899
"12","emp_Y25-64_ED5-8","purple",0.323123263108344,0,-0.466242820503558,2.17886765729081e-06,-0.26942889137738,0.00863923917540071,-0.597471372322364,2.0566358534915e-10,0.865274717335549,2.44907602651226e-29,0.361311996532168,0.000346440546118398,0.59891630242387,1.81295184387756e-10,0.437459812881552,1.03910166054734e-05,0.136769858758083,0.188685682051175,0.40064299389517,6.29774030516644e-05,-0.282650001806163,0.00577570825924659,0.270555936856555,0.00835388055415439,0.032937181663837,0.752647292877437,-0.0236029332081061,0.821350351300587
"35","GDP","black",1.2042464041758,0,-0.650884540081218,1.23262373700993e-12,-0.167905177574178,0.105743153324398,-0.358251659918157,0.000392097832704245,0.284923648936603,0.00537895250778803,0.960048555245342,1.1244751046436e-52,0.732629846638051,4.76146318462512e-17,0.0525846156196424,0.614715561526959,0.565880692490521,2.79087587352381e-09,0.484352140326184,7.5628067318126e-07,0.124395345853721,0.232256276973943,0.000390157906493637,0.99702221545911,0.37811358741725,0.000171690619370761,0.0872075172477443,0.403273439806279
"36","disp_income","black",0.911662484359698,0,-0.593760955411425,5.52916178291315e-10,-0.0401070373744476,0.705831992791846,-0.211692843616003,0.0439679295247642,0.231348158993314,0.0273533353681294,0.924293594837894,5.38122621498564e-39,0.502978564817436,3.75360311972897e-07,-0.0778806033528043,0.463083479446387,0.551439907633861,1.47207395899536e-08,0.525556692489509,8.83976098653092e-08,0.364563094291642,0.000381259304279037,-0.126756077611538,0.231190910144737,0.354711544404392,0.000560894901984263,0.14874486438494,0.15937944497007
"25","emp_Y25-64_NaceJ","pink",0.422092989370133,0,-0.562431817360835,3.6498151698199e-09,-0.0702163782827006,0.501268572190328,-0.409962793049886,4.07046888915832e-05,0.372828089441173,0.000215005414218283,0.598107141567027,1.94577076508756e-10,0.927681248419608,3.87154695567213e-41,0.182487447169743,0.0783361272036698,0.377524112271069,0.000176086360177594,0.285987790340642,0.00520171773676592,-0.164079037676552,0.114049518340419,0.0749124011125962,0.473007664092586,-0.0142108875483149,0.89186631959116,0.0711989307517249,0.495283687983109
"26","emp_Y25-64_NaceK","pink",0.456289221243582,0,-0.615244012570892,4.16883234344779e-11,-0.204999458151212,0.047473187963985,-0.358870064660622,0.000382448658032338,0.414702163782827,3.24402534960475e-05,0.678936531445291,5.45188724885777e-14,0.880547628508471,1.38300505864343e-31,0.267882816168768,0.00904461866465709,0.375862442654337,0.000189043962918534,0.379416970704042,0.000162329171590218,-0.156724343459885,0.13142488610446,-0.0069284398367229,0.947158313198081,0.130657804428711,0.209401185084315,0.145034858938699,0.16309506875877
"2","pop_Y0-14","greenyellow",0.27594937923253,0,-0.186157569627569,0.0724223802077122,-0.297576129754723,0.0035820721514304,-0.371036376115305,0.000231842404789036,0.467167575768522,2.06726341806694e-06,0.00494888559765921,0.962242629684707,0.247552649640574,0.0161473347323213,0.909778564461944,6.73658912875182e-37,0.100646606220424,0.334443411126034,0.482830618068851,8.28542632283572e-07,-0.580898024058086,8.36373836608649e-10,0.187660296933136,0.0701071785550907,-0.152967525195969,0.141045404168477,0.193830148466568,0.0612200116110555
"3","pop_Y15-24","greenyellow",0.164013107542614,0,-0.038399017447531,0.713285915862837,0.00374959361340895,0.971388115097291,-0.0614890004696023,0.556036421672857,0.196777805873641,0.057310456359247,-0.0152223386193693,0.884221557336527,0.147202254090958,0.156831533501914,0.878770364483618,2.61717794393963e-31,0.310421558357114,0.00232697548303607,0.420554130693928,2.43963882564713e-05,-0.53057110862262,3.78877462073793e-08,-0.0430083444713362,0.680637969640845,-0.237481486833074,0.0211812630002898,-0.0262616045948777,0.801619064533604
"14","emp_TP","blue",1.1165986603971,0.444023289969928,-0.615345157677997,4.12995453474160e-11,-0.107033197269082,0.30451757113584,-0.300942816891233,0.00320501902232347,0.17040783152115,0.100570591173474,0.752281183397753,2.32754745536264e-18,0.432879384459777,1.31537688483792e-05,0.184351407000686,0.0752861212426648,0.845175739623596,9.12894413582485e-27,0.710031427229708,1.12069096649021e-15,0.30493082397139,0.00280467596652326,-0.0158725571650471,0.879312615329005,0.397724235090127,7.20108262410386e-05,-0.00833002203518405,0.936489117311489
"15","emp_Y15-24","blue",0.791759743098022,0.674106775097713,-0.415164541415309,3.17240811104873e-05,0.281884188852364,0.00591507026776901,0.0463316837048008,0.657454527869591,0.0380377849221544,0.715867426198193,0.515009211429397,1.09120726161106e-07,0.323527074377777,0.00146896520989791,0.265845464725644,0.00960426593797374,0.930296571903334,7.54962442402471e-42,0.596618863562475,2.2148527433461e-10,0.171722717913521,0.0979335827736635,-0.271119459596142,0.00821433629681429,0.100574359715349,0.334792259477904,-0.090156413683488,0.387497190455671
"16","emp_Y25-64","blue",0.77708337942371,0.551261737528494,-0.500213127189972,2.8441135038872e-07,0.374229671639634,0.000202629707301931,0.0242098038507387,0.816836191118971,0.0480655998266084,0.645484568010229,0.600072246505075,1.63822130261964e-10,0.435465809341473,1.15189955291835e-05,0.0955893508651519,0.359418415284698,0.893306361304772,1.03094854517527e-33,0.540555575624029,1.86784300915257e-08,0.259718961095257,0.0114741776577929,-0.330289347252827,0.00114927929380098,0.0465195246179966,0.656153531012506,-0.0109742441209406,0.916392651984328
"17","emp_YGE65","blue",0.108922433283355,0.0969080971262094,-0.143907813459524,0.166424529977556,0.204912762345122,0.047569118514793,-0.0189358089802406,0.856250400459717,-0.06439330997363,0.53749633814273,0.215070620958711,0.037368523024564,0.318888848751942,0.00173273104705541,0.316721453599682,0.00187008817945475,0.74936242459271,3.70878649558302e-18,0.253057833327313,0.0138606497230775,-0.0740598923527074,0.478073143885755,-0.141364736480873,0.174121367039092,-0.053455189105227,0.608861695743561,-0.0385579597586967,0.712151071582047
"34","unemp_YGE25","blue",0.360523857117678,0.259307663958126,0.263259039843947,0.0103583272467997,-0.354809811075389,0.00045001293019118,-0.263548025864249,0.010271579374438,0.163847848860311,0.114567158762361,-0.394039663331286,8.51363308862085e-05,-0.275916627533143,0.00710711730960304,-0.186952281183398,0.0711904409166986,-0.76294476754687,4.01028334468207e-19,-0.355142144998736,0.000444096391040573,-0.0648990355091572,0.534299478371768,0.49058989271394,5.17835710340722e-07,0.0359715348770003,0.730694341723875,-0.0210454069284398,0.840436644670588
"4","pop_Y25-64","turquoise",0.182930428065556,0.128209656196856,0.27071487916772,0.00831431229316402,0.280670447567099,0.0061420562647566,0.256106635841491,0.0127195727736812,-0.19540512227721,0.0591048954945609,-0.176779973268793,0.0882942607116998,-0.0806054257125312,0.439936744311114,-0.57271971968356,1.62430853277463e-09,-0.403301665281942,5.56782904679957e-05,-0.768854531662031,1.45360632264061e-19,-0.248564100711628,0.0157042739153841,-0.217931582559694,0.03485083005365,0.0565762381244807,0.588079044120956,-0.110847812737059,0.287504657829057
"24","emp_Y25-64_NaceG-I","turquoise",0.110780542036537,0.047601209242612,0.250904887476068,0.0147190497622614,-0.117913520933425,0.257688419379192,-0.0269840696456309,0.796278179773031,-0.052313694325037,0.616542235399545,-0.248202868186251,0.0158612872672224,-0.194841599537622,0.0598547193361453,-0.551724885308673,8.23530617002378e-09,-0.528389264169346,4.40866632846312e-08,-0.672578838998663,1.13864693119984e-13,0.172416284362244,0.0965646901847204,0.321431925730593,0.00158324112428842,0.0647978904020518,0.53493809428328,-0.14409565437272,0.165866156685621
"27","emp_Y25-64_NaceL","turquoise",0.101976195966166,0.053704629196144,-0.20941217444303,0.0590005147971649,0.111089343825165,0.320421074499281,-0.250878854170068,0.0230010160364837,0.409105255711192,0.000135543033993598,0.0939149552138092,0.401336155653673,0.114550342290572,0.305480767231473,0.532308094165279,2.64606127193571e-07,0.267552595204667,0.0150956337708353,0.479892469607427,5.06536665890047e-06,-0.124976872258682,0.263254250575683,0.0440678703975795,0.694233512088169,-0.236664816447361,0.0322980689079643,0.0473764978613642,0.672540613253733
"30","emp_Y15-24_NaceO-Q","turquoise",0.166349769608782,0.0576304920642555,-0.39885879327956,0.000118527242106972,0.140784051283858,0.190766532858875,-0.0846923320770667,0.432725814911339,0.183878693952309,0.0863586135286931,0.464759959141982,5.07406326727365e-06,0.19821422281709,0.06413481320973,0.0544538762283822,0.614336649259551,0.391673417632348,0.000160890678293509,0.625127681307457,7.50273924652153e-11,0.283928005353809,0.00734447384238886,-0.311965059349794,0.00308771806845049,0.267778521362404,0.0116586205820442,-0.193054136874362,0.0715284828560654
"31","emp_Y25-64_NaceO-Q","turquoise",0.397924006404465,0.248032520310672,-0.516613083842069,9.80876969068627e-08,-0.242914424014738,0.0183201933680092,-0.424860022396417,1.97146040779712e-05,0.417100747751327,2.88825660793724e-05,0.388375537333381,0.000109709309245176,0.265166347577936,0.00979744716708483,0.527941335837879,4.54736964547412e-08,0.468713650977134,1.89264532136796e-06,0.912625076761912,1.6459529282029e-37,0.136423075533721,0.189819693939285,0.142000505725536,0.172173083165595,0.127392262399306,0.221110561515521,-0.0588881262868909,0.57289568160902
"37","training","turquoise",0.454605359278902,0.162527976612307,-0.579009169676678,9.76528019374188e-10,-0.28716351898645,0.00501194917594053,-0.460431294073763,3.02147708608607e-06,0.458877809017726,3.29408889508305e-06,0.569269179650919,2.13767367237601e-09,0.434498931905774,1.21064136656897e-05,0.451088707201874,5.0476744109514e-06,0.510243973033393,1.49297094842909e-07,0.816092665763621,1.24952077932137e-23,0.0546609974368441,0.600794251827777,0.17805106395753,0.0859938918351202,0.186461559795796,0.0719491312581215,0.13096962849177,0.20830662275318
