"","MEgreen","MEbrown","MEyellow","MEpurple","MEblack","MEpink","MEgreenyellow","MEblue","MEturquoise","MEmagenta","MEred","MEtan","MEgrey"
"ITH",-0.0302675732442711,-0.045465045150278,0.104117292511018,-0.162541033057867,0.041326694468223,-0.0482314474208649,-0.137806383296825,-0.0161631195905111,-0.0803387004134309,0.133753461013567,-0.00892323173710545,-0.0791217550189316,0.18142523532804
"ITI",-0.0787388664237873,-0.0590405485576938,-0.0703983536151618,-0.143761215508238,0.0189695249689644,0.0303713042451717,-0.14751256664966,-0.0594522545014694,-0.074553760489221,0.138193188035464,0.0426149034616173,-0.0445906912196147,0.193439666960736
"LT0",0.0839397728151495,0.113577715091767,0.0399932215656884,0.115570075208435,-0.0681397663607367,-0.0975071126612201,0.0519308041852961,-0.0234933394015146,-0.0822854505200282,-0.00673188320140907,-0.0277525119299173,-0.09916814760733,-0.06994110058272
"LU0",-0.0747877751785164,-0.0755745809609678,-0.234354876984382,0.0699777903138993,0.682066222288101,0.433780357538653,0.062919791610913,-0.0178027652841742,0.102132666098892,-0.170479035465084,-0.100532234939935,0.113322309029371,-0.139016724152202
"LV0",0.0500174956152482,0.129440825707493,0.00301988537326569,0.0241783940344861,-0.109124875192949,-0.0291198777210799,-0.0239601668004442,-0.0226145509295237,-0.0838955001299082,0.0213963022308915,-0.0213444372104879,-0.0647113440154002,-0.0971237103102764
"MT0",-0.0285221414427699,-0.163269561697803,-0.0203332042090272,-0.0493182135563456,0.0411343203062094,0.0796265520645175,0.0329430312800142,0.0161769802710752,-0.0285939245677193,-0.0130134716585821,-0.0536083554566586,0.0442661681110413,-0.142603428304941
"NL1",-0.0365767847655469,-0.116586225291988,-0.0531250038649319,-0.0683207617623546,0.0153020469670918,-0.0236085633036492,0.0773672659474002,0.136446298766277,0.138663389987028,0.0232828018060266,-0.00139860274501755,0.150162877283852,-0.105302553487301
"NL2",-0.0691845322454208,-0.115093771942635,-0.0610270918559808,-0.0277922816276007,0.00810085446850298,0.00194920550021736,0.105961100138784,0.168381526892878,0.101196637186926,-0.050225253535372,-0.00733225315132558,0.173316113933791,-0.052171194195564
"NL3",-0.108072179529786,-0.132640066971536,-0.11253999890847,0.0229904729090718,0.0684896822968731,0.107136710691928,0.0786626636593554,0.170888490738931,0.0823782100556963,-0.0696665210398911,-0.00574091308128939,0.126752847450936,0.0746057661659236
"NL4",-0.0596820929258116,-0.123790353846518,-0.0240478808408757,-0.0366707034579324,0.0352709599658689,-0.0105659380634623,0.0270048555788722,0.164553904871745,0.0572939748547829,0.0173467470041238,0.0081535689267343,0.152160949785339,-0.051017005865278
