"","var","module","kTotal","kIn","MM.yellow","p.MM.yellow","MM.brown","p.MM.brown","MM.magenta","p.MM.magenta","MM.turquoise","p.MM.turquoise","MM.blue","p.MM.blue","MM.green","p.MM.green","MM.black","p.MM.black","MM.pink","p.MM.pink","MM.red","p.MM.red","MM.grey","p.MM.grey"
"13","emp_TP","turquoise",0.892730670185566,0.484862229230938,-0.118179856602983,0.0528606787547695,0.615534471385329,1.92795978222299e-29,0.244605966450276,5.01513783490784e-05,0.877571868045152,3.17541012021558e-87,0.359501747766743,1.25501712411294e-09,0.720771606650761,2.15602807485952e-44,0.206028716393251,0.00067401930291075,0.152592674792087,0.0122194581618648,0.0366248065743155,0.549776618028011,-0.00922155024135827,0.880335791934956
"14","emp_Y15-24","turquoise",0.884481028179294,0.776764980621551,0.160253873137411,0.00845948265337348,0.500266326360761,1.92507670261971e-18,0.277856072795872,3.70289973137157e-06,0.947741466151276,1.72911578089526e-134,0.244429032039308,5.08044661916367e-05,0.548005943023421,1.74049381073825e-22,0.0810667850339381,0.184977126731632,-0.00312378627309549,0.959329152539294,-0.297141307095255,6.92911313096561e-07,0.175539896551937,0.00387551679893713
"15","emp_Y25-64","turquoise",0.945920790139181,0.686965013992843,0.161373430246537,0.00800643515227614,0.398292922007065,1.16188549430265e-11,0.129096771409372,0.0343152061309638,0.893856615312533,5.2377931937804e-95,0.291932530655274,1.10306009479693e-06,0.641700419833916,1.29505031124713e-32,0.133022619245779,0.0291630091047012,-0.0944490681659854,0.122268269965133,-0.487395735079251,1.86306083654854e-17,0.110334325892224,0.0708074462046825
"16","emp_YGE65","turquoise",0.170289398207104,0.154790979719448,-0.0115667576259989,0.855025714090356,0.310073089910263,5.11064896163166e-07,0.331034979224829,7.3916704899625e-08,0.666345721949394,1.02195123951599e-33,0.28304624528425,5.0052389016401e-06,0.289852822851264,2.8795077511995e-06,-0.0681167668869037,0.28139279982253,-0.044069908958182,0.486148033511379,-0.286244444394453,3.867110524288e-06,0.144724321235667,0.0215551151394457
"28","unemp_YGE25","turquoise",0.603873314235961,0.441197807973382,-0.335403527591288,1.70434348397268e-08,-0.284302773616428,2.14396703502416e-06,-0.154180769017367,0.0113370196504267,-0.815831006060158,1.85713954324219e-65,-0.103718088615165,0.0895524724637671,-0.503258798942093,1.12004350851199e-18,-0.0588562762396197,0.336223775377969,0.149047821610658,0.0144104815526156,0.457628215798332,2.49674204662823e-15,-0.21977103330929,0.000280977871184964
"11","emp_Y25-64_ED5-8","blue",0.218082065890148,0.131221869601872,-0.519091037994661,5.82897426399284e-20,0.39207987324838,2.56508718644537e-11,0.399354528472877,1.01315335606582e-11,0.257729937672234,1.86956689638109e-05,0.751444758857509,3.9222076283816e-50,0.39150344929627,2.7583478610278e-11,-0.247214361895603,4.13961797910575e-05,0.0953312742360071,0.118801836396997,-0.124817671247233,0.0407922704769429,-0.146920293205595,0.0158848192760342
"22","emp_Y25-64_NaceJ","blue",0.484212107974004,0.321625516934706,-0.366925468270873,3.98021148686575e-09,0.308239780765872,1.00917172252245e-06,0.231072618976555,0.000288716194915214,0.405613196383975,5.33072117126547e-11,0.827051266256598,5.66498680335552e-62,0.581931897033117,2.48456605980751e-23,-0.171679915801631,0.00743316722266951,-0.0244284498025225,0.705351591923608,-0.226925358196577,0.000373140437198849,-0.174493584150317,0.00650183044884913
"23","emp_Y25-64_NaceK","blue",0.386074034426912,0.168977117976517,-0.33998984321355,2.40057174961032e-08,0.262100165941863,2.16101095309421e-05,0.139125085831998,0.0260179363629299,0.435796234836347,2.72903707869695e-13,0.678797350652323,6.32588463586676e-36,0.689856803616388,1.6742979456779e-37,-0.121203364614328,0.0527563507495796,0.0810375658045319,0.196224787054311,-0.0760099565117876,0.225527041558295,-0.166310225452048,0.00766371900584514
"24","emp_Y25-64_NaceM_N","blue",0.614936936345606,0.267508126152278,-0.557515396992731,2.26795738440505e-23,0.320239570425444,7.87620366575237e-08,0.0887199689285912,0.146723439370887,0.40301713242955,6.29228090260549e-12,0.732592304894363,1.6432939326014e-46,0.666441645551672,6.53034246242837e-36,0.0289808701227444,0.636065115893698,0.0353696202999871,0.563544856895833,0.0202112115999926,0.741416169280168,-0.217208875079374,0.000332150332226305
"17","emp_Y25-64_NaceA","green",0.579965967598172,0.211642700521173,0.168893758938895,0.00781300683248382,-0.378193714025426,8.08149502476558e-10,-0.100983636844335,0.113402945353944,-0.549650885368721,6.70340056268661e-21,-0.484686417975581,5.88745372632795e-16,-0.699727174560501,1.19492038119266e-37,-0.0227609361113854,0.721879675261294,0.0258324122355759,0.68621546858948,0.162275392833594,0.0106378860683015,0.100176149991877,0.116331786804811
