"","MEyellow","MEbrown","MEmagenta","MEturquoise","MEblue","MEgreen","MEblack","MEpink","MEred","MEgrey"
"BE31",-0.060963073647256,0.0475633849546433,0.0674782948548844,-0.0149834699548638,0.109365485820096,0.0973045509987642,-0.0269284226735097,0.0665912483573238,-0.0265636314093537,-0.0207729819590053
"BE32",-0.000590817581833479,0.0397289297107073,0.0478578441137833,-0.0545827924697246,-0.00717205338133572,-0.019880103871843,-0.0307812053427256,-0.00813020514222532,0.046860575667479,0.0198968578973091
"BE33",-0.0176644057120051,0.0425846500487002,0.0461007947831662,-0.0375765959131474,0.00815621844939591,-0.010931707083594,-0.0273874234683124,0.045455668917474,0.0444178928922429,0.0310312741128667
"BE34",-0.0117877884652504,0.0160610095632574,0.0817266276252075,0.0190107414698684,0.039643459331054,-0.0154883631686777,-0.0592360129485833,0.0836604259931091,0.0127346111225019,0.0847468261627384
"BE35",-0.00979433437713051,0.0723539147930779,0.0553858519939061,-0.0131365744664389,0.0125404310959505,-0.0104044675618546,-0.0367430885165856,-0.0193347421039365,0.0170289483832103,0.0393360879807633
"BG31",0.0931813766437991,0.0521927589393901,-0.0829939407611721,-0.0741240834958542,0.106386352601254,-0.0975929084976925,0.112335437329412,0.04719199250459,-0.0304130152045491,-0.0470513204664284
"BG32",0.0646840915426192,-0.0616760110826195,-0.0598923004627785,-0.0670184428764947,-0.0224792212539245,-0.0924117679359715,0.0665597360920799,0.0610566968208722,-0.0384234389782691,-0.00822337175077088
"BG33",-0.00438073121518769,-0.114331900176253,-0.0359553519624667,-0.0568510588254839,-0.039844319939239,-0.0852486201373136,-0.00416054086506026,0.0552169224793035,-0.0467704577617164,0.0599901535201748
"BG34",0.0445520907644366,-0.0840894708615943,-0.0375747348690206,-0.0633845115073429,-0.0777909494930537,-0.0879946931895455,0.0088918387468173,0.0474737694052442,-0.038332303144416,0.0470076984443427
"BG41",0.00302461224101533,-0.0981903600504421,-0.0433676518630852,-0.034444228946304,0.0347875934137981,-0.0575039548023423,-0.0132087729138186,0.0459472907571782,-0.108169025811953,0.0172619084203892
"BG42",0.0711169212219347,-0.080728270790784,-0.0562732704154633,-0.0521366700174628,-0.0779571085832372,-0.0920951813716049,0.0162625524537484,-0.0824329559776069,-0.0423101452699655,0.0286669242686307
"CY00",-0.117129492994035,-0.0562348632237176,0.0757010976412326,-0.0460789232858406,0.0421643330937588,-0.0145772266343525,-0.0915534794257336,0.000592801699743822,0.000954484234014561,0.0346218110349363
"CZ01",-0.024182989469482,-0.0685537761420226,-0.0771958980961709,0.0188657293936937,0.0914829983258129,0.0377724632059305,-0.00608351835249629,-0.108768541372832,-0.135950880924884,0.0551005318028027
"CZ02",0.0839349750929041,-0.0575697626626243,-0.0149035895672553,-0.00306116832304898,-0.0347268321208511,-0.0347878613536078,-0.0405057210591656,-0.136109943752888,-0.128638648709334,0.0630363691825487
"CZ03",0.116013081071272,-0.0438378568623161,-0.0279109463621997,-0.00517125671157382,-0.0863878620321687,-0.0417013984585935,-0.0138650877434767,-0.101211790566618,-0.114577513080204,0.0851516951092408
"CZ04",0.101033435214737,-0.0554035584143848,-0.0102428076624249,-0.0268224687382825,-0.0796648386416262,-0.0557212874791942,-0.0334914014114169,-0.0722768684620957,-0.0823649265474824,0.0611519695939674
"CZ05",0.143937505674387,-0.0259800625654361,-0.0148617582631592,-0.00675081443841454,-0.0811969659940463,-0.0468967716002346,-0.0131796388073448,-0.119526301935894,-0.104460566994361,0.0423831748633701
