"","pop_Total","pop_Y0-14","pop_Y15-24","pop_Y25-64","pop_Y65-74","pop_YGE75","ARPR","low_work","rooms_pp","mat_depriv","ARPR_socexcl","emp_Y15-24_ED0-2","emp_Y25-64_ED0-2","emp_Y15-24_ED3-4","emp_Y25-64_ED3-4","emp_Y15-24_ED5-8","emp_Y25-64_ED5-8","emp_TF","emp_TP","emp_Y15-24","emp_Y25-64","emp_YGE65","emp_Y15-24_NaceA","emp_Y25-64_NaceA","emp_Y15-24_NaceB-E","emp_Y25-64_NaceB-E","emp_Y15-24_NaceF","emp_Y25-64_NaceF","emp_Y15-24_NaceG-I","emp_Y25-64_NaceG-I","emp_Y15-24_NaceJ","emp_Y25-64_NaceJ","emp_Y15-24_NaceK","emp_Y25-64_NaceK","emp_Y15-24_NaceL","emp_Y25-64_NaceL","emp_Y15-24_NaceM_N","emp_Y25-64_NaceM_N","emp_Y15-24_NaceO-Q","emp_Y25-64_NaceO-Q","emp_Y15-24_NaceR-U","emp_Y25-64_NaceR-U","unemp_Y15-24","unemp_YGE25","GDP","GVAgr","disp_income","training","earn_OC1_NaceB-F","earn_OC2_NaceB-F","earn_OC3_NaceB-F","earn_OC4_NaceB-F","earn_OC5_NaceB-F","earn_OC6_NaceB-F","earn_OC7_NaceB-F","earn_OC8_NaceB-F","earn_OC9_NaceB-F","earn_OC1_NaceG-N","earn_OC2_NaceG-N","earn_OC3_NaceG-N","earn_OC4_NaceG-N","earn_OC5_NaceG-N","earn_OC6_NaceG-N","earn_OC7_NaceG-N","earn_OC8_NaceG-N","earn_OC9_NaceG-N","earn_OC1_NaceP-S","earn_OC2_NaceP-S","earn_OC3_NaceP-S","earn_OC4_NaceP-S","earn_OC5_NaceP-S","earn_OC6_NaceP-S","earn_OC7_NaceP-S","earn_OC8_NaceP-S","earn_OC9_NaceP-S","expend_ED5-8"
"earn_OC8_NaceB-F",45463152.5519391,12.163294049923,3.99896894626019,-15.4346510975806,0.800715857518325,-1.5283277561209,-22.2906586538462,9.18496955128205,3.33955929487179,-63.7383349358974,-47.8254198717949,57.9440238158701,17.9862580792975,-68.778114825324,-76.9844793410193,7.52360993907179,54.2301841098541,-38.8388593484066,61.0307458956605,81.896484328505,20.1078629486336,1.34070189146056,-47.4541199698927,-31.1195751462875,-68.5794610204994,-45.4211373266446,-5.62189445609415,-7.02103538759247,33.2479650940937,-17.5738972492079,-1.85353505876475,6.82565953957418,1.9811407021517,10.2589644216925,0.33454623370745,-0.0352617863660282,13.8430076567741,21.281415831257,42.8730829442302,48.2343144827207,14.5133717211838,8.92864406003212,9.42987992334982,-5.34609153282775,84211.5352564103,-4.62245192307692,38275.3454494224,67.921203525641,76.1633081730769,63.4216248397436,52.5430070512821,42.9270043269231,39.7860504807692,67.5661146203156,42.4850711538462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"earn_OC9_NaceB-F",45830716.4215305,10.4205677872607,3.24219245274486,-13.2824851905801,0.592325363499193,-0.9726004129246,-18.5010248397436,8.12868189102564,2.9396578525641,-56.4415512820513,-41.3052275641026,53.5776065217734,18.3025780183707,-62.8449072049812,-70.5457723052103,6.39775798695488,48.1152393707165,-34.8502646823204,53.1156789349473,68.4000637652245,16.5288888391222,0.654359631678822,-41.7596774529938,-27.4865051059818,-61.0665694717547,-40.690657666268,-4.983476060594,-6.41409614016822,29.184885539136,-15.4140168770357,-1.68858738964412,5.95177687928417,1.57779901775315,9.54571126507324,0.20983815444828,-0.0561979723093837,12.1503983838618,18.9354842952594,38.3711340746001,41.9522589853171,13.5049711047635,8.69598317611165,9.00693175965685,-4.09956036108498,76499.1907051282,-4.13334695512821,33593.8657368273,59.3325336538462,68.0487802884616,55.6882292467949,46.215383974359,37.8125634615385,34.8717018429487,58.9057640039448,37.2811967147436,37.6340342948718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"earn_OC1_NaceG-N",124496475.116907,13.9374174881044,5.8916197020244,-19.5793838984787,-0.104167356175119,-0.145485935474941,-32.3604647435898,4.20424519230769,5.4164671474359,-106.964479967949,-80.1995849358975,104.089000357118,37.5190944587193,-121.20108397656,-128.587459431394,13.1274657150645,85.7837387099801,-60.3868437828801,89.568400558191,103.587323532146,28.9582262031072,-6.65385198505806,-75.7827307687286,-54.783005895453,-105.837764871455,-76.7543719410075,-4.48616010437944,-12.0035644806345,28.635483852983,-31.802996454562,-2.87157173777852,9.9969047769576,3.963448321283,25.3215724526335,0.578221734843619,-0.362224286918426,21.4303776364186,34.5572472563732,88.5099163380824,74.6488872741593,25.5458984307495,22.2816302560427,11.4921589682556,-9.77069828237185,166517.882211538,-9.83377804487179,64779.555508594,99.8872684294872,127.101388461538,100.779775961538,83.152137900641,67.9822271634615,59.411177323718,102.210699778107,64.1375834935897,63.6283865384616,56.6139858974359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"earn_OC2_NaceG-N",106880416.887989,17.7930512136366,4.41726169630679,-18.4558627493593,-1.17008482645921,-2.58436533412485,-27.2907331730769,14.6971193910256,4.36164743589744,-79.609311698718,-58.3198108974359,59.4377396528469,16.1697339541811,-83.6311285833502,-95.0517779839909,18.803044103614,71.560087008397,-48.7177079742316,75.9143188616389,92.9185800337708,24.5339557954766,0.90083604649975,-60.9509854923189,-41.251100387712,-85.4474760069518,-58.814524650202,-6.64914192410048,-9.32007494676851,34.3081227818485,-23.3717139432419,-1.94961982125893,8.88649106010207,4.50694789915465,17.1158116240177,0.906127263892933,-0.270054898758371,15.1614317955154,27.1005229481501,63.1504926911667,60.9161320793161,18.4819638496322,12.634662684088,7.70380416865259,-8.31500276181084,121311.221955128,-3.47058653846154,50873.8455903071,75.2781065705128,97.4607677884616,86.2409167467949,70.1014725160257,55.8445790865385,50.2927591346154,84.6951716962525,54.4247925480769,54.1250030448718,47.4108911858974,83.6113036057692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"earn_OC3_NaceG-N",74333763.3176122,13.195850427192,3.64800177660815,-14.7095351629972,-0.771193634573983,-1.363123406229,-22.3276682692308,9.99011858974359,3.78227564102564,-74.0320080128205,-52.940891025641,62.5890926656723,23.7985077359587,-79.2524749635678,-91.3782840087024,12.8535353822666,62.2354534612483,-42.8737874562733,63.313087252294,73.1801763325825,18.4232452975609,-0.605536143460307,-53.9864329620094,-36.1742713731738,-73.7358913517743,-51.7012594643545,-5.91802880781162,-8.2247181320943,31.9891723303999,-19.685539074496,-1.80984293328081,7.40129836935481,2.82352969428851,15.1101038205397,0.311255043038479,-0.271762337977375,14.4796393024551,23.5370854915988,52.8488710760302,51.0924721406197,17.652749819116,13.1474517802134,9.95489706791429,-4.80091876676328,107287.342948718,-4.50147836538462,43142.9561848408,67.8189967948718,85.9665471153846,70.5639919070513,58.4030623397436,47.3292278846154,42.8406180288462,70.3582859220907,45.7917495192308,45.853782051282,40.5177568910256,72.7692576923077,60.3134318910257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"earn_OC4_NaceG-N",51345038.0507853,11.7562849991134,3.61463117928769,-12.5897096360307,-0.915497545399512,-1.86570899697088,-20.3018862179487,7.61353846153846,3.35292948717949,-64.3668685897436,-46.9266121794872,55.2241653059977,18.4077323766941,-69.8001090107094,-79.6607685258634,11.1882978175315,56.4617407130753,-36.8135818639435,55.5621458855869,64.7205250483244,17.2451480729459,-0.660406293065462,-46.0292800426533,-31.7369823201652,-66.0603169370159,-46.834037564532,-4.76826035012449,-7.42426654111292,25.4470957903584,-18.4627410084383,-1.44934478801378,6.69785022655859,2.62272185994754,14.7021279927803,0.34642020602436,-0.296348566716063,12.6465326322808,20.5518351579089,49.1238553191687,45.5898763152193,15.3999311973709,11.9098239892923,7.14048547168463,-5.41402818855015,99622.8173076923,-3.67943189102564,37338.5943927867,59.4944983974359,74.6747110576923,62.0762954326923,51.5366238782051,41.6427014423077,37.6321241185898,60.7528504930967,40.1921112179487,40.3132639423077,35.5799857371795,64.6241371794872,53.1911961538462,45.2542478365385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"earn_OC5_NaceG-N",46849083.3717869,9.81735752280875,3.01775040221709,-12.1668778468137,0.3613817645199,-1.02961184273204,-17.5349302884615,7.27889342948718,2.77577003205128,-52.810766025641,-38.9516883012821,50.0787050801878,16.1241581880439,-58.8769150348499,-65.4663883599872,6.03741424856967,45.4199804470425,-32.6665924964038,49.7397146919846,62.9299288493972,15.6518305043306,0.0325146525004558,-38.8535950099303,-26.2357420228167,-57.5062194813086,-38.6904951968795,-4.4025587343053,-6.18152498048726,25.2117002518422,-15.1409987718878,-1.61660720599108,5.65356166885959,1.65885428601141,9.89890830324596,0.253134225678886,-0.105683337506053,11.05596787413,17.8948567576817,38.1331436239517,39.6043467799548,12.8178732576598,8.59057658260844,7.71349831806321,-4.3242660312527,75400.4046474359,-3.70619631410256,31821.5625528318,54.9752748397436,64.4999161057692,53.1491400641026,43.9650434294872,35.8411713942308,32.7563454326923,55.3035019723866,35.1431959134615,35.3361828525641,31.0651856570513,54.1954778846154,45.2324919070513,38.3880465544872,33.8165362980769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"earn_OC6_NaceG-N",103765944.176855,8.21107260308895,2.76136266030699,-15.2630614421236,1.74183532908966,2.54879084963796,-14.3189599673203,3.73087990196079,2.82285947712418,-60.0517949346405,-41.4234133986928,69.7977931937314,21.9349207605246,-70.6040988315211,-74.8489692833582,-1.60863048248304,49.7304328131667,-34.6909910672629,55.7707781800094,70.5914087635876,20.910705087429,0.634560644571574,-45.8029026537401,-27.8793924755033,-65.1893592123029,-43.0417670755697,-3.96559931044156,-6.94482661022643,24.6754128088194,-18.501774430756,-2.48826394407081,5.50929378897893,0.628439074075478,9.03312808304769,0.238630547953157,0.571110013949691,13.1410423373264,20.5478375028309,44.526911881761,44.746035692213,14.5472784582198,10.0749327896551,10.4471539951356,-4.42196541364506,80288.443627451,-5.34560620915033,36077.0659125189,67.7041429738562,71.5629328431373,56.7838786764706,46.329960375817,38.6183223039216,33.2752160130719,50.0701556184012,37.4088234477124,36.7591906862745,32.8005545751634,60.1446303104575,46.2986100490196,40.5712607843137,35.2331459150327,30.8975713235294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"earn_OC7_NaceG-N",47840425.411282,12.4517373056705,3.28349139889088,-13.2158257663247,-0.481622077309326,-2.03778086092734,-19.0328605769231,10.499203525641,3.0159358974359,-56.5818862179487,-40.9608974358975,44.457780753744,13.3753628331944,-59.2251816817045,-69.4184413752821,11.1794397242163,50.9425349444312,-33.8840667759324,53.0465687402574,66.9928911118389,16.8838004322024,2.05543032118567,-42.4465408491494,-27.5524428867554,-60.4011416009756,-40.8290726555751,-5.50304820166105,-6.39907392684693,29.4138583180508,-15.5149041436319,-1.32744213047866,6.2547397630614,2.44261568377662,10.5019076773126,0.411960040638691,-0.125964785883854,11.4527382545711,18.5842850225656,39.3967445068904,42.1936977052428,13.0040459085765,8.2238950743168,7.14975071882577,-4.73826251161755,79977.5176282051,-2.53793429487179,33656.6141166526,55.4642580128205,66.3811822115385,57.5123405448718,47.439991025641,38.1639427884615,35.2345783653846,57.9533763806706,37.6819918269231,37.9721948717949,33.2208483974359,55.9979807692308,49.9846983974359,41.367316025641,36.3961163461538,31.339269551282,40.5198058572147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"earn_OC8_NaceG-N",29792695.3964103,12.0464026548545,3.40204871520193,-13.5104363107293,-0.134265625823888,-1.80374943350317,-17.6648028846154,9.25420512820513,2.96571073717949,-56.5647123397436,-39.9187371794872,53.0100613532575,15.3897368442964,-63.2900108798705,-73.9406780309534,6.88497344411421,53.5510759412416,-33.851512082643,53.3069538360898,67.0835968737516,17.440118201886,2.73986690682116,-40.7388001166697,-26.2422774242017,-64.1304011007923,-42.8819638101449,-5.75562610018741,-6.86114414413432,31.058471479429,-16.416259882181,-1.44591095436686,6.36063704291063,1.52506629851338,10.6257327987917,0.234987372134656,-0.0204808089116702,12.0874457296519,18.726572259885,39.112275024021,42.6383051198333,13.8643456475597,8.78018455212725,8.26346282690485,-4.45312947370932,82551.4943910256,-2.56641105769231,31324.0449422373,59.3965088141026,65.8228860576923,55.547127724359,46.4309207532051,37.7514983173077,34.9813012019231,57.3897572238659,37.4739903846154,37.9233993589744,33.3052107371795,55.5906569711538,48.0491763621795,40.9128551282051,36.0775442307692,31.2489477564103,39.9674022435897,34.0097371794872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"earn_OC9_NaceG-N",36938482.651891,9.46893763695897,2.90995712815477,-11.5060828086279,0.282253367219341,-1.15506532370517,-16.1277532051282,7.47729967948718,2.63456169871795,-48.9745681089744,-35.6036049679487,47.68379646652,16.3002114585806,-56.9985412596396,-63.7856113373414,6.67311961967583,43.6744432161028,-31.2525713793625,46.8634991450568,58.9615523386163,14.0893933267148,0.290629808942781,-36.1486561371071,-24.2940872867955,-55.4455627470778,-37.231865739725,-4.30737007786656,-5.91282960909923,25.0773655076986,-13.8079989538572,-1.3957238856843,5.3723618826188,1.49738566607291,9.40575914143956,0.186641905717004,-0.129637074720153,10.6130633613679,16.8298773111974,35.3467568193249,37.1450553338258,12.2939211326817,8.18859154733483,7.51537609921458,-3.87877750299709,71121.5608974359,-3.45116506410256,29605.0185967878,51.4536394230769,60.4685348557692,49.6968963141026,41.3376236378205,33.6782932692308,31.1000443910256,51.1767625493097,33.1729407051282,33.4749641025641,29.4202648237179,50.7410351762821,42.5358575320513,36.2146121794872,31.9352915064103,27.7221212339744,36.2010043174962,29.680319551282,29.7377883814103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"earn_OC1_NaceP-S",158850806.439944,18.1001422616968,4.85593842126685,-19.9650250063588,-2.32308464715418,-0.667971029450681,-31.6902908653846,21.9058469551282,6.67495592948718,-117.82433974359,-78.8758357371795,101.335454988019,73.5644915790767,-154.118458838577,-175.095840507096,47.6311714062482,94.5123705636325,-82.2014348041314,96.9379171402496,92.0519216644078,10.1248116303028,-10.1886615980154,-92.8015369770214,-63.8040353525152,-120.036606062111,-88.3333061701051,-7.94477433933221,-13.2348800491481,54.2552877853382,-20.9236511559337,-1.52691333469435,10.7182251822355,6.19890898159448,27.8392424462632,-0.206357056692998,-1.47562525096971,25.322488307295,39.4623246130183,86.335379969184,75.1833373199206,32.6820488932369,27.9989251274055,21.2876084734191,-1.93790267470503,174630.172275641,-12.650797275641,80399.3396731474,90.0384703525641,151.414810817308,115.290405608974,96.4184782051282,77.6988579326923,72.1706550480769,103.397145981262,74.1588064903846,74.396796474359,66.2762965544872,125.243027403846,99.2213153044872,86.1279500801282,75.5218338942308,63.0721657852564,84.3831014328808,66.9937044871795,65.0438661858974,59.5387595352564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"earn_OC2_NaceP-S",107667313.20399,20.1936684582333,3.85952141489545,-14.7717369086702,-6.44684143054689,-2.83461153391161,-21.0311314102564,20.880328525641,6.00698798076923,-106.477709134615,-63.2481682692308,91.4837824678391,60.5678532193585,-143.818891987257,-174.306563379875,46.0894105067628,104.838408788226,-68.5685544395318,79.6155414646845,51.6087190248929,7.0632635360335,-5.58889073797875,-77.2007386925178,-53.4650588888491,-115.363513291242,-88.6015550461188,-8.59362038882845,-14.1845724124559,44.7034016384258,-23.2616520008664,-0.332775150197033,10.6119539203778,5.60554657452639,34.2577537863868,-0.242786750838597,-1.50298427181858,20.8261246612498,34.0257556840706,87.8419527076899,65.3576817584116,32.6391233691657,30.1263720177102,15.2372737209227,-1.96476976535237,197319.111378205,-5.20700721153846,62567.5848126233,70.8405809294872,127.673988461538,100.207784294872,85.1341483173077,67.4843459134615,61.6342044070513,78.7330965729783,63.7211626602564,63.4993448717949,57.2235192307692,110.431817227564,88.5682765224359,77.358903525641,68.6502455128205,54.843957051282,71.1860592068879,59.7920349358974,59.1664215544872,52.0860247596154,139.478010737179,NA,NA,NA,NA,NA,NA,NA,NA,NA
