"","X1vsX2","X1vsX3","X1vsX4","X1vsX5","X1vsX6","X1vsX7","X1vsX8","X1vsX9","X1vsX10","X2vsX3","X2vsX4","X2vsX5","X2vsX6","X2vsX7","X2vsX8","X2vsX9","X2vsX10","X3vsX4","X3vsX5","X3vsX6","X3vsX7","X3vsX8","X3vsX9","X3vsX10","X4vsX5","X4vsX6","X4vsX7","X4vsX8","X4vsX9","X4vsX10","X5vsX6","X5vsX7","X5vsX8","X5vsX9","X5vsX10","X6vsX7","X6vsX8","X6vsX9","X6vsX10","X7vsX8","X7vsX9","X7vsX10","X8vsX9","X8vsX10","X9vsX10"
"ARPR_socexcl",0.00374308233897363,0.10064008821122,0.496563572622731,0.0185660426948651,0.115056278610977,0.0439048220569533,0.0936592131920354,0.329436251299361,0.39733774865405,0.00181994355604625,0.00420050350744607,0.000175562576126488,0.00623828599220193,0.423803313779063,0.0971828470963049,0.188737572728236,0.0442110599484656,0.23879808339529,0.634200120925346,0.00291063034518032,0.020277185521444,0.0147218341004132,0.0988485080660452,0.762440975381486,0.0391392548492593,0.0195589748028547,0.038246734179988,0.0368005312741385,0.1877337462102,0.591645464045603,1.33515813774454e-05,0.00179542146227454,2.5002213722178e-05,0.000583363868198586,0.0695293472427875,0.0507042432822673,0.0789794279653083,0.495220504560302,0.014772879465454,0.367835338105833,0.537875057590976,0.255883050811606,0.354945767605597,0.0507839030479063,NA
"emp_Y15-24_ED0-2",0.718645251175907,0.148111807074325,0.964176711385665,0.123555957778775,0.722424991212243,0.303252206838413,0.21627400123909,0.345741951576315,0.176490549779249,0.352738667201821,0.754335060283749,0.101552324787954,0.982327894217926,0.517716058050548,0.210406556415806,0.569133768528309,0.218230641398301,0.282796043124845,0.0335133846689933,0.411338629799573,0.944405615697956,0.0661119921655702,0.956774594493348,0.0704366587306615,0.234114466367499,0.75634172871358,0.452761201526566,0.393077266392023,0.545242961177438,0.395052824063726,0.115041575838916,0.0979221429855753,0.867220911981635,0.188237195941026,0.851681770058194,0.566378115342727,0.242851068373053,0.622662143359231,0.261729499724373,0.203859784599561,0.952700562281619,0.313647306824683,0.356536043868421,0.788424322188742,NA
"emp_Y25-64_ED0-2",0.263953778675684,0.124048990365419,0.386730474074512,0.297072690036659,0.658176919595873,0.732724854797947,0.43829714460129,0.629203043147608,0.644741861517001,0.152726232787406,0.751272192738793,0.754006659978809,0.751570495383282,0.447959036525517,0.0132672400986017,0.893657823103029,0.849300117971886,0.0539835041439314,0.0325951322753747,0.461900039127543,0.144316488025626,0.00192453043095831,0.178411144619649,0.164475599056389,0.946235712744752,0.861870713213104,0.565647798194036,0.00949429704398257,0.941879543232069,0.993492486571179,0.82237281874413,0.468153136560668,0.00275978594564483,0.968618118901975,0.955428492479862,0.924461613373934,0.39075277642583,0.916873602426094,0.929391076737515,0.208512844059244,0.790789600582951,0.809112922334229,0.0608745579999198,0.0622735215805382,NA
"emp_Y15-24_ED3-4",0.0172924469969276,0.000609205033683552,0.0214102561690025,0.528098207587497,0.10032200211177,0.0437662823578948,0.943906517621247,0.102567536429644,0.455785043877288,0.094260516563301,0.171504652982919,0.195777291763462,0.551987580383273,0.532515868378819,0.280487715353061,0.487809033044379,0.169520262887052,0.00652447351311812,0.030266647309045,0.0618053250906063,0.593221696025972,0.137545581154909,0.117718955797809,0.058627413666239,0.753727569449146,0.546584449648895,0.186654906158963,0.618817171874504,0.807191336078623,0.0716181747701818,0.448490304098021,0.203876847616595,0.742684461475834,0.832087695074183,0.648261609983185,0.363333288125225,0.441667400400395,0.793398505885199,0.343556472096958,0.400845522437046,0.606242671442514,0.441317778189927,0.836001114864423,0.961907049470046,NA
"emp_Y25-64_ED3-4",0.0149330403303524,0.0173835914602874,0.376773959412683,0.472553118761565,0.451278600020479,0.361871373705629,0.717411045859206,0.809236370760438,0.687007433328052,0.123130319746084,0.109549570340175,4.50166873451346e-05,0.22054412533333,0.323838027575182,0.036010021412763,0.00300688538602072,0.00227557709260581,0.0810479199807948,0.00371325764057533,0.119874174009464,0.223557131473121,0.0657028578630677,0.100887315185589,0.0894538083916969,0.505704902116979,0.976520117654371,0.824722510850984,0.380345442274756,0.467818586467542,0.399570628368951,0.673306393366286,0.38664406786316,0.312534916256388,0.0291589027944027,0.014538883263808,0.830004270726602,0.438108268248075,0.581100223370086,0.512823196878299,0.447570857033808,0.595738495851561,0.550915968579872,0.968017606509592,0.963412159187875,NA
"emp_Y15-24_ED5-8",0.0681668574930532,0.0295289999384788,0.403242124940334,0.0174693660020301,0.211822695750036,0.186759224052965,0.351653711212999,0.969895249805784,0.308583692331217,0.129553496913498,0.473218708392037,0.167845473920725,0.262010541490649,0.980503106734413,0.771825522110438,0.106170879958858,0.839441471441674,0.199197490314036,0.826173630366665,0.0252266774958734,0.177370984280038,0.379374131321141,0.00349391095436745,0.0603893637196922,0.164708168460447,0.94915204960843,0.620363897077006,0.827624300093368,0.617062808364996,0.691576300546489,0.0270243155831219,0.266508832699131,0.347757217183927,0.0243425214946715,0.446189876864999,0.37561483664373,0.76923242573035,0.252771930122113,0.401887945573435,0.847419568650062,0.310175451763717,0.896805288609158,0.648907916499902,0.873893251253726,NA
"emp_Y25-64_ED5-8",0.174006408493405,0.148837976485739,0.991344048620892,0.450387876696547,0.8146196328829,0.419867869979413,0.587035767735495,0.444314051563636,0.296181085441872,0.738532067545074,0.149393695964957,0.0149044117228575,0.216563109326927,0.693458712949205,0.727370210245152,0.0962610416102897,0.0611704784153148,0.115942136088455,0.00937975248346585,0.1691552282013,0.484624189374269,0.636340370263504,0.101768042869846,0.0737751218825281,0.371474376060335,0.79914105163029,0.340161399663338,0.593743417721856,0.382563478491039,0.251086617049072,0.262488711853362,0.0362510385797959,0.249561681299495,0.294569491718569,0.109402427154574,0.48331769347711,0.66953504060847,0.329834521008917,0.209096277297277,0.948943158152393,0.227856662595925,0.184489342744627,0.577304895581713,0.502365447345543,NA
"emp_TF",0.00264770448677277,0.00568099925876753,0.32996729241296,0.968423818692798,0.0109401711098424,0.363389186986584,0.0743218756906658,0.724417950929964,0.376451755279234,0.280910011717305,0.00549223762608926,0.1900884189163,0.634563110935899,0.0147963007697572,0.00143956945960808,0.0269381390168329,0.110288676700731,0.0152454268475115,0.166411659578292,0.694111747581801,0.036815428632671,0.011054702782246,0.10264317373559,0.2028199906241,0.812043499667297,0.0381269731229792,0.194482443547232,0.0129490535735121,0.190088575371494,0.499840147710634,0.160643086525555,0.709726730010034,0.548827033209559,0.91589665510953,0.827867598210556,0.0368770378207318,0.0136665027343954,0.125703515575229,0.291785417025186,0.670756519111032,0.813001271249658,0.516144928005797,0.294620211845772,0.149826137159189,NA
"emp_TP",0.0137678755802574,0.0426868952180303,0.351113586383194,0.238490748215538,0.0387712007708394,0.0669114153310934,0.358729407635314,0.763691313046908,0.879388117023542,0.620228740534752,0.00349550091791791,0.0227795043832432,0.112538697380148,0.930438702160635,0.0258857459050567,0.0158421180202193,0.0338593407096948,0.0137217633908594,0.0573769377164852,0.312552760273761,0.595150640499578,0.0685710973334108,0.0512785979574495,0.0899638754401648,0.571951207358746,0.00671587456974075,0.031565513300098,0.112137564312887,0.747139946570565,0.467428503461218,0.0385049112758842,0.106681563886914,0.228916260903758,0.655176159694953,0.52639549094447,0.112660602003722,0.0720233636550185,0.0155103632687555,0.042119780989031,0.024874128684861,0.0623489832609914,0.0824260406393059,0.116624011183327,0.218255944624185,NA
"emp_Y15-24",0.194788102727616,0.305311633397888,0.716017109265129,0.168552484446518,0.302099300260922,0.152967847844321,0.158665286703402,0.706356672868338,0.380487775461409,0.714633121946071,0.0481615748353764,0.00243575869009299,0.46968694686024,0.0907175722024268,0.0834567828290533,0.449033494571788,0.348657122676727,0.0940359307535465,0.00709683617651953,0.682252641705201,0.04732296801945,0.025562275005693,0.432272709125056,0.177279312956631,0.24997091846339,0.0838548274720074,0.0640996706815559,0.0631832971331369,0.476361383504147,0.234036938714052,0.00426350944899793,0.00805969301388734,0.00769809590476657,0.129937873125171,0.0531365785581266,0.0481818151723099,0.0424026950607525,0.74154136944351,0.217668407318244,0.858839804993932,0.222982534303213,0.659188686996065,0.0461837889986662,0.242783329752119,NA
