"","estimate","se","zval","pval"
"emp_Y15_24_ED3_4/11",151.62091209848,513.180148779386,0.295453579915581,0.767647408165415
"emp_Y15_24_ED3_4/12",20.4244974150055,119.716470659937,0.170607246458366,0.86453259962023
"emp_Y15_24_ED3_4/13",-3.29356078300335,43.2099829616558,-0.0762222189702328,0.939242305926758
"emp_Y15_24_ED3_4/14",-3.67721916900545,44.2038330505194,-0.0831877897286159,0.933702221471757
"emp_Y15_24_ED3_4/15",-161.546495851498,605.970024823805,-0.266591562674193,0.789783652613936
"emp_Y15_24_ED3_4/16",-105.574630976372,464.510759783782,-0.227281346562381,0.82020497687652
"emp_Y15_24_ED3_4/17",15.6000076738325,34.6985274859982,0.449587022968843,0.653008246947855
"emp_Y15_24_ED3_4/18",65.2531444632774,636.002693712044,0.102598849200506,0.918281356225923
"emp_Y15_24_ED3_4/19",-6.77968125082562,30.8237150567035,-0.219950166239004,0.825909965824003
"emp_Y15_24_ED3_4/20",18.5229165269234,58.6530718236806,0.315804713222965,0.752150740431681
"emp_Y15_24_ED3_4/21",55.9355579980619,47.8900710647712,1.16799906023128,0.24280714396362
"emp_Y15_24_ED3_4/22",-274.683994864295,446.731147093804,-0.614875404706484,0.538637006780123
"emp_Y15_24_ED3_4/23",0.0855349487682991,54.5933784766473,0.0015667641599592,0.998749903577795
"emp_Y15_24_ED3_4/24",91.0009334096886,121.590184183787,0.74842335358369,0.454204840516499
"emp_Y15_24_ED3_4/25",-128.541225852103,0.000288426071743019,-445664.377964522,0
"emp_Y15_24/2",-114.002800709885,437.068700687397,-0.260834968348427,0.794219776765468
"emp_Y15_24/3",-1.18043139970773,15.0528287298033,-0.0784192407218838,0.937494568777282
"emp_Y15_24/4",-10.2795093397624,18.7801767622979,-0.547359562685216,0.58413173064553
"emp_Y15_24/5",-155.158977373203,99.5114960249623,-1.55920655975549,0.11894749876552
"emp_Y15_24/6",-67.6838364039035,107.62050036826,-0.628912114070279,0.529406594783425
"emp_Y15_24/7",4.70429856611337,28.333764841066,0.166031538431318,0.8681321305422
"emp_Y15_24/8",-9.87630850766913,176.267550163745,-0.0560302137205315,0.955317737892283
"emp_Y15_24/9",19.8063685446702,81.8841586692965,0.241882787422433,0.808870987815277
"emp_Y15_24/10",-14.0351436352902,26.5442903248505,-0.528744353814977,0.596982804312227
"emp_Y15_24/11",-33.6201735139562,249.759713277243,-0.134610074110056,0.892920176120158
"emp_Y15_24/12",-15.5941498344614,142.075393399836,-0.109759680837733,0.91259996781503
"emp_Y15_24/13",-362.854497696504,285.407557247276,-1.27135560528318,0.203602168713551
"emp_Y15_24/14",-178.406632322128,124.112577353699,-1.43745812169946,0.150587864081893
"emp_Y15_24/15",-143.405585448994,899.160580379451,-0.159488292278645,0.873284181664798
"emp_Y15_24/16",-78.5352494845441,1317.84142809087,-0.0595938538662551,0.952479113574558
