"","Cluster","Prob(1)","Prob(2)","Prob(3)","Prob(4)","Prob(5)","Prob(6)","Prob(7)","Prob(8)","Prob(9)","Prob(10)","Prob(11)","Prob(12)","Prob(13)","Prob(14)","Prob(15)","Prob(16)","Prob(17)","Prob(18)","Prob(19)","Prob(20)","Prob(21)","Prob(22)","Prob(23)","Prob(24)","Prob(25)"
"BG32",6,1.71676537515376e-54,5.14417414701716e-70,9.85068051729131e-65,8.06529164409959e-32,3.1619210201326e-18,0.999561939709511,6.32755209641265e-32,1.30810607894307e-38,1.93345659317282e-63,2.36100311527441e-37,2.17367983021507e-104,7.55035872059167e-46,1.43144588263675e-23,3.69452070573108e-06,2.18375457712624e-75,6.92961532794462e-78,8.61646606036909e-26,1.44551283664479e-88,4.35752064286543e-40,0.000434275807608385,8.99621750478471e-08,6.07841533776018e-78,4.71260522494259e-23,4.78487219148891e-94,3.67474600486569e-139
"BG33",6,4.89067409739494e-50,7.59595888455713e-65,3.09656756081952e-62,1.66514985806482e-27,2.90373586628524e-19,0.999996181525292,3.83050818252327e-29,2.74661935015074e-30,4.99499241451693e-57,8.55961426266627e-33,4.17428597831461e-95,1.32426618298194e-42,2.30466192856504e-29,6.92280366068937e-10,2.29394444999302e-77,1.04976562641698e-76,3.4711293619019e-29,3.89782358304305e-83,8.8511462044863e-38,3.70833323498958e-06,1.09449192165097e-07,5.66613472281678e-79,2.89716096696136e-21,1.50551204060049e-84,4.56436070415628e-135
"BG34",6,4.25604283580409e-57,4.39633196012705e-66,6.74739836307052e-71,3.22047497777657e-31,5.32743852600311e-22,0.999999919662415,3.96338440327559e-36,4.87627652236515e-29,1.81886762194132e-61,4.98659556254012e-37,1.17821590131558e-98,3.72880607794726e-49,1.23997944317648e-28,2.29926616792404e-11,6.99389575457418e-88,6.05594856807635e-87,2.10498721104653e-30,9.31644437235463e-87,1.50259308762279e-44,4.78512184396756e-08,3.24633740006984e-08,5.82164048001231e-96,6.76098749131736e-27,6.80956202817498e-91,1.71242059472526e-147
"BG41",6,1.77827233157411e-40,3.07825420122691e-43,1.41945303705119e-56,1.18887555297635e-23,2.43234621520909e-18,0.823767998592711,5.66852873092252e-30,3.77474751569305e-15,1.26111650329681e-39,8.01523599249561e-23,1.05129378258999e-73,2.5497472516959e-39,2.17510418832448e-23,2.70519460889907e-13,2.08601227865005e-73,4.7239532506355e-70,1.48833078613508e-26,4.61672098784547e-63,6.4113651374463e-35,4.80522684037989e-08,0.176231953354746,1.2215832086274e-81,6.32024862449281e-19,1.75927582831476e-66,1.393833818923e-120
"BG42",6,1.53732133706422e-54,6.28319067603658e-69,6.18937336565347e-68,1.44977228883083e-29,3.51329723180593e-21,0.999998443288173,2.35464137722414e-31,1.67525037747578e-30,8.62272351352915e-61,1.79139468379968e-34,2.18029001076842e-98,2.08227648451887e-45,1.09538354074118e-29,3.56954989604913e-11,3.87608731809809e-84,8.73794990109648e-82,2.23698969875948e-30,1.23861873277151e-86,7.99518562252863e-41,1.44481420652129e-06,1.11861925535949e-07,2.43104519752083e-87,5.54214231944817e-24,5.46906093599438e-89,5.23731510208683e-144
"CY00",7,8.00719076046663e-07,1.18577053740604e-30,1.75560402301519e-08,0.000234698374139709,0.956427093322006,2.05820617755549e-19,0.00692903472439548,2.39253747787754e-29,1.42423193376364e-20,8.1959116909339e-08,3.33808580438368e-55,5.41906724645546e-17,5.71199328222356e-15,5.35744249649142e-07,3.86006599841376e-10,2.32078760677839e-13,1.40432932823308e-09,1.31099224749668e-28,0.0362762469041925,1.93695640295679e-17,7.82951614454702e-14,1.50884724631869e-26,0.000131488906131294,1.37902597484999e-33,1.9117711323415e-50
"CZ01",2,2.30061771615371e-14,0.99987923047727,8.43374686277461e-26,8.49276198645424e-18,1.27801028273e-21,1.18634614688409e-25,2.60025562440608e-35,2.11996037994855e-07,0.000120557526425695,2.30935976786034e-13,8.38310456769462e-37,3.02306123523119e-38,7.65010246529352e-30,3.78119285805899e-30,2.03519686732507e-42,6.2086181663682e-44,2.3187000325229e-32,1.07715594269416e-19,2.04904290715799e-28,9.90210865565757e-35,1.24178034978107e-14,1.25895757152329e-65,9.20896891929567e-21,1.04355751271792e-24,4.98510377831278e-58
"CZ02",8,1.17768677622598e-25,1.30899644522028e-31,9.37183015876801e-47,4.88068097958324e-12,1.95078637182626e-15,5.21865654256044e-09,1.49971259825985e-16,0.999999994582206,4.71323955637826e-30,8.54418329283412e-13,9.57267220660686e-44,9.45421539096766e-24,4.25573569089238e-30,1.77238982231391e-21,1.63038702399954e-61,8.26841626169617e-53,1.99618626171487e-22,4.81514782213799e-43,3.50853909131787e-20,2.18663474388139e-17,1.93388841235129e-10,2.52516653999555e-81,1.17628220244572e-14,3.79906702462603e-38,1.01288273945457e-99
"CZ03",8,3.76800109047077e-21,3.00397136910366e-30,2.858482591881e-42,3.24429310882399e-10,1.82194887501216e-10,0.0691481255722296,1.43788194314784e-10,0.929873833234089,8.99728606704229e-28,4.24666595686327e-09,1.00627883666106e-42,8.09926858043935e-17,4.75300562653864e-24,1.1633246923904e-14,3.66281911948215e-53,5.35812819097732e-46,6.32693765878808e-17,2.44746821890196e-43,1.05321327014734e-14,6.13293728301991e-08,0.000977509106280282,3.53262019001857e-64,4.65860927605436e-07,3.44614778003637e-37,6.75466184548847e-94
"CZ04",6,1.11910315965943e-27,8.89485681871707e-40,5.94686496722874e-47,1.82701996739606e-14,4.95614600105195e-11,0.999483479772147,4.27888871144633e-13,4.31049107559026e-09,3.04560876156959e-36,1.71634952809669e-14,2.40113633911748e-55,7.08873018006992e-21,1.0923434531201e-22,8.7264000222544e-12,3.38623452958773e-56,6.34755522091774e-51,5.0647362694087e-17,2.41357166168553e-53,2.18732811020644e-18,1.87870692703142e-05,0.000497724615361024,1.68460237941187e-64,4.1739800012052e-09,3.55969307301141e-49,2.83000296452564e-103
