"";"F00";"F01";"F02";"F03";"F04";"F05";"F06";"F07";"F08";"F09";"F10"
"ES63";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES64";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ES70";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FI";NA;NA;NA;NA;26.9230769230769;NA;NA;NA;NA;NA;19.2307692307692
"FI1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FI19";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
"FI1B";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.66666666666667
"FI1C";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40
"FI1D";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16.6666666666667
"FI2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FI20";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR21";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR24";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR25";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR26";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR41";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR42";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR43";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR51";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR52";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR53";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR61";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR62";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR63";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR71";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR72";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR81";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR82";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FR83";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FRA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FRA1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FRA2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FRA3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FRA4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FRA5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"HR";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"HR0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"HR03";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"HR04";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"HU";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"HU1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"HU10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"HU2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"HU21";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"HU22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"HU23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"HU3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"HU31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"HU32";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"HU33";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"IE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"IE0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"IE01";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"IE02";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"IT";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITC1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITC2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITC3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITC4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITF";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITF1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITF2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITF3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITF4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITF5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITF6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITG";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITG1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITG2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITH";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITH1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITH2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITH3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITH4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITH5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITI";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITI1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
