"sex";"age";"unit";"geo";"X2014"
"T";"TOTAL";"PPS_HAB";"FR30";23400
"T";"TOTAL";"PPS_HAB";"FR4";23400
"T";"TOTAL";"PPS_HAB";"FR41";21800
"T";"TOTAL";"PPS_HAB";"FR42";26700
"T";"TOTAL";"PPS_HAB";"FR43";21200
"T";"TOTAL";"PPS_HAB";"FR5";25000
"T";"TOTAL";"PPS_HAB";"FR51";26200
"T";"TOTAL";"PPS_HAB";"FR52";24300
"T";"TOTAL";"PPS_HAB";"FR53";23900
"T";"TOTAL";"PPS_HAB";"FR6";25400
"T";"TOTAL";"PPS_HAB";"FR61";25300
"T";"TOTAL";"PPS_HAB";"FR62";26500
"T";"TOTAL";"PPS_HAB";"FR63";22000
"T";"TOTAL";"PPS_HAB";"FR7";28100
"T";"TOTAL";"PPS_HAB";"FR71";29100
"T";"TOTAL";"PPS_HAB";"FR72";23400
"T";"TOTAL";"PPS_HAB";"FR8";25800
"T";"TOTAL";"PPS_HAB";"FR81";22100
"T";"TOTAL";"PPS_HAB";"FR82";28000
"T";"TOTAL";"PPS_HAB";"FR83";24500
"T";"TOTAL";"PPS_HAB";"FRA";18200
"T";"TOTAL";"PPS_HAB";"FRA1";20100
"T";"TOTAL";"PPS_HAB";"FRA2";21200
"T";"TOTAL";"PPS_HAB";"FRA3";16000
"T";"TOTAL";"PPS_HAB";"FRA4";19200
"T";"TOTAL";"PPS_HAB";"FRA5";8400
"T";"TOTAL";"PPS_HAB";"HR";16100
"T";"TOTAL";"PPS_HAB";"HR0";16100
"T";"TOTAL";"PPS_HAB";"HR03";15500
"T";"TOTAL";"PPS_HAB";"HR04";16400
"T";"TOTAL";"PPS_HAB";"HU";18600
"T";"TOTAL";"PPS_HAB";"HU1";29500
"T";"TOTAL";"PPS_HAB";"HU10";29500
"T";"TOTAL";"PPS_HAB";"HU2";16400
"T";"TOTAL";"PPS_HAB";"HU21";16800
"T";"TOTAL";"PPS_HAB";"HU22";19500
"T";"TOTAL";"PPS_HAB";"HU23";12400
"T";"TOTAL";"PPS_HAB";"HU3";12200
"T";"TOTAL";"PPS_HAB";"HU31";11600
"T";"TOTAL";"PPS_HAB";"HU32";11800
"T";"TOTAL";"PPS_HAB";"HU33";13000
"T";"TOTAL";"PPS_HAB";"IE";36800
"T";"TOTAL";"PPS_HAB";"IE0";36800
"T";"TOTAL";"PPS_HAB";"IE01";24300
"T";"TOTAL";"PPS_HAB";"IE02";41300
"T";"TOTAL";"PPS_HAB";"IT";26400
"T";"TOTAL";"PPS_HAB";"ITC";32200
"T";"TOTAL";"PPS_HAB";"ITC1";27600
"T";"TOTAL";"PPS_HAB";"ITC2";36500
"T";"TOTAL";"PPS_HAB";"ITC3";28700
"T";"TOTAL";"PPS_HAB";"ITC4";34700
"T";"TOTAL";"PPS_HAB";"ITF";17500
"T";"TOTAL";"PPS_HAB";"ITF1";23100
"T";"TOTAL";"PPS_HAB";"ITF2";20500
"T";"TOTAL";"PPS_HAB";"ITF3";16700
"T";"TOTAL";"PPS_HAB";"ITF4";17200
"T";"TOTAL";"PPS_HAB";"ITF5";19000
"T";"TOTAL";"PPS_HAB";"ITF6";16100
"T";"TOTAL";"PPS_HAB";"ITG";17700
"T";"TOTAL";"PPS_HAB";"ITG1";17000
"T";"TOTAL";"PPS_HAB";"ITG2";19900
"T";"TOTAL";"PPS_HAB";"ITH";31100
"T";"TOTAL";"PPS_HAB";"ITH1";39700
"T";"TOTAL";"PPS_HAB";"ITH2";33700
"T";"TOTAL";"PPS_HAB";"ITH3";29800
"T";"TOTAL";"PPS_HAB";"ITH4";27800
"T";"TOTAL";"PPS_HAB";"ITH5";32200
"T";"TOTAL";"PPS_HAB";"ITI";29200
"T";"TOTAL";"PPS_HAB";"ITI1";28700
"T";"TOTAL";"PPS_HAB";"ITI2";24000
"T";"TOTAL";"PPS_HAB";"ITI3";25300
"T";"TOTAL";"PPS_HAB";"ITI4";31400
"T";"TOTAL";"PPS_HAB";"LT";20600
"T";"TOTAL";"PPS_HAB";"LT0";20600
"T";"TOTAL";"PPS_HAB";"LT00";20600
"T";"TOTAL";"PPS_HAB";"LU";73000
