"";"migrt_Total";"migrt_Y15-24";"migrt_Y25-64"
"DEC0";0.401425262051378;0.461072920420365;0.515908871079727
"DED";0.401425262051378;0.461072920420365;0.515908871079727
"DED2";0.401425262051378;0.461072920420365;0.515908871079727
"DED4";0.401425262051378;0.461072920420365;0.515908871079727
"DED5";0.401425262051378;0.461072920420365;0.515908871079727
"DEE";0.401425262051378;0.461072920420365;0.515908871079727
"DEE0";0.401425262051378;0.461072920420365;0.515908871079727
"DEF";0.401425262051378;0.461072920420365;0.515908871079727
"DEF0";0.401425262051378;0.461072920420365;0.515908871079727
"DEG";0.401425262051378;0.461072920420365;0.515908871079727
"DEG0";0.401425262051378;0.461072920420365;0.515908871079727
"DK";0.7894818680933;1.9468428457146;0.857950516906672
"DK0";0.7894818680933;1.9468428457146;0.857950516906672
"DK01";0.7894818680933;1.9468428457146;0.857950516906672
