"";"lmktm_OC0";"lmktm_OC1";"lmktm_OC2";"lmktm_OC3";"lmktm_OC4";"lmktm_OC5";"lmktm_OC6";"lmktm_OC7";"lmktm_OC8";"lmktm_OC9";"lmktm_ED0-2";"lmktm_ED3_4";"lmktm_ED5-8";"lmktm_Total"
"FR21";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR22";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR23";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR24";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR25";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR26";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR3";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR30";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR4";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR41";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
