"sex";"age";"unit";"geo";"X2014"
"T";"TOTAL";"PCH_PRE";"PL63";NA
"T";"TOTAL";"PCH_PRE";"PT";0.6
"T";"TOTAL";"PCH_PRE";"PT1";0.6
"T";"TOTAL";"PCH_PRE";"PT11";0.7
"T";"TOTAL";"PCH_PRE";"PT15";0.7
"T";"TOTAL";"PCH_PRE";"PT16";0.5
"T";"TOTAL";"PCH_PRE";"PT17";0.7
"T";"TOTAL";"PCH_PRE";"PT18";0.4
"T";"TOTAL";"PCH_PRE";"PT2";0.7
"T";"TOTAL";"PCH_PRE";"PT20";0.7
"T";"TOTAL";"PCH_PRE";"PT3";0.2
"T";"TOTAL";"PCH_PRE";"PT30";0.2
"T";"TOTAL";"PCH_PRE";"RO";2.8
"T";"TOTAL";"PCH_PRE";"SE";2.2
"T";"TOTAL";"PCH_PRE";"SI";3.8
"T";"TOTAL";"PCH_PRE";"SI0";3.8
"T";"TOTAL";"PCH_PRE";"SI03";3.7
"T";"TOTAL";"PCH_PRE";"SI04";3.9
"T";"TOTAL";"PCH_PRE";"SK";2.6
"T";"TOTAL";"PCH_PRE";"SK0";2.6
"T";"TOTAL";"PCH_PRE";"SK01";1.7
"T";"TOTAL";"PCH_PRE";"SK02";2.6
"T";"TOTAL";"PCH_PRE";"SK03";2.7
"T";"TOTAL";"PCH_PRE";"SK04";4
"T";"TOTAL";"PCH_PRE";"UK";NA
"T";"TOTAL";"PCH_PRE";"UKC";NA
"T";"TOTAL";"PCH_PRE";"UKC1";NA
"T";"TOTAL";"PCH_PRE";"UKC2";NA
"T";"TOTAL";"PCH_PRE";"UKD";NA
"T";"TOTAL";"PCH_PRE";"UKD1";NA
"T";"TOTAL";"PCH_PRE";"UKD3";NA
"T";"TOTAL";"PCH_PRE";"UKD4";NA
"T";"TOTAL";"PCH_PRE";"UKD6";NA
"T";"TOTAL";"PCH_PRE";"UKD7";NA
"T";"TOTAL";"PCH_PRE";"UKE";NA
"T";"TOTAL";"PCH_PRE";"UKE1";NA
"T";"TOTAL";"PCH_PRE";"UKE2";NA
"T";"TOTAL";"PCH_PRE";"UKE3";NA
"T";"TOTAL";"PCH_PRE";"UKE4";NA
"T";"TOTAL";"PCH_PRE";"UKF";NA
"T";"TOTAL";"PCH_PRE";"UKF1";NA
"T";"TOTAL";"PCH_PRE";"UKF2";NA
"T";"TOTAL";"PCH_PRE";"UKF3";NA
"T";"TOTAL";"PCH_PRE";"UKG";NA
"T";"TOTAL";"PCH_PRE";"UKG1";NA
"T";"TOTAL";"PCH_PRE";"UKG2";NA
"T";"TOTAL";"PCH_PRE";"UKG3";NA
"T";"TOTAL";"PCH_PRE";"UKH";NA
"T";"TOTAL";"PCH_PRE";"UKH1";NA
"T";"TOTAL";"PCH_PRE";"UKH2";NA
"T";"TOTAL";"PCH_PRE";"UKH3";NA
"T";"TOTAL";"PCH_PRE";"UKI";NA
"T";"TOTAL";"PCH_PRE";"UKI3";NA
"T";"TOTAL";"PCH_PRE";"UKI4";NA
"T";"TOTAL";"PCH_PRE";"UKI5";NA
"T";"TOTAL";"PCH_PRE";"UKI6";NA
"T";"TOTAL";"PCH_PRE";"UKI7";NA
"T";"TOTAL";"PCH_PRE";"UKJ";NA
"T";"TOTAL";"PCH_PRE";"UKJ1";NA
"T";"TOTAL";"PCH_PRE";"UKJ2";NA
"T";"TOTAL";"PCH_PRE";"UKJ3";NA
"T";"TOTAL";"PCH_PRE";"UKJ4";NA
"T";"TOTAL";"PCH_PRE";"UKK";NA
"T";"TOTAL";"PCH_PRE";"UKK1";NA
"T";"TOTAL";"PCH_PRE";"UKK2";NA
"T";"TOTAL";"PCH_PRE";"UKK3";NA
"T";"TOTAL";"PCH_PRE";"UKK4";NA
"T";"TOTAL";"PCH_PRE";"UKL";NA
"T";"TOTAL";"PCH_PRE";"UKL1";NA
"T";"TOTAL";"PCH_PRE";"UKL2";NA
"T";"TOTAL";"PCH_PRE";"UKM";NA
"T";"TOTAL";"PCH_PRE";"UKM2";NA
"T";"TOTAL";"PCH_PRE";"UKM3";NA
"T";"TOTAL";"PCH_PRE";"UKM5";NA
"T";"TOTAL";"PCH_PRE";"UKM6";NA
"T";"TOTAL";"PCH_PRE";"UKN";NA
"T";"TOTAL";"PCH_PRE";"UKN0";NA
