"";"F00";"F01";"F02";"F03";"F04";"F05";"F06";"F07";"F08";"F09";"F10"
"CZ02";NA;10.2817399279648;7.63630805094057;8.1999789817619;24.4518539041377;5.17239732113002;4.2418625980453;13.0446828634483;3.12502985545184;9.93207287596373;4.49981370198049
"CZ03";NA;10.2817399279648;7.63630805094057;8.1999789817619;24.4518539041377;5.17239732113002;4.2418625980453;13.0446828634483;3.12502985545184;9.93207287596373;4.49981370198049
"CZ04";NA;10.2817399279648;7.63630805094057;8.1999789817619;24.4518539041377;5.17239732113002;4.2418625980453;13.0446828634483;3.12502985545184;9.93207287596373;4.49981370198049
"CZ05";NA;10.2817399279648;7.63630805094057;8.1999789817619;24.4518539041377;5.17239732113002;4.2418625980453;13.0446828634483;3.12502985545184;9.93207287596373;4.49981370198049
"CZ06";NA;10.2817399279648;7.63630805094057;8.1999789817619;24.4518539041377;5.17239732113002;4.2418625980453;13.0446828634483;3.12502985545184;9.93207287596373;4.49981370198049
"CZ07";NA;10.2817399279648;7.63630805094057;8.1999789817619;24.4518539041377;5.17239732113002;4.2418625980453;13.0446828634483;3.12502985545184;9.93207287596373;4.49981370198049
"CZ08";NA;10.2817399279648;7.63630805094057;8.1999789817619;24.4518539041377;5.17239732113002;4.2418625980453;13.0446828634483;3.12502985545184;9.93207287596373;4.49981370198049
"DE";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE1";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE11";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE12";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE13";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE14";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE2";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE21";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE22";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE23";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE24";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE25";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE26";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE27";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE3";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE30";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE4";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE40";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE5";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE50";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE6";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE60";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE7";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE71";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE72";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE73";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE8";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE80";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE9";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE91";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE92";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE93";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DE94";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DEA";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DEA1";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DEA2";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DEA3";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DEA4";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DEA5";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DEB";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
