"sex";"age";"unit";"isco08";"isced11";"mgstatus";"geo";"X2014"
"T";"TOTAL";"THS_PER";"OC5";"ED3_4";"IMG";"BE";64.6
"T";"TOTAL";"THS_PER";"OC5";"ED3_4";"TOTAL";"BE";292
"T";"TOTAL";"THS_PER";"OC5";"ED5-8";"IMG";"BE";22.6
"T";"TOTAL";"THS_PER";"OC5";"ED5-8";"TOTAL";"BE";69.1
"T";"TOTAL";"THS_PER";"OC5";"TOTAL";"IMG";"BE";122
"T";"TOTAL";"THS_PER";"OC5";"TOTAL";"TOTAL";"BE";460.1
"T";"TOTAL";"THS_PER";"OC6";"ED0-2";"IMG";"BE";NA
"T";"TOTAL";"THS_PER";"OC6";"ED0-2";"TOTAL";"BE";NA
"T";"TOTAL";"THS_PER";"OC6";"ED3_4";"IMG";"BE";NA
"T";"TOTAL";"THS_PER";"OC6";"ED3_4";"TOTAL";"BE";5.2
"T";"TOTAL";"THS_PER";"OC6";"ED5-8";"IMG";"BE";NA
"T";"TOTAL";"THS_PER";"OC6";"ED5-8";"TOTAL";"BE";NA
"T";"TOTAL";"THS_PER";"OC6";"TOTAL";"IMG";"BE";NA
"T";"TOTAL";"THS_PER";"OC6";"TOTAL";"TOTAL";"BE";8.5
"T";"TOTAL";"THS_PER";"OC7";"ED0-2";"IMG";"BE";33.7
"T";"TOTAL";"THS_PER";"OC7";"ED0-2";"TOTAL";"BE";102.1
"T";"TOTAL";"THS_PER";"OC7";"ED3_4";"IMG";"BE";58.9
"T";"TOTAL";"THS_PER";"OC7";"ED3_4";"TOTAL";"BE";240.9
"T";"TOTAL";"THS_PER";"OC7";"ED5-8";"IMG";"BE";11.4
"T";"TOTAL";"THS_PER";"OC7";"ED5-8";"TOTAL";"BE";30.2
"T";"TOTAL";"THS_PER";"OC7";"TOTAL";"IMG";"BE";104
"T";"TOTAL";"THS_PER";"OC7";"TOTAL";"TOTAL";"BE";373.2
"T";"TOTAL";"THS_PER";"OC8";"ED0-2";"IMG";"BE";29.8
"T";"TOTAL";"THS_PER";"OC8";"ED0-2";"TOTAL";"BE";113.4
"T";"TOTAL";"THS_PER";"OC8";"ED3_4";"IMG";"BE";33.5
"T";"TOTAL";"THS_PER";"OC8";"ED3_4";"TOTAL";"BE";154.1
"T";"TOTAL";"THS_PER";"OC8";"ED5-8";"IMG";"BE";NA
"T";"TOTAL";"THS_PER";"OC8";"ED5-8";"TOTAL";"BE";14.9
"T";"TOTAL";"THS_PER";"OC8";"TOTAL";"IMG";"BE";67.6
"T";"TOTAL";"THS_PER";"OC8";"TOTAL";"TOTAL";"BE";282.4
"T";"TOTAL";"THS_PER";"OC9";"ED0-2";"IMG";"BE";85.5
"T";"TOTAL";"THS_PER";"OC9";"ED0-2";"TOTAL";"BE";204.3
"T";"TOTAL";"THS_PER";"OC9";"ED3_4";"IMG";"BE";65.3
"T";"TOTAL";"THS_PER";"OC9";"ED3_4";"TOTAL";"BE";186.2
"T";"TOTAL";"THS_PER";"OC9";"ED5-8";"IMG";"BE";19.4
"T";"TOTAL";"THS_PER";"OC9";"ED5-8";"TOTAL";"BE";29.4
"T";"TOTAL";"THS_PER";"OC9";"TOTAL";"IMG";"BE";170.2
"T";"TOTAL";"THS_PER";"OC9";"TOTAL";"TOTAL";"BE";419.9
"T";"TOTAL";"THS_PER";"TOTAL";"ED0-2";"IMG";"BE";218.7
"T";"TOTAL";"THS_PER";"TOTAL";"ED0-2";"TOTAL";"BE";660.5
"T";"TOTAL";"THS_PER";"TOTAL";"ED3_4";"IMG";"BE";332.3
"T";"TOTAL";"THS_PER";"TOTAL";"ED3_4";"TOTAL";"BE";1519.4
"T";"TOTAL";"THS_PER";"TOTAL";"ED5-8";"IMG";"BE";343
"T";"TOTAL";"THS_PER";"TOTAL";"ED5-8";"TOTAL";"BE";1677.8
"T";"TOTAL";"THS_PER";"TOTAL";"TOTAL";"IMG";"BE";894.1
"T";"TOTAL";"THS_PER";"TOTAL";"TOTAL";"TOTAL";"BE";3857.8
"T";"TOTAL";"THS_PER";"OC0";"ED0-2";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC0";"ED0-2";"TOTAL";"BG";NA
"T";"TOTAL";"THS_PER";"OC0";"ED3_4";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC0";"ED3_4";"TOTAL";"BG";16
"T";"TOTAL";"THS_PER";"OC0";"ED5-8";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC0";"ED5-8";"TOTAL";"BG";6.9
"T";"TOTAL";"THS_PER";"OC0";"TOTAL";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC0";"TOTAL";"TOTAL";"BG";23.5
"T";"TOTAL";"THS_PER";"OC1";"ED0-2";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC1";"ED0-2";"TOTAL";"BG";NA
"T";"TOTAL";"THS_PER";"OC1";"ED3_4";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC1";"ED3_4";"TOTAL";"BG";22.7
"T";"TOTAL";"THS_PER";"OC1";"ED5-8";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC1";"ED5-8";"TOTAL";"BG";73
"T";"TOTAL";"THS_PER";"OC1";"TOTAL";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC1";"TOTAL";"TOTAL";"BG";95.8
"T";"TOTAL";"THS_PER";"OC2";"ED0-2";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC2";"ED0-2";"TOTAL";"BG";NA
"T";"TOTAL";"THS_PER";"OC2";"ED3_4";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC2";"ED3_4";"TOTAL";"BG";26.7
"T";"TOTAL";"THS_PER";"OC2";"ED5-8";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC2";"ED5-8";"TOTAL";"BG";412.6
"T";"TOTAL";"THS_PER";"OC2";"TOTAL";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC2";"TOTAL";"TOTAL";"BG";439.4
"T";"TOTAL";"THS_PER";"OC3";"ED0-2";"IMG";"BG";NA
