"sex";"age";"unit";"isco08";"isced11";"mgstatus";"geo";"X2014"
"T";"TOTAL";"THS_PER";"OC3";"ED5-8";"TOTAL";"EL";132.1
"T";"TOTAL";"THS_PER";"OC3";"TOTAL";"IMG";"EL";11.8
"T";"TOTAL";"THS_PER";"OC3";"TOTAL";"TOTAL";"EL";237.8
"T";"TOTAL";"THS_PER";"OC4";"ED0-2";"IMG";"EL";NA
"T";"TOTAL";"THS_PER";"OC4";"ED0-2";"TOTAL";"EL";17.9
"T";"TOTAL";"THS_PER";"OC4";"ED3_4";"IMG";"EL";7.3
"T";"TOTAL";"THS_PER";"OC4";"ED3_4";"TOTAL";"EL";201.4
"T";"TOTAL";"THS_PER";"OC4";"ED5-8";"IMG";"EL";3.6
"T";"TOTAL";"THS_PER";"OC4";"ED5-8";"TOTAL";"EL";97.4
"T";"TOTAL";"THS_PER";"OC4";"TOTAL";"IMG";"EL";12.2
"T";"TOTAL";"THS_PER";"OC4";"TOTAL";"TOTAL";"EL";316.8
"T";"TOTAL";"THS_PER";"OC5";"ED0-2";"IMG";"EL";23.5
"T";"TOTAL";"THS_PER";"OC5";"ED0-2";"TOTAL";"EL";97
"T";"TOTAL";"THS_PER";"OC5";"ED3_4";"IMG";"EL";36.8
"T";"TOTAL";"THS_PER";"OC5";"ED3_4";"TOTAL";"EL";309.7
"T";"TOTAL";"THS_PER";"OC5";"ED5-8";"IMG";"EL";8.2
"T";"TOTAL";"THS_PER";"OC5";"ED5-8";"TOTAL";"EL";101
"T";"TOTAL";"THS_PER";"OC5";"TOTAL";"IMG";"EL";68.5
"T";"TOTAL";"THS_PER";"OC5";"TOTAL";"TOTAL";"EL";507.7
"T";"TOTAL";"THS_PER";"OC6";"ED0-2";"IMG";"EL";6.6
"T";"TOTAL";"THS_PER";"OC6";"ED0-2";"TOTAL";"EL";11
"T";"TOTAL";"THS_PER";"OC6";"ED3_4";"IMG";"EL";1.5
"T";"TOTAL";"THS_PER";"OC6";"ED3_4";"TOTAL";"EL";4.3
"T";"TOTAL";"THS_PER";"OC6";"ED5-8";"IMG";"EL";NA
"T";"TOTAL";"THS_PER";"OC6";"ED5-8";"TOTAL";"EL";NA
"T";"TOTAL";"THS_PER";"OC6";"TOTAL";"IMG";"EL";8.4
"T";"TOTAL";"THS_PER";"OC6";"TOTAL";"TOTAL";"EL";15.7
"T";"TOTAL";"THS_PER";"OC7";"ED0-2";"IMG";"EL";36
"T";"TOTAL";"THS_PER";"OC7";"ED0-2";"TOTAL";"EL";97.9
"T";"TOTAL";"THS_PER";"OC7";"ED3_4";"IMG";"EL";20.4
"T";"TOTAL";"THS_PER";"OC7";"ED3_4";"TOTAL";"EL";94.8
"T";"TOTAL";"THS_PER";"OC7";"ED5-8";"IMG";"EL";3.6
"T";"TOTAL";"THS_PER";"OC7";"ED5-8";"TOTAL";"EL";18.8
"T";"TOTAL";"THS_PER";"OC7";"TOTAL";"IMG";"EL";59.9
"T";"TOTAL";"THS_PER";"OC7";"TOTAL";"TOTAL";"EL";211.5
"T";"TOTAL";"THS_PER";"OC8";"ED0-2";"IMG";"EL";8.5
"T";"TOTAL";"THS_PER";"OC8";"ED0-2";"TOTAL";"EL";69.2
"T";"TOTAL";"THS_PER";"OC8";"ED3_4";"IMG";"EL";9.9
"T";"TOTAL";"THS_PER";"OC8";"ED3_4";"TOTAL";"EL";88
"T";"TOTAL";"THS_PER";"OC8";"ED5-8";"IMG";"EL";NA
"T";"TOTAL";"THS_PER";"OC8";"ED5-8";"TOTAL";"EL";9.6
"T";"TOTAL";"THS_PER";"OC8";"TOTAL";"IMG";"EL";19.2
"T";"TOTAL";"THS_PER";"OC8";"TOTAL";"TOTAL";"EL";166.8
"T";"TOTAL";"THS_PER";"OC9";"ED0-2";"IMG";"EL";58.3
"T";"TOTAL";"THS_PER";"OC9";"ED0-2";"TOTAL";"EL";126.5
"T";"TOTAL";"THS_PER";"OC9";"ED3_4";"IMG";"EL";39.8
"T";"TOTAL";"THS_PER";"OC9";"ED3_4";"TOTAL";"EL";93.6
"T";"TOTAL";"THS_PER";"OC9";"ED5-8";"IMG";"EL";7.6
"T";"TOTAL";"THS_PER";"OC9";"ED5-8";"TOTAL";"EL";12.1
"T";"TOTAL";"THS_PER";"OC9";"TOTAL";"IMG";"EL";105.8
"T";"TOTAL";"THS_PER";"OC9";"TOTAL";"TOTAL";"EL";232.2
"T";"TOTAL";"THS_PER";"TOTAL";"ED0-2";"IMG";"EL";134.6
"T";"TOTAL";"THS_PER";"TOTAL";"ED0-2";"TOTAL";"EL";431
"T";"TOTAL";"THS_PER";"TOTAL";"ED3_4";"IMG";"EL";124.7
"T";"TOTAL";"THS_PER";"TOTAL";"ED3_4";"TOTAL";"EL";952.2
"T";"TOTAL";"THS_PER";"TOTAL";"ED5-8";"IMG";"EL";43.2
"T";"TOTAL";"THS_PER";"TOTAL";"ED5-8";"TOTAL";"EL";891.2
"T";"TOTAL";"THS_PER";"TOTAL";"TOTAL";"IMG";"EL";302.5
"T";"TOTAL";"THS_PER";"TOTAL";"TOTAL";"TOTAL";"EL";2274.4
"T";"TOTAL";"THS_PER";"OC0";"ED0-2";"IMG";"ES";NA
"T";"TOTAL";"THS_PER";"OC0";"ED0-2";"TOTAL";"ES";14.7
"T";"TOTAL";"THS_PER";"OC0";"ED3_4";"IMG";"ES";2.1
"T";"TOTAL";"THS_PER";"OC0";"ED3_4";"TOTAL";"ES";30.9
"T";"TOTAL";"THS_PER";"OC0";"ED5-8";"IMG";"ES";NA
"T";"TOTAL";"THS_PER";"OC0";"ED5-8";"TOTAL";"ES";32.2
"T";"TOTAL";"THS_PER";"OC0";"TOTAL";"IMG";"ES";4.7
"T";"TOTAL";"THS_PER";"OC0";"TOTAL";"TOTAL";"ES";77.8
"T";"TOTAL";"THS_PER";"OC1";"ED0-2";"IMG";"ES";NA
"T";"TOTAL";"THS_PER";"OC1";"ED0-2";"TOTAL";"ES";21.4
"T";"TOTAL";"THS_PER";"OC1";"ED3_4";"IMG";"ES";NA
"T";"TOTAL";"THS_PER";"OC1";"ED3_4";"TOTAL";"ES";48.7
"T";"TOTAL";"THS_PER";"OC1";"ED5-8";"IMG";"ES";32.5
"T";"TOTAL";"THS_PER";"OC1";"ED5-8";"TOTAL";"ES";335.4
"T";"TOTAL";"THS_PER";"OC1";"TOTAL";"IMG";"ES";35
"T";"TOTAL";"THS_PER";"OC1";"TOTAL";"TOTAL";"ES";405.5
"T";"TOTAL";"THS_PER";"OC2";"ED0-2";"IMG";"ES";NA
"T";"TOTAL";"THS_PER";"OC2";"ED0-2";"TOTAL";"ES";6.4
"T";"TOTAL";"THS_PER";"OC2";"ED3_4";"IMG";"ES";5.3
"T";"TOTAL";"THS_PER";"OC2";"ED3_4";"TOTAL";"ES";36.8
"T";"TOTAL";"THS_PER";"OC2";"ED5-8";"IMG";"ES";228.2
"T";"TOTAL";"THS_PER";"OC2";"ED5-8";"TOTAL";"ES";2597.4
"T";"TOTAL";"THS_PER";"OC2";"TOTAL";"IMG";"ES";234.1
"T";"TOTAL";"THS_PER";"OC2";"TOTAL";"TOTAL";"ES";2640.7
"T";"TOTAL";"THS_PER";"OC3";"ED0-2";"IMG";"ES";3.7
"T";"TOTAL";"THS_PER";"OC3";"ED0-2";"TOTAL";"ES";167.9
"T";"TOTAL";"THS_PER";"OC3";"ED3_4";"IMG";"ES";28.8
"T";"TOTAL";"THS_PER";"OC3";"ED3_4";"TOTAL";"ES";459.1
"T";"TOTAL";"THS_PER";"OC3";"ED5-8";"IMG";"ES";62.4
"T";"TOTAL";"THS_PER";"OC3";"ED5-8";"TOTAL";"ES";1055
"T";"TOTAL";"THS_PER";"OC3";"TOTAL";"IMG";"ES";94.9
"T";"TOTAL";"THS_PER";"OC3";"TOTAL";"TOTAL";"ES";1681.9
"T";"TOTAL";"THS_PER";"OC4";"ED0-2";"IMG";"ES";8.2
"T";"TOTAL";"THS_PER";"OC4";"ED0-2";"TOTAL";"ES";258
"T";"TOTAL";"THS_PER";"OC4";"ED3_4";"IMG";"ES";53.4
"T";"TOTAL";"THS_PER";"OC4";"ED3_4";"TOTAL";"ES";521.4
"T";"TOTAL";"THS_PER";"OC4";"ED5-8";"IMG";"ES";63.1
"T";"TOTAL";"THS_PER";"OC4";"ED5-8";"TOTAL";"ES";884
"T";"TOTAL";"THS_PER";"OC4";"TOTAL";"IMG";"ES";124.8
"T";"TOTAL";"THS_PER";"OC4";"TOTAL";"TOTAL";"ES";1663.5
"T";"TOTAL";"THS_PER";"OC5";"ED0-2";"IMG";"ES";193.8
"T";"TOTAL";"THS_PER";"OC5";"ED0-2";"TOTAL";"ES";1153.4
"T";"TOTAL";"THS_PER";"OC5";"ED3_4";"IMG";"ES";226.7
"T";"TOTAL";"THS_PER";"OC5";"ED3_4";"TOTAL";"ES";1052.5
"T";"TOTAL";"THS_PER";"OC5";"ED5-8";"IMG";"ES";121.9
"T";"TOTAL";"THS_PER";"OC5";"ED5-8";"TOTAL";"ES";676.4
"T";"TOTAL";"THS_PER";"OC5";"TOTAL";"IMG";"ES";542.3
"T";"TOTAL";"THS_PER";"OC5";"TOTAL";"TOTAL";"ES";2882.3
"T";"TOTAL";"THS_PER";"OC6";"ED0-2";"IMG";"ES";30.8
"T";"TOTAL";"THS_PER";"OC6";"ED0-2";"TOTAL";"ES";109.6
"T";"TOTAL";"THS_PER";"OC6";"ED3_4";"IMG";"ES";10.8
"T";"TOTAL";"THS_PER";"OC6";"ED3_4";"TOTAL";"ES";28.1
"T";"TOTAL";"THS_PER";"OC6";"ED5-8";"IMG";"ES";NA
"T";"TOTAL";"THS_PER";"OC6";"ED5-8";"TOTAL";"ES";9.9
"T";"TOTAL";"THS_PER";"OC6";"TOTAL";"IMG";"ES";42.6
"T";"TOTAL";"THS_PER";"OC6";"TOTAL";"TOTAL";"ES";147.6
"T";"TOTAL";"THS_PER";"OC7";"ED0-2";"IMG";"ES";89.3
"T";"TOTAL";"THS_PER";"OC7";"ED0-2";"TOTAL";"ES";722.8
"T";"TOTAL";"THS_PER";"OC7";"ED3_4";"IMG";"ES";94.9
"T";"TOTAL";"THS_PER";"OC7";"ED3_4";"TOTAL";"ES";367.2
"T";"TOTAL";"THS_PER";"OC7";"ED5-8";"IMG";"ES";51.9
"T";"TOTAL";"THS_PER";"OC7";"ED5-8";"TOTAL";"ES";314.6
"T";"TOTAL";"THS_PER";"OC7";"TOTAL";"IMG";"ES";236.1
"T";"TOTAL";"THS_PER";"OC7";"TOTAL";"TOTAL";"ES";1404.6
"T";"TOTAL";"THS_PER";"OC8";"ED0-2";"IMG";"ES";61.1
"T";"TOTAL";"THS_PER";"OC8";"ED0-2";"TOTAL";"ES";678.1
"T";"TOTAL";"THS_PER";"OC8";"ED3_4";"IMG";"ES";54.8
"T";"TOTAL";"THS_PER";"OC8";"ED3_4";"TOTAL";"ES";278.3
"T";"TOTAL";"THS_PER";"OC8";"ED5-8";"IMG";"ES";32.8
"T";"TOTAL";"THS_PER";"OC8";"ED5-8";"TOTAL";"ES";164.4
"T";"TOTAL";"THS_PER";"OC8";"TOTAL";"IMG";"ES";148.7
"T";"TOTAL";"THS_PER";"OC8";"TOTAL";"TOTAL";"ES";1120.8
"T";"TOTAL";"THS_PER";"OC9";"ED0-2";"IMG";"ES";421.9
"T";"TOTAL";"THS_PER";"OC9";"ED0-2";"TOTAL";"ES";1410
"T";"TOTAL";"THS_PER";"OC9";"ED3_4";"IMG";"ES";296.2
"T";"TOTAL";"THS_PER";"OC9";"ED3_4";"TOTAL";"ES";516
"T";"TOTAL";"THS_PER";"OC9";"ED5-8";"IMG";"ES";107.3
"T";"TOTAL";"THS_PER";"OC9";"ED5-8";"TOTAL";"ES";222.2
"T";"TOTAL";"THS_PER";"OC9";"TOTAL";"IMG";"ES";825.4
"T";"TOTAL";"THS_PER";"OC9";"TOTAL";"TOTAL";"ES";2148.2
"T";"TOTAL";"THS_PER";"TOTAL";"ED0-2";"IMG";"ES";811.1
"T";"TOTAL";"THS_PER";"TOTAL";"ED0-2";"TOTAL";"ES";4542.3
"T";"TOTAL";"THS_PER";"TOTAL";"ED3_4";"IMG";"ES";775
"T";"TOTAL";"THS_PER";"TOTAL";"ED3_4";"TOTAL";"ES";3338.9
"T";"TOTAL";"THS_PER";"TOTAL";"ED5-8";"IMG";"ES";702.5
"T";"TOTAL";"THS_PER";"TOTAL";"ED5-8";"TOTAL";"ES";6291.6
"T";"TOTAL";"THS_PER";"TOTAL";"TOTAL";"IMG";"ES";2288.7
"T";"TOTAL";"THS_PER";"TOTAL";"TOTAL";"TOTAL";"ES";14172.8
"T";"TOTAL";"THS_PER";"OC0";"ED0-2";"IMG";"FI";NA
"T";"TOTAL";"THS_PER";"OC0";"ED0-2";"TOTAL";"FI";NA
"T";"TOTAL";"THS_PER";"OC0";"ED3_4";"IMG";"FI";NA
"T";"TOTAL";"THS_PER";"OC0";"ED3_4";"TOTAL";"FI";2.5
"T";"TOTAL";"THS_PER";"OC0";"ED5-8";"IMG";"FI";NA
"T";"TOTAL";"THS_PER";"OC0";"ED5-8";"TOTAL";"FI";4.6
"T";"TOTAL";"THS_PER";"OC0";"TOTAL";"IMG";"FI";NA
"T";"TOTAL";"THS_PER";"OC0";"TOTAL";"TOTAL";"FI";7.1
"T";"TOTAL";"THS_PER";"OC1";"ED0-2";"IMG";"FI";NA
"T";"TOTAL";"THS_PER";"OC1";"ED0-2";"TOTAL";"FI";NA
"T";"TOTAL";"THS_PER";"OC1";"ED3_4";"IMG";"FI";NA
"T";"TOTAL";"THS_PER";"OC1";"ED3_4";"TOTAL";"FI";4.1
"T";"TOTAL";"THS_PER";"OC1";"ED5-8";"IMG";"FI";2.4
"T";"TOTAL";"THS_PER";"OC1";"ED5-8";"TOTAL";"FI";44.5
"T";"TOTAL";"THS_PER";"OC1";"TOTAL";"IMG";"FI";2.8
"T";"TOTAL";"THS_PER";"OC1";"TOTAL";"TOTAL";"FI";50.1
"T";"TOTAL";"THS_PER";"OC2";"ED0-2";"IMG";"FI";NA
"T";"TOTAL";"THS_PER";"OC2";"ED0-2";"TOTAL";"FI";9.2
"T";"TOTAL";"THS_PER";"OC2";"ED3_4";"IMG";"FI";8
"T";"TOTAL";"THS_PER";"OC2";"ED3_4";"TOTAL";"FI";75
"T";"TOTAL";"THS_PER";"OC2";"ED5-8";"IMG";"FI";22.3
"T";"TOTAL";"THS_PER";"OC2";"ED5-8";"TOTAL";"FI";439.7
"T";"TOTAL";"THS_PER";"OC2";"TOTAL";"IMG";"FI";31.1
"T";"TOTAL";"THS_PER";"OC2";"TOTAL";"TOTAL";"FI";523.9
"T";"TOTAL";"THS_PER";"OC3";"ED0-2";"IMG";"FI";2
"T";"TOTAL";"THS_PER";"OC3";"ED0-2";"TOTAL";"FI";26.3
"T";"TOTAL";"THS_PER";"OC3";"ED3_4";"IMG";"FI";7.7
"T";"TOTAL";"THS_PER";"OC3";"ED3_4";"TOTAL";"FI";126.3
"T";"TOTAL";"THS_PER";"OC3";"ED5-8";"IMG";"FI";10.3
"T";"TOTAL";"THS_PER";"OC3";"ED5-8";"TOTAL";"FI";267.5
"T";"TOTAL";"THS_PER";"OC3";"TOTAL";"IMG";"FI";20
"T";"TOTAL";"THS_PER";"OC3";"TOTAL";"TOTAL";"FI";420.1
"T";"TOTAL";"THS_PER";"OC4";"ED0-2";"IMG";"FI";NA
"T";"TOTAL";"THS_PER";"OC4";"ED0-2";"TOTAL";"FI";13.2
"T";"TOTAL";"THS_PER";"OC4";"ED3_4";"IMG";"FI";2.5
"T";"TOTAL";"THS_PER";"OC4";"ED3_4";"TOTAL";"FI";67.2
"T";"TOTAL";"THS_PER";"OC4";"ED5-8";"IMG";"FI";3.3
"T";"TOTAL";"THS_PER";"OC4";"ED5-8";"TOTAL";"FI";68.4
"T";"TOTAL";"THS_PER";"OC4";"TOTAL";"IMG";"FI";6
"T";"TOTAL";"THS_PER";"OC4";"TOTAL";"TOTAL";"FI";148.7
"T";"TOTAL";"THS_PER";"OC5";"ED0-2";"IMG";"FI";7.2
"T";"TOTAL";"THS_PER";"OC5";"ED0-2";"TOTAL";"FI";60.7
"T";"TOTAL";"THS_PER";"OC5";"ED3_4";"IMG";"FI";23.5
"T";"TOTAL";"THS_PER";"OC5";"ED3_4";"TOTAL";"FI";301.7
"T";"TOTAL";"THS_PER";"OC5";"ED5-8";"IMG";"FI";3.5
"T";"TOTAL";"THS_PER";"OC5";"ED5-8";"TOTAL";"FI";53.9
"T";"TOTAL";"THS_PER";"OC5";"TOTAL";"IMG";"FI";34.3
"T";"TOTAL";"THS_PER";"OC5";"TOTAL";"TOTAL";"FI";416.3
"T";"TOTAL";"THS_PER";"OC6";"ED0-2";"IMG";"FI";NA
"T";"TOTAL";"THS_PER";"OC6";"ED0-2";"TOTAL";"FI";6.5
"T";"TOTAL";"THS_PER";"OC6";"ED3_4";"IMG";"FI";NA
"T";"TOTAL";"THS_PER";"OC6";"ED3_4";"TOTAL";"FI";15
"T";"TOTAL";"THS_PER";"OC6";"ED5-8";"IMG";"FI";NA
"T";"TOTAL";"THS_PER";"OC6";"ED5-8";"TOTAL";"FI";NA
"T";"TOTAL";"THS_PER";"OC6";"TOTAL";"IMG";"FI";2.5
"T";"TOTAL";"THS_PER";"OC6";"TOTAL";"TOTAL";"FI";23.5
"T";"TOTAL";"THS_PER";"OC7";"ED0-2";"IMG";"FI";4.4
"T";"TOTAL";"THS_PER";"OC7";"ED0-2";"TOTAL";"FI";37.9
"T";"TOTAL";"THS_PER";"OC7";"ED3_4";"IMG";"FI";6.3
"T";"TOTAL";"THS_PER";"OC7";"ED3_4";"TOTAL";"FI";168.3
"T";"TOTAL";"THS_PER";"OC7";"ED5-8";"IMG";"FI";NA
"T";"TOTAL";"THS_PER";"OC7";"ED5-8";"TOTAL";"FI";10
"T";"TOTAL";"THS_PER";"OC7";"TOTAL";"IMG";"FI";12.4
"T";"TOTAL";"THS_PER";"OC7";"TOTAL";"TOTAL";"FI";216.2
"T";"TOTAL";"THS_PER";"OC8";"ED0-2";"IMG";"FI";3.9
"T";"TOTAL";"THS_PER";"OC8";"ED0-2";"TOTAL";"FI";33.1
"T";"TOTAL";"THS_PER";"OC8";"ED3_4";"IMG";"FI";4.6
"T";"TOTAL";"THS_PER";"OC8";"ED3_4";"TOTAL";"FI";112.5
"T";"TOTAL";"THS_PER";"OC8";"ED5-8";"IMG";"FI";NA
"T";"TOTAL";"THS_PER";"OC8";"ED5-8";"TOTAL";"FI";9.6
"T";"TOTAL";"THS_PER";"OC8";"TOTAL";"IMG";"FI";9.2
"T";"TOTAL";"THS_PER";"OC8";"TOTAL";"TOTAL";"FI";155.1
"T";"TOTAL";"THS_PER";"OC9";"ED0-2";"IMG";"FI";8.2
"T";"TOTAL";"THS_PER";"OC9";"ED0-2";"TOTAL";"FI";33.5
"T";"TOTAL";"THS_PER";"OC9";"ED3_4";"IMG";"FI";10.4
"T";"TOTAL";"THS_PER";"OC9";"ED3_4";"TOTAL";"FI";94.4
"T";"TOTAL";"THS_PER";"OC9";"ED5-8";"IMG";"FI";3.9
"T";"TOTAL";"THS_PER";"OC9";"ED5-8";"TOTAL";"FI";11.8
"T";"TOTAL";"THS_PER";"OC9";"TOTAL";"IMG";"FI";22.4
"T";"TOTAL";"THS_PER";"OC9";"TOTAL";"TOTAL";"FI";139.7
"T";"TOTAL";"THS_PER";"TOTAL";"ED0-2";"IMG";"FI";27.4
"T";"TOTAL";"THS_PER";"TOTAL";"ED0-2";"TOTAL";"FI";221.9
"T";"TOTAL";"THS_PER";"TOTAL";"ED3_4";"IMG";"FI";65.3
"T";"TOTAL";"THS_PER";"TOTAL";"ED3_4";"TOTAL";"FI";968.4
"T";"TOTAL";"THS_PER";"TOTAL";"ED5-8";"IMG";"FI";48.3
"T";"TOTAL";"THS_PER";"TOTAL";"ED5-8";"TOTAL";"FI";912.8
"T";"TOTAL";"THS_PER";"TOTAL";"TOTAL";"IMG";"FI";141.1
"T";"TOTAL";"THS_PER";"TOTAL";"TOTAL";"TOTAL";"FI";2103.1
"T";"TOTAL";"THS_PER";"OC0";"ED0-2";"IMG";"FR";NA
"T";"TOTAL";"THS_PER";"OC0";"ED0-2";"TOTAL";"FR";NA
"T";"TOTAL";"THS_PER";"OC0";"ED3_4";"IMG";"FR";NA
"T";"TOTAL";"THS_PER";"OC0";"ED3_4";"TOTAL";"FR";NA
"T";"TOTAL";"THS_PER";"OC0";"ED5-8";"IMG";"FR";NA
"T";"TOTAL";"THS_PER";"OC0";"ED5-8";"TOTAL";"FR";74.9
"T";"TOTAL";"THS_PER";"OC0";"TOTAL";"IMG";"FR";NA
"T";"TOTAL";"THS_PER";"OC0";"TOTAL";"TOTAL";"FR";132.2
"T";"TOTAL";"THS_PER";"OC1";"ED0-2";"IMG";"FR";NA
"T";"TOTAL";"THS_PER";"OC1";"ED0-2";"TOTAL";"FR";51.8
"T";"TOTAL";"THS_PER";"OC1";"ED3_4";"IMG";"FR";50.1
"T";"TOTAL";"THS_PER";"OC1";"ED3_4";"TOTAL";"FR";239.8
"T";"TOTAL";"THS_PER";"OC1";"ED5-8";"IMG";"FR";289.2
"T";"TOTAL";"THS_PER";"OC1";"ED5-8";"TOTAL";"FR";986.3
"T";"TOTAL";"THS_PER";"OC1";"TOTAL";"IMG";"FR";357.4
"T";"TOTAL";"THS_PER";"OC1";"TOTAL";"TOTAL";"FR";1287.6
"T";"TOTAL";"THS_PER";"OC2";"ED0-2";"IMG";"FR";NA
"T";"TOTAL";"THS_PER";"OC2";"ED0-2";"TOTAL";"FR";74
"T";"TOTAL";"THS_PER";"OC2";"ED3_4";"IMG";"FR";110.5
"T";"TOTAL";"THS_PER";"OC2";"ED3_4";"TOTAL";"FR";461
"T";"TOTAL";"THS_PER";"OC2";"ED5-8";"IMG";"FR";883.4
"T";"TOTAL";"THS_PER";"OC2";"ED5-8";"TOTAL";"FR";3159.3
"T";"TOTAL";"THS_PER";"OC2";"TOTAL";"IMG";"FR";1015.9
"T";"TOTAL";"THS_PER";"OC2";"TOTAL";"TOTAL";"FR";3710
"T";"TOTAL";"THS_PER";"OC3";"ED0-2";"IMG";"FR";149.9
"T";"TOTAL";"THS_PER";"OC3";"ED0-2";"TOTAL";"FR";456.7
"T";"TOTAL";"THS_PER";"OC3";"ED3_4";"IMG";"FR";495.3
"T";"TOTAL";"THS_PER";"OC3";"ED3_4";"TOTAL";"FR";2035.7
"T";"TOTAL";"THS_PER";"OC3";"ED5-8";"IMG";"FR";490.8
"T";"TOTAL";"THS_PER";"OC3";"ED5-8";"TOTAL";"FR";2507.7
"T";"TOTAL";"THS_PER";"OC3";"TOTAL";"IMG";"FR";1140.4
"T";"TOTAL";"THS_PER";"OC3";"TOTAL";"TOTAL";"FR";5008.7
"T";"TOTAL";"THS_PER";"OC4";"ED0-2";"IMG";"FR";80
"T";"TOTAL";"THS_PER";"OC4";"ED0-2";"TOTAL";"FR";260.1
"T";"TOTAL";"THS_PER";"OC4";"ED3_4";"IMG";"FR";243.3
"T";"TOTAL";"THS_PER";"OC4";"ED3_4";"TOTAL";"FR";1132.8
"T";"TOTAL";"THS_PER";"OC4";"ED5-8";"IMG";"FR";202.6
"T";"TOTAL";"THS_PER";"OC4";"ED5-8";"TOTAL";"FR";804.7
"T";"TOTAL";"THS_PER";"OC4";"TOTAL";"IMG";"FR";526
"T";"TOTAL";"THS_PER";"OC4";"TOTAL";"TOTAL";"FR";2202.5
"T";"TOTAL";"THS_PER";"OC5";"ED0-2";"IMG";"FR";277.7
"T";"TOTAL";"THS_PER";"OC5";"ED0-2";"TOTAL";"FR";738.7
"T";"TOTAL";"THS_PER";"OC5";"ED3_4";"IMG";"FR";528
"T";"TOTAL";"THS_PER";"OC5";"ED3_4";"TOTAL";"FR";2393.3
"T";"TOTAL";"THS_PER";"OC5";"ED5-8";"IMG";"FR";220.6
"T";"TOTAL";"THS_PER";"OC5";"ED5-8";"TOTAL";"FR";590.1
"T";"TOTAL";"THS_PER";"OC5";"TOTAL";"IMG";"FR";1034.3
"T";"TOTAL";"THS_PER";"OC5";"TOTAL";"TOTAL";"FR";3733.3
"T";"TOTAL";"THS_PER";"OC6";"ED0-2";"IMG";"FR";NA
"T";"TOTAL";"THS_PER";"OC6";"ED0-2";"TOTAL";"FR";103.4
"T";"TOTAL";"THS_PER";"OC6";"ED3_4";"IMG";"FR";NA
"T";"TOTAL";"THS_PER";"OC6";"ED3_4";"TOTAL";"FR";181.2
"T";"TOTAL";"THS_PER";"OC6";"ED5-8";"IMG";"FR";NA
"T";"TOTAL";"THS_PER";"OC6";"ED5-8";"TOTAL";"FR";NA
"T";"TOTAL";"THS_PER";"OC6";"TOTAL";"IMG";"FR";NA
"T";"TOTAL";"THS_PER";"OC6";"TOTAL";"TOTAL";"FR";318.2
"T";"TOTAL";"THS_PER";"OC7";"ED0-2";"IMG";"FR";143.9
"T";"TOTAL";"THS_PER";"OC7";"ED0-2";"TOTAL";"FR";480.4
"T";"TOTAL";"THS_PER";"OC7";"ED3_4";"IMG";"FR";197.8
"T";"TOTAL";"THS_PER";"OC7";"ED3_4";"TOTAL";"FR";1199.1
"T";"TOTAL";"THS_PER";"OC7";"ED5-8";"IMG";"FR";NA
"T";"TOTAL";"THS_PER";"OC7";"ED5-8";"TOTAL";"FR";120.1
"T";"TOTAL";"THS_PER";"OC7";"TOTAL";"IMG";"FR";380.2
"T";"TOTAL";"THS_PER";"OC7";"TOTAL";"TOTAL";"FR";1804.4
"T";"TOTAL";"THS_PER";"OC8";"ED0-2";"IMG";"FR";137.3
"T";"TOTAL";"THS_PER";"OC8";"ED0-2";"TOTAL";"FR";570.3
"T";"TOTAL";"THS_PER";"OC8";"ED3_4";"IMG";"FR";231.2
"T";"TOTAL";"THS_PER";"OC8";"ED3_4";"TOTAL";"FR";1069.7
"T";"TOTAL";"THS_PER";"OC8";"ED5-8";"IMG";"FR";NA
"T";"TOTAL";"THS_PER";"OC8";"ED5-8";"TOTAL";"FR";81.3
"T";"TOTAL";"THS_PER";"OC8";"TOTAL";"IMG";"FR";405.6
"T";"TOTAL";"THS_PER";"OC8";"TOTAL";"TOTAL";"FR";1721.4
"T";"TOTAL";"THS_PER";"OC9";"ED0-2";"IMG";"FR";347.6
"T";"TOTAL";"THS_PER";"OC9";"ED0-2";"TOTAL";"FR";1074.2
"T";"TOTAL";"THS_PER";"OC9";"ED3_4";"IMG";"FR";298.2
"T";"TOTAL";"THS_PER";"OC9";"ED3_4";"TOTAL";"FR";1469.5
"T";"TOTAL";"THS_PER";"OC9";"ED5-8";"IMG";"FR";61.2
"T";"TOTAL";"THS_PER";"OC9";"ED5-8";"TOTAL";"FR";132.7
"T";"TOTAL";"THS_PER";"OC9";"TOTAL";"IMG";"FR";707
"T";"TOTAL";"THS_PER";"OC9";"TOTAL";"TOTAL";"FR";2676.5
"T";"TOTAL";"THS_PER";"TOTAL";"ED0-2";"IMG";"FR";1187.6
"T";"TOTAL";"THS_PER";"TOTAL";"ED0-2";"TOTAL";"FR";3827.3
"T";"TOTAL";"THS_PER";"TOTAL";"ED3_4";"IMG";"FR";2195.1
"T";"TOTAL";"THS_PER";"TOTAL";"ED3_4";"TOTAL";"FR";10251.6
"T";"TOTAL";"THS_PER";"TOTAL";"ED5-8";"IMG";"FR";2246.7
"T";"TOTAL";"THS_PER";"TOTAL";"ED5-8";"TOTAL";"FR";8524.2
"T";"TOTAL";"THS_PER";"TOTAL";"TOTAL";"IMG";"FR";5677.7
"T";"TOTAL";"THS_PER";"TOTAL";"TOTAL";"TOTAL";"FR";22761
"T";"TOTAL";"THS_PER";"OC0";"ED0-2";"IMG";"HR";NA
