"unit";"sex";"age";"geo";"X2015"
"NR";"F";"Y15-24";"BE";651219
"NR";"F";"Y25-64";"BE";2975523
"NR";"F";"Y65-74";"BE";535884
"NR";"F";"YGE75";"BE";617120
"NR";"M";"TOTAL";"BE";5524068
"NR";"M";"Y0-14";"BE";977286
"NR";"M";"Y15-24";"BE";672737
"NR";"M";"Y25-64";"BE";2996105
"NR";"M";"Y65-74";"BE";486445
"NR";"M";"YGE75";"BE";391495
"NR";"T";"TOTAL";"BE";11237274
"NR";"T";"Y0-14";"BE";1910746
"NR";"T";"Y15-24";"BE";1323956
"NR";"T";"Y25-64";"BE";5971628
"NR";"T";"Y65-74";"BE";1022329
"NR";"T";"YGE75";"BE";1008615
"NR";"F";"TOTAL";"BE1";605416
"NR";"F";"Y0-14";"BE1";114185
"NR";"F";"Y15-24";"BE1";71121
"NR";"F";"Y25-64";"BE1";326735
"NR";"F";"Y65-74";"BE1";42189
"NR";"F";"YGE75";"BE1";51186
"NR";"M";"TOTAL";"BE1";578685
"NR";"M";"Y0-14";"BE1";119436
"NR";"M";"Y15-24";"BE1";70030
"NR";"M";"Y25-64";"BE1";327163
"NR";"M";"Y65-74";"BE1";33885
"NR";"M";"YGE75";"BE1";28171
"NR";"T";"TOTAL";"BE1";1184101
"NR";"T";"Y0-14";"BE1";233621
"NR";"T";"Y15-24";"BE1";141151
"NR";"T";"Y25-64";"BE1";653898
"NR";"T";"Y65-74";"BE1";76074
"NR";"T";"YGE75";"BE1";79357
"NR";"F";"TOTAL";"BE10";605416
"NR";"F";"Y0-14";"BE10";114185
"NR";"F";"Y15-24";"BE10";71121
"NR";"F";"Y25-64";"BE10";326735
"NR";"F";"Y65-74";"BE10";42189
"NR";"F";"YGE75";"BE10";51186
"NR";"M";"TOTAL";"BE10";578685
"NR";"M";"Y0-14";"BE10";119436
"NR";"M";"Y15-24";"BE10";70030
"NR";"M";"Y25-64";"BE10";327163
"NR";"M";"Y65-74";"BE10";33885
"NR";"M";"YGE75";"BE10";28171
"NR";"T";"TOTAL";"BE10";1184101
"NR";"T";"Y0-14";"BE10";233621
"NR";"T";"Y15-24";"BE10";141151
"NR";"T";"Y25-64";"BE10";653898
"NR";"T";"Y65-74";"BE10";76074
