"unit";"nace_r2";"isco08";"age";"sex";"geo";"X2014"
"INDIC";"B-F";"OC3";"TOTAL";"M";"UK";16.63
"INDIC";"B-F";"OC3";"TOTAL";"T";"AT";19.63
"INDIC";"B-F";"OC3";"TOTAL";"T";"BE";19.57
"INDIC";"B-F";"OC3";"TOTAL";"T";"BG";6.3
"INDIC";"B-F";"OC3";"TOTAL";"T";"CY";13.38
"INDIC";"B-F";"OC3";"TOTAL";"T";"CZ";9.99
"INDIC";"B-F";"OC3";"TOTAL";"T";"DE";24.57
"INDIC";"B-F";"OC3";"TOTAL";"T";"DK";22.99
"INDIC";"B-F";"OC3";"TOTAL";"T";"EE";8.98
"INDIC";"B-F";"OC3";"TOTAL";"T";"EL";NA
"INDIC";"B-F";"OC3";"TOTAL";"T";"ES";15.99
"INDIC";"B-F";"OC3";"TOTAL";"T";"FI";17.77
"INDIC";"B-F";"OC3";"TOTAL";"T";"FR";17.42
"INDIC";"B-F";"OC3";"TOTAL";"T";"HR";NA
"INDIC";"B-F";"OC3";"TOTAL";"T";"HU";9.58
"INDIC";"B-F";"OC3";"TOTAL";"T";"IE";21.58
"INDIC";"B-F";"OC3";"TOTAL";"T";"IT";15.65
"INDIC";"B-F";"OC3";"TOTAL";"T";"LT";6.54
"INDIC";"B-F";"OC3";"TOTAL";"T";"LU";19.84
"INDIC";"B-F";"OC3";"TOTAL";"T";"LV";6.77
"INDIC";"B-F";"OC3";"TOTAL";"T";"MT";12.28
"INDIC";"B-F";"OC3";"TOTAL";"T";"NL";20.63
"INDIC";"B-F";"OC3";"TOTAL";"T";"PL";10.41
"INDIC";"B-F";"OC3";"TOTAL";"T";"PT";10.23
"INDIC";"B-F";"OC3";"TOTAL";"T";"RO";6.21
"INDIC";"B-F";"OC3";"TOTAL";"T";"SE";18.65
"INDIC";"B-F";"OC3";"TOTAL";"T";"SI";12.62
"INDIC";"B-F";"OC3";"TOTAL";"T";"SK";9.28
"INDIC";"B-F";"OC3";"TOTAL";"T";"UK";16.2
"INDIC";"B-F";"OC4";"TOTAL";"F";"AT";14.25
"INDIC";"B-F";"OC4";"TOTAL";"F";"BE";16.57
"INDIC";"B-F";"OC4";"TOTAL";"F";"BG";3.98
"INDIC";"B-F";"OC4";"TOTAL";"F";"CY";8.18
"INDIC";"B-F";"OC4";"TOTAL";"F";"CZ";7.3
"INDIC";"B-F";"OC4";"TOTAL";"F";"DE";16.63
"INDIC";"B-F";"OC4";"TOTAL";"F";"DK";18.29
"INDIC";"B-F";"OC4";"TOTAL";"F";"EE";6.59
"INDIC";"B-F";"OC4";"TOTAL";"F";"EL";NA
"INDIC";"B-F";"OC4";"TOTAL";"F";"ES";10.8
"INDIC";"B-F";"OC4";"TOTAL";"F";"FI";13.77
"INDIC";"B-F";"OC4";"TOTAL";"F";"FR";13.77
"INDIC";"B-F";"OC4";"TOTAL";"F";"HR";NA
"INDIC";"B-F";"OC4";"TOTAL";"F";"HU";7.53
"INDIC";"B-F";"OC4";"TOTAL";"F";"IE";13.87
"INDIC";"B-F";"OC4";"TOTAL";"F";"IT";12.36
"INDIC";"B-F";"OC4";"TOTAL";"F";"LT";5.07
"INDIC";"B-F";"OC4";"TOTAL";"F";"LU";14.62
